Mouse accession no.	Description	2h	6h	9h	12h	Human accession no.	Function
AB021961	p53	66.4	102.4	74.6	57.8	AI909620	Apoptosis
M83649	Fasantigen/TNFR6	4.7	13.8	18.1	54.5	X89101	Apoptosis
U82532	TNFR18	1.6	10.3	12.9	11.3	AI923712	Apoptosis
J04953	Gelsolin	4.4	6.1	6	2.9	X04412	Apoptosis
Z16410	btg1	2	4.6	5.7	9	X61123	Apoptosis
AW060710	EST=PIG8(Etoposideinduced)	2.2	3.6	4.9	6.2	R11732	Apoptosis
X74504	T10mRNA/humansentrin/SUMO-1	1.7	3.7	3.3	4.3	U83117	Apoptosis
AF064071	Apaf-1	1.3	3.1	3.1	7.2	AL135220	Apoptosis
AI840158	EST=Angiopoietinlike2	2.6	24.8	21.3	37	AF125175	Angiogenesis
AJ010108	cytosolicadenylatekinase	3.6	15.7	24.5	60	J04809	Cellcycle
AW048937	EST=p21waf	2.8	7.2	13.6	23	U09579	Cellcycle
AI853375	EST=MDM2	4.6	9.3	8.5	14.3	M92424	Cellcycle
M36579	S100calcium-bindingproteinA4	2.2	5.3	5.8	9	M80563	Cellcycle
U95826	cyclinG2	71.2	3.3	4.6	5.3	U47414	Cellcycle
AI835968	EST=RasinhibitorRin1	71.5	3.4	4	4.8	L36463	Cellcycle
M64292	B-celltranslocationgene2,anti-proliferative	2.6	3.6	3.1	4.1	U72649	Cellcycle
U40796	ERCC5	3.6	9.7	13.2	58.7	AW502004	DNArepair/replication
X05862	H2BandH2Ahistonegenes(291A)	71.4	4.4	3.6	3.9	Z83336	DNArepair/replication
Z11886	Notchgenehomolog1,(Drosophila)	2.1	8	15	26.4	AI566271	Receptors/ECM
U07634	EphreceptorA2	5.5	5.3	10	5.8	M59371	Receptors/ECM
M74180	hepatocytegrowthfactor-likeproteingene	1.3	3.1	6.7	16	U37055	Growthfactorinhibitor
AI843222	EST=Alpha-LFucosidaseprecursor	1.6	3.5	9.6	19.3	M29877	Metabolism
U87240	Mannosidase2,alphaB1	2.6	7.5	8	7.6	U37248	Metabolism
AF007267	phosphomannomutaseSec53phomolog	1.7	6.7	7.4	11.3	U86070	Metabolism
L10244	Spermidine	2.4	3.8	6.2	7.8	U40369	Metabolism
AJ006341	peroxisomalintegrelmembraneproteinPMP34	1.5	4.9	5.3	8.6	AI871429	Metabolism
AJ010338	hypotheticalprotein/humanCubilin	1.5	4.2	4.6	21.2	AF034611	Metabolism
M31690	Arginosuccinatesynthetase1	1.8	3.9	4.4	4.4	AA069289	Metabolism
M69260	Lipocortin1/humanAnnexinA1	2.1	4.3	3.1	4.4	ASW379702	Metabolism
AI838704	EST=Xanthinedehydrogenase	1.4	6	5.9	9	U39487	Metabolism
AW124360	EST=similartophosphate/PEPyruvatetranslocator	4	4.7	3.8	6.1		Metabolism
AI840733	EST=Prostaglandinsynthase	5.8	12	13.2	20.6	M98539	Neuronalgrowth
AW124113	BiotinCarboxylase/humanneuronalacidicprotein	1.1	3.4	6.3	4.9	AI422580	Neuronalgrowth
X04653	Ly-6alloantigen/humandihydropyrimidinase	4.8	4.7	5.2	2.9	D78014	Neuronalgrowth
AF085192	neuralvisinin-likeprotein3(NVP-3)	1.5	4.7	3.7	5	AI391924	Neuronalgrowth
AW227620	EST=Aryl-hydrocarbonreceptorinteractingprotein	3.2	7	10.7	23.1	U78521	Signaltransduction
D50264	Phosphatidylinositolglycan,classF	3.1	9.2	10.1	15.7	AW015279	Signaltransduction
AI850194	EST=UNC-51likekinase1	2.9	9.1	7.6	11.2	AL046256	Signaltransduction
D78382	DNAfortobfamily/transducerofERBB2	2.7	6	6.2	9.3	D38305	Signaltransduction
AF024637	TYROproteintyrosinekinasebindingprotein	3.6	5	4.9	3.8	AI299346	Signaltransduction
AF012923	p53-induciblezincfingerprotein(Wig-1)mRNA	4.9	15.7	25.5	24.4	AI457344	Transcription
AF006492	friendofGATA-1(FOG)	1.7	4.4	4.6	4.1		Transcription
U21673	T-complex-associatedtestisexpressed3	71.4	3.4	4.9	7.4	AA781436	Other
M32023	Seleniumbindingprotein1	3.5	3.4	4.7	3.3	U29091	Other
AW123286	EST=BPM1/humanPlectin1	2.6	3.1	4.2	4.4	Z54367	Other
AI838601	EST=Vamp2/humansynaptobrevin2	2	4.3	3.9	4.1	M36205	Other
AF111172	lysosomalpepstatininsensitiveprotease(Cln2)	-1.4	3.4	3.8	6.8	AF039704	Other
AB000636	Procollagen,typeXIX,alpha1	1.5	5.6	3.6	4.8	D38466	Other
M16465	CalpactinIlightchain	1.7	3.2	3.4	3.1	AA857434	Other
AF004941	S100A3 calcium binding protein	1.3	3.8	3.3	4.6	Z18948	Other
D00622	Lowdensitylipoproteinreceptorrelatedprotein	2.2	3.3	3.2	5.5	M63959	Other
AI853036	EST=Calnexin	1.5	4	3.1	4.4	L60284	Other
AI850335	EST=similartoAF117229	2.2	7.1	14.7	53		Other
AI849939	EST=Flj20500hypotheticalprotein	6.5	9.7	14.5	10.3	AA533627	Other
AI846934	EST=KIAA0188	3.6	8.7	10.1	10.4	AW502927	Other
AA419684	EST=KIAA0188	1.2	9.1	9.9	6	AW502927	Other
AI119347	EST=DD112gene	1.3	5.3	8.6	7.2		Other
AJ222580	B99protein/G2andSphaseexpressed	6.1	8.8	7.6	3.5	AA355797	Other
U22262	ApolipoproteinBeditingcomplex1	2.8	6.1	7.4	10.1	L26234	Other
AW049897	EST=Fln29	3.4	6.8	6.4	8.3	AW385093	Other
AI465965	EST=IgGFcbindingprotein	1.3	4	6.3	26.7	D84239	Other
Y12713	MuERV-Lgag,polanddUTPasegenes	-1.2	4.7	6.3	10.1	AW069343	Other
AA624599	EST=RetrovirusrelatedENVpolyprotein	-2.1	6.1	5.8	4.4		Other
AA763368	EST=KIAA0247	4.1	5.5	5.4	7.5	AI149255	Other
AI852970	EST=HSPC034	71.1	4.5	5.4	7.5	AA975396	Other
AV250661	EST=imap(immunityassociatedprotein)	1.9	4.8	5	6.1		Other
U36488	embryonicstemcellphosphatase(Esp)	72.1	5	5	21.4		Other
AB025406	sid23p/ratDestrin(actindepolymerisingfactor)	1.5	3.2	3.7	4.7	S65738	Other
AB011370	Ankhzn mRNA	2	3.8	3.4	6		Other
M90388	proteintyrosinephosphatase(70zpep)	1.9	3.3	3.3	4.3	AW504119	Other
AV342910	EST=weeklysimilartoSemaphorinC	1.1	14.3	12.4	3.7	AL390081	Other
AA266467	EST=weeklysimilartoSemaphorinC	1	8.4	10.1	5.9	AL390081	Other
AA260145	EST=weeklysimilartoenvprotein	1.1	3.6	4.8	7.6		Other
AA796690	EST	1.4	3.8	3.4	5.6	AK027160	Other
AI854863	EST	1.7	6.7	11.3	32.1		Other
AI594426	EST	1.6	5.1	8.6	6.1		Other
AI553536	EST	2.6	6.4	7.1	13.3		Other
AW122061	EST	2	3.6	6.7	12.4		Other
AW045710	EST	3.8	6.6	6.7	4.8		Other
C79615	EST	1.3	5.6	6.2	12.1		Other
AI839880	EST	1	4.6	6.1	8.8		Other
AW125272	EST	71.9	6.8	5.7	4.4		Other
AI181346	EST	1	3.5	5.6	29		Other
AI847631	EST	2.1	4.8	5.3	6.7		Other
AI642245	EST	71	4.4	5.1	7.4		Other
AI841606	EST	71.2	3.3	4.2	16.5		Other
AW123796	EST	1.2	3.2	4	4.4		Other
AI593759	EST	1.9	3.9	3.9	4.7		Other
AA407599	EST	71.5	4.7	3.7	4.6		Other
AW211760	EST	1.7	3.3	3.7	6.3		Other
AW124231	EST	1.6	3.3	3.2	5.5		Other
