Accession Number	Gene Symbol	Description	Fold Change 6 h	Fold Change 24 h	Fold Change 48 h
R64130	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	1.07	1.74	6.5
AI050866	NODAL	nodal homolog (mouse)	1.41	5.28	9.19
NM_001106	ACVR2B	activin A receptor, type IIB	5.66	6.5	11.31
NM_005118	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	1.23	4.92	11.31
NM_005228	EGFR	epidermal growth factor receptor	-1.52	-1.15	-2
BC001971	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	1.32	1.23	3.03
BC000125	TGFB1	transforming growth factor, beta 1 (Camurati-Engelmann disease)	-1.41	-1.23	-2
AA994334	BCL10	B-cell CLL/lymphoma 10	1.74	2.46	12.13
AV654063	KRAS2	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	18.38	13	19.7
NM_004464	FGF5	fibroblast growth factor 5	-1.32	-7.46	-6.06
AK027071	TSC22	transforming growth factor beta 1 induced transcript 4	NC	2.83	5.28
BG326045	BHLHB2	basic helix-loop-helix domain containing, class B, 2	-1.15	2.64	9.19
U73844	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	-1.07	2.64	6.96
S75264	WT1	Wilms tumor 1	-1.15	-1.41	-4.59
AW514564	CHD2	chromodomain helicase DNA binding protein 2	-1.07	3.48	14.93
AF180474	CNOT3	CCR4-NOT transcription complex, subunit 3	-1.52	-2.14	-4.29
N95363	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	-2	1.23	6.06
AL039795	TARDBP	TAR DNA binding protein	1.52	4.29	10.56
AK022513	DUSP10	dual specificity phosphatase 10	-1.32	3.73	8.57
AA994004	CDK11	cyclin-dependent kinase (CDC2-like) 11	8.57	8	128
L78790	ITGB2	integrin, beta 2 (antigen CD18 (p95)	-1.23	-1.32	-10.56
NM_003954	MAP3K14	mitogen-activated protein kinase kinase kinase 14	-1.15	-1.41	-2.64
NM_030662	MAP2K2	mitogen-activated protein kinase kinase 2	-1.32	-1.32	-2
AW025150	MAP3K12	mitogen-activated protein kinase kinase kinase 12	1.32	-1.15	-2
AW450910	SYK	spleen tyrosine kinase	-1.52	-1.52	-14.93
M57765	IL11	interleukin 11	1.07	-2	-4.59
AW444761	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	1.07	6.06	9.19
NM_002031	FRK	fyn-related kinase	4.29	6.96	25.99
