Symbol	Gene ID	Log2	CV	Description	Prenatal exposure to low dose (25micrograms) of BPA
Gad1	NM_017007	-1.51	-0.38	Glutamate decarboxylase 1	21days
Psbpc2	CA333765	-1.04	-1.46	Prostatic steroid-binding protein C2	21days
Cldn7	BM386659	1.11	0.77	Claudin 7	21days
Cnn1	NM_031747	1.1	1.06	Calponin 1	21days
CSN1S1	AA997495	1.38	1.73	Casein alpha s1	21days
Gp2	NM_134418	1.54	1.01	Glycoprotein 2 (zymogen granule membrane)	21days
Gpm6b	BE095548	0.92	0.51	Hypothetical gene supported by NM_138846	21days
Igfbp2	NM_013122	1.38	1.67	Insulin-like growth factor binding protein 2	21days
Il11	NM_133519	0.99	0.44	Hypothetical gene supported by NM_133519	21days
Lbp	NM_017208	0.93	0.82	Lipopolysaccharide binding protein	21days
Lgals7	NM_022582	1.5	1.43	Lectin, galactose binding, soluble 7	21days
Mia	NM_030852	1.17	1.22	Cartilage derived retinoic acid sensitive protein	21days
Runx1	NM_017325	0.92	1.4	Runt related transcription factor 1	21days
Sdc1	NM_013026	0.95	1.37	Syndecan 1	21days
Slc7a1	NM_013111	0.93	0.29	Solute carrier family 7 (cationic amino acid transporter,y+ system), member 1	21days
Tacstd1	NM_138541	1.3	1.82	Tumor-associated calcium signal transducer 1	21days
Thedc1	NM_022705	1.21	1.93	Thioesterase domain containing 1	21days
Uhrf1	BE098732	0.99	0.37	Ubiquitin-like, containing PHD and RING finger domains, 1	21days
Ddx24	CB544892	-1.51	-1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	35 days
Pck1	BI277389	0.88	0.79	Phosphoenolpyruvate carboxykinase 1	35 days
Serpina12	NM_138825	0.88	0.79	Serpina12	35 days
Gas6	BF556153	-0.98	-0.45	Growth arrest specific 6	50 days
Abca1	BE107198	1.59	0.53	Hypothetical gene supported by NM_178095	50 days
Adcy7	AA894292	1	0.44	Adenylate cyclase 7	50 days
Arg1	NM_017134	0.88	0.77	Arginase 1	50 days
Bcl2a1	NM_133416	1.18	0.59	B-cell leukemia/lymphoma 2 related protein A1	50 days
Birc5	NM_022274	1.27	0.55	Baculoviral IAP repeat-containing 5	50 days
Btg2	NM_017259	0.92	0.54	B-cell translocation gene 2, anti-proliferative	50 days
Bzrap1	BU760095	1.46	1.1	Benzodiazapine receptor associated protein 1	50 days
Cd18	BF282236	0.97	0.68	Integrin beta 2 (predicted)	50 days
Cd3d	NM_013169	1.88	0.67	CD3 antigen delta polypeptide	50 days
Cd47	NM_019195	0.89	0.12	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	50 days
Cd5	NM_019295	1.59	1.16	CD5 antigen	50 days
Cd6	BF391027	1.17	1.14	CD6 antigen	50 days
Cdc2a	NM_019296	0.95	0.82	Cell division cycle 2 homolog A (S. pombe)	50 days
Coro1a	NM_130411	1.69	0.78	Coronin, actin binding protein 1A	50 days
Ctcf	NM_031824	0.98	0.17	CCCTC-binding factor	50 days
Ctse	NM_012938	0.93	0.8	Cathepsin E	50 days
Dgka	NM_080787	0.9	0.72	Similar to Late endosomal/lysosomal Mp1 interacting protein (p14)	50 days
Dnaja1	NM_022934	0.91	0.25	DnaJ-like protein	50 days
Dnase1l3	NM_053907	0.9	0.87	Deoxyribonuclease I-like 3	50 days
Eif2ak3	NM_031599	1.06	0.25	Eukaryotic translation initiation factor 2 alpha kinase 3	50 days
Eif4e	NM_053974	0.96	0.12	Eukaryotic translation initiation factor 4E	50 days
Ets1	NM_012555	1.41	0.64	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	50 days
Evl	NM_024147	1.3	0.8	Ena-vasodilator stimulated phosphoprotein	50 days
Fut4	BI285246	0.88	0.19	Fucosyltransferase 4	50 days
Galgt1	NM_022860	1.07	1.05	UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide-beta-1, 4-N-acetylgalactosaminyltransferase	50 days
Gimap5	NM_145680	1.3	0.42	GTPase, IMAP family member 5	50 days
Gli	BQ206837	1.13	0.67	GLI-Kruppel family member GLI1	50 days
