Gene Name	P-value	Common	Genbank	Description
	7.94E-05	RNPEPL1	NM_018226.2	Homo sapiens arginyl aminopeptidase (aminopeptidase B)-like 1 (RNPEPL1), mRNA.
	7.71E-05	MMRN2	NM_024756.1	Homo sapiens multimerin 2 (MMRN2), mRNA.
	7.64E-05	ARRDC1	NM_152285.1	Homo sapiens arrestin domain containing 1 (ARRDC1), mRNA.
	7.60E-05	FLJ32452	NM_144576.2	Homo sapiens hypothetical protein FLJ32452 (FLJ32452), mRNA.
	7.54E-05	LOC400083	XM_375005.1	Homo sapiens similar to Dynein heavy chain at 89D CG1842-PA (LOC400083), mRNA.
	7.39E-05	CYP2D6	NM_000106.3	Homo sapiens cytochrome P450, family 2, subfamily D, polypeptide 6 (CYP2D6), mRNA.
	7.20E-05	hmm23226	null	Gnomon gene hmm23226 , RefSeq build 34
	7.19E-05	FLJ22625	NM_024715.2	Homo sapiens hypothetical protein FLJ22625 (FLJ22625), mRNA.
	7.19E-05	BDG29	NM_015144.1	Homo sapiens BDG-29 proten (BDG29), mRNA.
	7.13E-05	RFX1	NM_002918.2	Homo sapiens regulatory factor X, 1 (influences HLA class II expression) (RFX1), mRNA.
	6.81E-05	DCOHM	NM_032151.2	Homo sapiens dimerization cofactor of hepatocyte nuclear factor 1 ( HNF1) from muscle (DCOHM), mRNA.
	6.46E-05	RARA	NM_000964.1	Homo sapiens retinoic acid receptor, alpha (RARA), mRNA.
	6.42E-05	LOC146850	XM_375404.1	Homo sapiens hypothetical protein LOC146850 (LOC146850), mRNA.
	6.40E-05	SSX3	NM_175711.1	Homo sapiens synovial sarcoma, X breakpoint 3 (SSX3), transcript variant 2, mRNA.
	6.35E-05	ADP-GK	NM_031284.3	Homo sapiens ATP-dependent glucokinase (ADP-GK), mRNA.
	6.11E-05	GAS7	NM_005890.1	Homo sapiens growth arrest-specific 7 (GAS7), transcript variant b, mRNA.
	6.08E-05	ZNF558	NM_144693.1	Homo sapiens zinc finger protein 558 (ZNF558), mRNA.
	6.06E-05	MGC5306	NM_024116.1	Homo sapiens hypothetical protein MGC5306 (MGC5306), mRNA.
	6.01E-05	LOC159053	XM_099021.1	Homo sapiens LOC159053 (LOC159053), mRNA.
	5.99E-05	BCL2	NM_000633.1	Homo sapiens B-cell CLL/lymphoma 2 (BCL2), nuclear gene encoding mitochondrial protein, transcript variant alpha, mRNA.
	5.96E-05	FLJ20209	NM_194276.1	Homo sapiens hypothetical protein FLJ20209 (FLJ20209), mRNA.
	5.86E-05	IFIT4	NM_001549.2	Homo sapiens interferon-induced protein with tetratricopeptide repeats 4 (IFIT4), mRNA.
	5.73E-05	KIAA1109	XM_371706.2	Homo sapiens hypothetical protein KIAA1109 (KIAA1109), mRNA.
	5.64E-05	PRKY	NM_002760.2	Homo sapiens protein kinase, Y-linked (PRKY), mRNA.
	5.64E-05	C2orf6	NM_018221.1	Homo sapiens chromosome 2 open reading frame 6 (C2orf6), mRNA.
	5.59E-05	NLGN4Y	NM_014893.2	Homo sapiens neuroligin 4, Y linked (NLGN4Y), mRNA.
Hs.203697	5.45E-05		null	Cluster 203697 , UniGene build 163
	5.44E-05	SPINT1	NM_003710.2	Homo sapiens serine protease inhibitor, Kunitz type 1 (SPINT1), transcript variant 2, mRNA.
	5.39E-05	EEF2	NM_001961.2	Homo sapiens eukaryotic translation elongation factor 2 (EEF2), mRNA.
	5.36E-05	LOC375836	XM_351938.1	Homo sapiens similar to Protein kinase PKX1 (LOC375836), mRNA.
	5.34E-05	LASP1	NM_006148.1	Homo sapiens LIM and SH3 protein 1 (LASP1), mRNA.
	5.31E-05	FLJ20808	NM_017960.1	Homo sapiens hypothetical protein FLJ20808 (FLJ20808), mRNA.
	5.09E-05	MME	NM_007289.1	Homo sapiens membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10) (MME), transcript variant 2b, mRNA.
	5.09E-05	OGT	NM_181673.1	Homo sapiens O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) (OGT), transcript variant 2, mRNA.
	4.93E-05	LOC375256	XM_351479.1	Homo sapiens similar to Sodium/hydrogen exchanger 4 (Na(+)/H(+) exchanger 4) (NHE-4) (LOC375256), mRNA.
Hs.463050	4.85E-05		null	Cluster 463050 , UniGene build 163
	4.84E-05	RAD18	NM_020165.2	Homo sapiens RAD18 homolog (S. cerevisiae) (RAD18), mRNA.
	4.84E-05	SON	NM_138925.1	Homo sapiens SON DNA binding protein (SON), transcript variant a, mRNA.
	4.72E-05	SMARCA3	NM_139048.1	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3 (SMARCA3), transcript variant 2, mRNA.
	4.51E-05	PRX	NM_181882.1	Homo sapiens periaxin (PRX), mRNA.
	4.43E-05	TRAF5	NM_145759.1	Homo sapiens TNF receptor-associated factor 5 (TRAF5), transcript variant 2, mRNA.
	4.39E-05	MGC34805	NM_173525.1	Homo sapiens hypothetical protein MGC34805 (MGC34805), mRNA.
	4.37E-05	NISCH	NM_007184.1	Homo sapiens nischarin (NISCH), mRNA.
	4.34E-05	CCNB1IP1	NM_182849.1	Homo sapiens cyclin B1 interacting protein 1 (CCNB1IP1), transcript variant 2, mRNA.
Hs.486726	4.17E-05		null	Cluster 486726 , UniGene build 163
	4.08E-05	ZNF607	NM_032689.2	Homo sapiens zinc finger protein 607 (ZNF607), mRNA.
	3.99E-05	FLJ10201	NM_018023.3	Homo sapiens hypothetical protein FLJ10201 (FLJ10201), mRNA.
	3.83E-05	PDE7A	NM_002603.1	Homo sapiens phosphodiesterase 7A (PDE7A), transcript variant 1, mRNA.
	3.80E-05	LKAP	NM_019081.2	Homo sapiens limkain b1 (LKAP), transcript variant 2, mRNA.
	3.68E-05	MGC13033	NM_031447.1	Homo sapiens hypothetical protein MGC13033 (MGC13033), mRNA.
	3.64E-05	ZNF526	NM_133444.1	Homo sapiens zinc finger protein 526 (ZNF526), mRNA.
	3.61E-05	SEC31L2	NM_015490.3	Homo sapiens SEC31-like 2 (S. cerevisiae) (SEC31L2), transcript variant 1, mRNA.
	3.55E-05	SIAT4C	NM_006278.1	Homo sapiens sialyltransferase 4C (beta-galactoside alpha-2,3-sialyltransferase) (SIAT4C), mRNA.
	3.51E-05	C14orf9	NM_144568.1	Homo sapiens chromosome 14 open reading frame 9 (C14orf9), mRNA.
	3.50E-05	PPP2R2A	NM_002717.2	Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform (PPP2R2A), mRNA.
Hs.503257	3.37E-05		null	Cluster 503257 , UniGene build 163
	3.33E-05	OSBPL7	NM_017731.3	Homo sapiens oxysterol binding protein-like 7 (OSBPL7), transcript variant 2, mRNA.
	3.19E-05	MGC2615	NM_024103.1	Homo sapiens hypothetical protein MGC2615 (MGC2615), mRNA.
	3.19E-05	FLJ31204	NM_174912.2	Homo sapiens hypothetical protein FLJ31204 (FLJ31204), mRNA.
	3.19E-05	DKFZP564J0123	NM_199074.1	Homo sapiens nuclear protein E3-3 (DKFZP564J0123), transcript variant 4, mRNA.
	3.18E-05	LOC338817	XM_290588.1	Homo sapiens similar to dJ1049G16.2.2 (continued from bA456N23.2 in Em:AL353777 and dJ237J2.1 in Em:AL021394) (LOC338817), mRNA.
	3.08E-05	MYST3	NM_006766.1	Homo sapiens MYST histone acetyltransferase (monocytic leukemia) 3 (MYST3), mRNA.
	3.06E-05	THOC2	XM_047325.6	Homo sapiens THO complex 2 (THOC2), mRNA.
	3.04E-05	MGC52000	NM_198943.1	Homo sapiens CXYorf1-related protein (MGC52000), mRNA.
	3.02E-05	C5orf13	NM_004772.1	Homo sapiens chromosome 5 open reading frame 13 (C5orf13), mRNA.
	2.97E-05	hmm22305	null	Gnomon gene hmm22305 , RefSeq build 34
Hs.387796	2.92E-05		null	Cluster 387796 , UniGene build 163
	2.87E-05	HES6	NM_018645.3	Homo sapiens hairy and enhancer of split 6 (Drosophila) (HES6), mRNA.
	2.77E-05	XTP2	NM_015172.2	Homo sapiens HBxAg transactivated protein 2 (XTP2), mRNA.
