Gene name and descriptions	Accession number	Fold change
IMAGE:39159 3 similar to gb:J04173 phosphoglycerate mutase, brain form	R51864	4.304
IMAGE:2 798 3, MRNA sequence	R39171	2.918
cDNA clone IMAGE:1693352 3, MRNA sequence	AI140851	2.891
CCNDBP1 cyclin D-type binding-protein 1	AF082569	3.202
ESTs	AI446435	3.251
Pro-alpha-1 type 3 collagen	X14420.1	3.394
Complement component C1r	J04080.1	3.396
DPYSL3 dihydropyrimidinase-like 3	D78014	3.625
Ribosomal protein L6	X69391.1	3.807
PTK9L protein tyrosine kinase 9-like (A6-related protein)	Y17169.1	4.143
Homosapiens full-length insert cDNA YN88E09	AF075050.1	4.257
Somatostatin receptor isoform 2 (SSTR2) gene	M81830.1	5.475
CPE carboxy peptidase E	NM_001873.1	5.807
YR-29 hypothetical protein YR-29	AJ012409.1	6.333
IMAGE:4822062, mRNA	BC034811	6.373
KIAA 1832 protein, partial cds	AB058735.1	13.352
CREG cellular repressor of E1A-stimulated genes	AF084523.1	2.739
Homo sapiens putative splice factor transformer2- beta mRNA, complete cds	U61267.1	2.55
Human N- acetyl-beta-glucosaminidase (HEXB) mRNA, 3 end	M13519.1	2.698
Human cytochrome b5 mRNA, complete cds	M22865.1	2.881
Human pS2 mRNA induced by estrogen from human breast cancer cell line MCF-7	X00474.1	2.702
Human alpha-tubulin mRNA, complete cds	K00558	4.655
Homo sapiens clone 24703 beta-tubulin mRNA, complete cds	AF070561.1	3.917
