Code	Symbol	Gene name	FC
204320_at	COL11A1	Collagen, type XI, alpha 1	8.23
37892_at	COL11A1	Collagen, type XI, alpha 1	6.33
217430_x_at	COL1A1	Collagen, type I, alpha 1	5.67
201150_s_at	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	5.52
201149_s_at	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	5.46
214701_s_at	FN1	Fibronectin 1	5.4
210511_s_at	INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)	4.94
201842_s_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	4.86
206439_at	DSPG3	Dermatan sulfate proteoglycan 3	4.36
221730_at	COL5A2	Collagen, type V, alpha 2	4.07
215446_s_at	LOX	Lysyl oxidase	4.03
201147_s_at	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	4.01
213764_s_at	MFAP5	Microfibrillar associated protein 5	4.01
210809_s_at	POSTN	Periostin, osteoblast specific factor	3.97
203325_s_at	COL5A1	Collagen, type V, alpha 1	3.95
203083_at	THBS2	Thrombospondin 2	3.91
202766_s_at	FBN1	Fibrillin 1 (Marfan syndrome)	3.9
209955_s_at	FAP	Fibroblast activation protein, alpha	3.84
212488_at	COL5A1	Collagen, type V, alpha 1	3.82
214336_s_at	COPA	Coatomer protein complex, subunit alpha	3.81
209621_s_at	PDLIM3	PDZ and LIM domain 3	3.75
211571_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	3.74
212489_at	COL5A1	Collagen, type V, alpha 1	3.73
214587_at	COL8A1	Collagen, type VIII, alpha 1	3.7
213338_at	RIS1	NA	3.44
203876_s_at	MMP11	Matrix metalloproteinase 11 (stromelysin 3)	3.37
201843_s_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	3.28
209541_at	IGF1	Insulin-like growth factor 1 (somatomedin C)	3.26
212464_s_at	FN1	Fibronectin 1	3.23
220988_s_at	NA	NA	3.23
206658_at	UPK3B	Uroplakin 3B	3.2
201262_s_at	BGN	Biglycan	3.16
221729_at	COL5A2	Collagen, type V, alpha 2	3.15
202311_s_at	COL1A1	Collagen, type I, alpha 1	3.12
209754_s_at	TMPO	Thymopoietin	3.11
203878_s_at	MMP11	Matrix metalloproteinase 11 (stromelysin 3)	3.08
215646_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	3.07
202238_s_at	NNMT	Nicotinamide N-methyltransferase	3.05
211668_s_at	PLAU	Plasminogen activator, urokinase	3.02
216442_x_at	FN1	Fibronectin 1	3.02
209754_s_at	TMPO	Thymopoietin	3.11
203878_s_at	MMP11	Matrix metalloproteinase 11 (stromelysin 3)	3.08
215646_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	3.07
202238_s_at	NNMT	Nicotinamide N-methyltransferase	3.05
211668_s_at	PLAU	Plasminogen activator, urokinase	3.02
216442_x_at	FN1	Fibronectin 1	3.02
213765_at	MFAP5	Microfibrillar associated protein 5	3
204989_s_at	ITGB4	Integrin, beta 4	2.99
212344_at	SULF1	Sulfatase 1	2.98
201108_s_at	THBS1	Thrombospondin 1	2.94
204619_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	2.94
202237_at	NNMT	Nicotinamide N-methyltransferase	2.91
217428_s_at	COL10A1	Collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	2.9
201852_x_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2.89
201559_s_at	CLIC4	Chloride intracellular channel 4	2.85
212952_at	CALR	Calreticulin	2.82
204298_s_at	LOX	Lysyl oxidase	2.8
206002_at	GPR64	G protein-coupled receptor 64	2.79
210892_s_at	GTF2I	General transcription factor II, i	2.79
202274_at	ACTG2	Actin, gamma 2, smooth muscle, enteric	2.78
205428_s_at	CALB2	Calbindin 2, 29 kd (calretinin)	2.77
204589_at	ARK5	NA	2.75
