GeneID	LN_S	C42_S	LN_tpm	C42_tpm	C42_RT	LNCaP_RT	SYMBOL	GENENAME
5337	19	641	0	198	+	-	PLD1	phospholipase D1, phophatidylcholine-specific
30848	6	934	0	159	+	+	CTAG1	cancer/testis antigen 1
1485	20	708	0	159	+	+	CTAG2	cancer/testis antigen 2
54886	16	1128	0	107	+	+	PRG-3	plasticity related gene 3
54441	16	124	0	77	+	+	DKFZP434A0131	DKFZp434A0131 protein
5099	10	543	0	70	+	+	PCDH7	BH-protocadherin (brain-heart)
4638	10	354	0	60	+	+	MYLK	myosin, light polypeptide kinase
84532	13	192	0	55	+	-	ACAS2L	acetyl-Coenzyme A synthetase 2 (AMP forming)-like
759	37	1793	0	46	+	-	CA1	carbonic anhydrase I
9148	67	160	0	41	+	+	NEURL	neuralized-like (Drosophila)
390	9	707	0	34	+	+	ARHE	ras homolog gene family, member E
51131	3	319	0	23	+	+	PHF11	PHD finger protein 11
9452	9	556	0	20	+	-	ITM2A	integral membrane protein 2A
79961	4	129	0	20	+	+	FLJ22457	hypothetical protein FLJ22457
23111	19	4519	0	19	+	+	SPG20	spastic paraplegia 20, spartin (Troyer syndrome)
2719	34	131	0	15	+	+	GPC3	glypican 3
7036	45	159	0	14	+	+	TFR2	transferrin receptor 2
6281	12	203	0	13	+	+	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))
10158	58	761	0	11	+	+	MAP17	membrane-associated protein 17
2641	20	196	0	11	+	+	GCG	glucagon
158852	32	182	0	10	+	+	MGC27005	hypothetical protein MGC27005
957	68	135	0	10	+	+	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5
9249	76	184	0	8	+	+	DHRS3	dehydrogenase/reductase (SDR family) member 3
7025	21	304	0	7	+	+	NR2F1	nuclear receptor subfamily 2, group F, member 1
383	4	178	0	7	+	+	ARG1	arginase, liver
3760	29	191	0	5	+	+	KCNJ3	potassium inwardly-rectifying channel, subfamily J, member 3
57188	5	174	0	5	+	+	ADAMTSL3	ADAMTS-like 3
768	55	125	0	5	+	-	CA9	carbonic anhydrase IX
79092	16	108	0	3	+	-	CARD14	caspase recruitment domain family, member 14
84634	55	676	0	2	+	-	GPR54	G protein-coupled receptor 54
85480	36	182	0	2	+	+	TSLP	thymic stromal lymphopoietin
51700	56	161	0	2	+	+	CYB5R2	cytochrome b5 reductase b5R.2
22822	19	105	0	1	+	+	PHLDA1	pleckstrin homology-like domain, family A, member 1
