HUGO gene symbol	Gene definition	Clone image	Accession number	Unigene	RefSeq	Start	End	CytoBand	Status
JAK2	Janus kinase 2 (a protein tyrosine kinase)	789379	BX106933	Hs.591081	NM_ 004972.2	4975245	5117994	9p24.1	UP DUC
ANKRD32	Ankyrin repeat domain 32	182580	H42196	Hs.556673	NM_ 032290.2	94040330	94057327	5q15	UP DUC
C17orf37	Chromosome 17 open reading frame 37	4283597	BC006006	Hs.333526	NM_ 032339.3	35138937	35140314	17q12	UP DUC
C1orf86	Chromosome 1 open reading frame 86	150515	H01457	Hs.107101	NM_ 182533.1	2110848	2116074	1p36.33	UP DUC
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	214008	H72404	Hs.461086	NM_ 004360.2	67328696	67426945	16q22.1	UP DUC
DHCR7	7-dehydrocholesterol reductase	153009	R50345	Hs.503134	NM_ 001360.2	70823105	70837125	11q13.4	UP DUC
DOCK3	Dedicator of cytokinesis 3	33799	R44552	Hs.476284	NM_ 004947.3	50687676	51396668	3p21.31	UP DUC
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro	756253	AA480116	Hs.446352	NM_ 001005862.1	35097919	35138440	17q12	UP DUC
FKBP4	FK506 binding protein 4, 59kDa	341237	W58661	Hs.524183	NM_ 002014.2	2774414	2783383	12p13.33	UP DUC
FLJ12986	Hypothetical protein FLJ12986	306077	N91481	Hs.54713	AK023048.1	87827474	87829903	16q24.3	UP DUC
GRB7	Growth factor receptor-bound protein 7	0000177	BE246692	Hs.86859	NM_ 005310.2	35147713	35157063	17q12	UP DUC
HSPA8	Heat shock 70kDa protein 8	884719	AA629567	Hs.180414	NM_ 006597.3	122433411	122438054	11q24.1	UP DUC
LOC284019	Hypothetical protein LOC284019	250619	H90075	Hs.370140	AL832149.1	62497017	62503952	17q24.2	UP DUC
MMP24	Matrix metallopeptidase 24 (membrane-inserted)	325088	W46985	Hs.567417	NM_ 006690.3	33278117	33328218	20q11.22	UP DUC
MYBPC2	Myosin binding protein C, fast type	306239	N78998	Hs.85937	NM_ 004533.2	55628004	55661389	19q13.33	UP DUC
N_ A	Full length insert cDNA YH97B03	30336399	CB990791	Hs.496139		175181399	175181998	1q25.2	UP DUC
N_ A		291523	N67792			194902888	194903369	3q29	UP DUC
NRGN	Neurogranin (protein kinase C substrate, RC3)	177718	H46419	Hs.524116	NM_ 006176.1	124114952	124122307	11q24.2	UP DUC
RPIA	Ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	263097	N20072	Hs.469264	NM_ 144563.2	88772291	88831566	2p11.2	UP DUC
SCARB1	Scavenger receptor class B, member 1	51976	H23199	Hs.298813	NM_ 005505.3	123828129	123914287	12q24.31	UP DUC
STUB1	STIP1 homology and U-box containing protein 1	154442	R54831	Hs.592081	NM_ 005861.2	670116	672768	16p13.3	UP DUC
TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	149884	H00651	Hs.519880	NM_ 001042425.1	10504903	10527783	6p24.3	UP DUC
TMEM136	Transmembrane protein 136	298746	N74690	Hs.643516	NM_ 174926.1	119701226	119706556	11q23.3	UP DUC
UBE2L3	Ubiquitin-conjugating enzyme E2 L 3	327216	W02771	Hs.108104	NM_ 003347.2	20251957	20308323	22q11.21	UP DUC
UST	Uronyl-2-sulfotransferase	220199	H82656	Hs.557541	NM_ 005715.1	149110157	149439818	6q25.1	UP DUC
VPS37C	Vacuolar protein sorting 37 homolog C (S. cerevisiae)	50238	H16997	Hs.523715	NM_ 017966.4	60654304	60685492	11q12.2	UP DUC
YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	262546	H99319	Hs.651212	NM_ 003404.3	42947758	42970574	20q13.12	UP DUC
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	112127	T84930	Hs.647403	NM_ 080284.2	64586442	64649610	17q24.2-q24.3	UP LOB
ADAM11	ADAM metallopeptidase domain 11	184240	H43855	Hs.6088	NM_ 002390.4	40192094	40214738	7q21.31	UP LOB
ADCY2	Adenylate cyclase 2 (brain)	282977	N45141	Hs.481545	NM_ 020546.2	7449343	7883194	5p15.31	UP LOB
ADIPOQ	Adiponectin, C1Q and collagen domain containing	183476	H45617	Hs.80485	NM_ 004797.2	188043157	188058944	3q27.3	UP LOB
ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	309697	N94546	Hs.76392	NM_ 000689.3	74705408	74757789	9q21.13	UP LOB
ALDH1L1	Aldehyde dehydrogenase 1 family, member L1	153982	R67615	Hs.434435	NM_ 012190.2	127305098	127382175	3q21.2	UP LOB
C14orf139	Chromosome 14 open reading frame 139	265829	N20974	Hs.41502	CR457337	94945159	94945729	14q32.13	UP LOB
CAV1	Caveolin 1, caveolae protein, 22kDa	377461	AA055368	Hs.74034	NM_ 001753	115952075	115988466	7q31.2	UP LOB
CCDC82	Coiled-coil domain containing 82	277621	N49389	Hs.525088	NM_ 024725.2	95725589	95762710	11q21	UP LOB
CD34	CD34 molecule	770858	AA434387	Hs.374990	NM_ 001773.2	206126507	206151306	1q32.2	UP LOB
CHES1	Checkpoint suppressor 1	221846	H84982	Hs.434286	NM_ 005197.2	88692278	88953127	14q31.3-q32.11	UP LOB
CIDEC	Cell death-inducing DFFA-like effector c	155655	R71842	Hs.567562	NM_ 022094.2	9883399	9895740	3p25.3	UP LOB
DPT	Dermatopontin	153505	R48303	Hs.80552	NM_ 001937.3	166931331	166965052	1q24.2	UP LOB
EFCBP1	EF-hand calcium binding protein 1	282100	N51496	Hs.560892	NM_ 022351.2	91872954	92040805	8q21.3	UP LOB
ELN	Elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	810934	AA459308	Hs.647061	NM_ 000501.1	73080454	73120965	7q11.23	UP LOB
EMCN	Endomucin	272630	N36136	Hs.152913	NM_ 016242.2	101538009	101658202	4q23	UP LOB
ERG	V-ets erythroblastosis virus E26 oncogene homolog (avian)	302929	N90107	Hs.473819	NM_ 182918.2	38675671	38792267	21q22.2	UP LOB
F2R	Coagulation factor II (thrombin) receptor	813254	AA455910	Hs.482562	NM_ 001992.2	76047547	76067054	5q13.3	UP LOB
FABP4	Fatty acid binding protein 4, adipocyte	162654	CR744520	Hs.391561	NM_ 001442.1	82553490	82558004	8q21.13	UP LOB
GDPD2	Glycerophosphodiester phosphodiesterase domain containing 2	192521	H41285	Hs.438712	NM_ 017711.2	69559716	69569955	Xq13.1	UP LOB
IGF1	Insulin-like growth factor 1 (somatomedin C)	813179	AA456321	Hs.160562	NM_ 000618.2	101313807	101398454	12q23.2	UP LOB
39514	Membrane-associated ring finger (C3HC4) 7	327461	W20438	Hs.529272	NM_ 022826.2	160277256	16033329	2q24.2	UP LOB
MFAP4	Microfibrillar-associated protein 4	759163	AA496022	Hs.296049	NM_ 002404.1	19227350	19231086	17p11.2	UP LOB
MMP3	Matrix metallopeptidase 3 (stromelysin 1, progelatinase)	324700	BX117609	Hs.375129	NM_ 002422.3	102211738	102219552	11q22.2	UP LOB
MRGPRF	MAS-related GPR, member F	324543	W52061	Hs.118513	NM_ 145015.2	68528443	68537311	11q13.2	UP LOB
N_ A	Transcribed locus, weakly similar to XP_ 848633.1 similar to LINE-1 reverse transcriptase homolog	301068	W07853	Hs.433075		151073054	151383976	Xq28	UP LOB
N_ A		297752	N69915						UP LOB
NGFR	Nerve growth factor receptor (TNFR superfamily, member 16)	154790	R55303	Hs.415768	NM_ 002507.1	44927666	44947360	17q21.33	UP LOB
OMD	Osteomodulin	258606	N32201	Hs.94070	NM_ 005014.1	94216359	94226381	9q22.31	UP LOB
