Gene symbol	LocusLink ID	Unigene cluster ID	Chromosomal location	Annotation	Elevated mRNA levels in
PTPRS	5802	Hs. 159534	19p13.3	Protein tyrosine phosphatase, receptor	Early
SF3A3	10946	Hs.77897	1p34.3	Splicing factor 3a, subunit 3	Late
BTN3A3	10384	Hs. 167741	6p22.1	Butyrophilin, subfamily 3, A3	Late
PRPF31	26121	Hs. 312927	19q13.42	Pre-RNA processing factor 31 homologue	Early
HIS1	10614	Hs. 15299	17q21.31	Hexamethylene bisacetamide inducible	Early
ID4	3400	Hs. 391392	6p22.3	Inhibitor of DNA binding 4, dominant negative	Late
FARP1	10160	Hs. 207428	13q32.2	RhoGEF and pleckstrin domain protein 1	Early
LOC339287	339287	(Hs. 350229)	17q21.1	Hypothetical protein	Early
C15orf15	51187	Hs. 274772	15q21.3	60S ribosomal protein L30	Late
FLJ22269	84179	Hs. 334789	4p16.3	Hypothetical protein	Early
FLJ20241	54862	Hs. 269592	19p13.13	Putative nuclear factor-kappaB activator	Early
ZNF200	7752	Hs. 88219	16p13.3	Zinc finger protein 200	Early
C8orf1	734	Hs. 436445	8q21.3	Chromosome 8 open reading frame 1	Late
PRKCH	5583	Hs. 315366	14q23.1	Protein kinase C, eta	Early
