No.	Gene	GenBank No.	RT	RT Frequency	Function
1	protein tyrosine kinase c-kit	X06182	-	5 / 7S, 6 / 7A, 1S&1A( + )	Oncogenes, tumor supressor genes, and cell cycle regulators
2	c -jun	J04111	-	2 / 7S, 5 / 7A	Oncogenes, tumor supressor genes, and cell cycle regulators
3	protein tyrosine kinase receptor tyro3	D17517	-	5 / 7S, 5 / 7A	Oncogenes, tumor supressor genes, and cell cycle regulators
4	c -src	K03214	-	5 / 7S, 3 / 7A, 4S( + )	Oncogenes, tumor supressor genes, and cell cycle regulators
5	c -fgr proto-oncogene	M19722	-	5 / 7S, 4 / 7A, 1A( + )	Oncogenes, tumor supressor genes, and cell cycle regulators
6	TR3 orphan receptor	L13740	-	6 / 7S, 6 / 7A, 1S( + )	Oncogenes, tumor supressor genes, and cell cycle regulators
7	cdc25A	M81933	+	5 / 7S, 3 / 7A, 2A( -)	Oncogenes, tumor supressor genes, and cell cycle regulators
8	ephrin type-A receptor 1	M18391	+	3 / 7S, 6 / 7A, 1S&2A( -)	Stress response and modulators, effectors, and intracellular transducers
9	LIM domain kinase 1 ( LIMK -1 )	D26309	+	3 / 7S, 4 / 7A, 1S( -)	Stress response and modulators, effectors, and intracellular transducers
10	ras -related protein RAB6	M28212	+	3 / 7S, 3 / 7A, 1S( -)	Stress response and modulators, effectors, and intracellular transducers
11	ras -related protein RAB2	M28213	+	0S, 5 / 7A	Stress response and modulators, effectors, and intracellular transducers
12	janus kinase 3 ( JAK3 )	U09607	+	4 / 7S, 3 / 7A, 1S&2A( -)	Stress response and modulators, effectors, and intracellular transducers
13	c -jun N -terminal kinase1 ( JNK1 )	L26318	+	4 / 7S, 3 / 7A, 1S( -)	Stress response and modulators, effectors, and intracellular transducers
14	ephrin A3 ( EFNA3 )	U14187	+	7 / 7S, 6 / 7A	Stress response and modulators, effectors, and intracellular transducers
15	transmembrane receptor PTK7	U40271	+	3 / 7S, 5 / 7A, 1S( -)	Stress response and modulators, effectors, and intracellular transducers
16	adenosine A1 receptor ( ADORA1 )	S56143	-	5 / 7S, 3 / 7A, 2S( + )	Apoptosis and DNA synthesis, repair, and recombination
17	caspase 8	U60520	-	3 / 7S, 4 / 7A, 3A( + )	Apoptosis and DNA synthesis, repair, and recombination
18	insulin receptor ( INSR )	M10051	+	3 / 7S, 4 / 7A, 2S( -)	Receptors, cell surface antigens, and cell adhesion
19	IL2R alpha	X01057	+	4 / 7S, 7 / 7A	Receptors, cell surface antigens, and cell adhesion
20	CD27L antigen receptor	M63928	+	5 / 7S, 5 / 7A	Receptors, cell surface antigens, and cell adhesion
21	ICAM1	J03132	-	7 / 7S, 2 / 7A, 1S&1A( + )	Receptors, cell surface antigens, and cell adhesion
22	HGF activator	D14012	+	4 / 7S, 6 / 7A, 2S&1A( -)	Growth factors, cytokines, chemokines, and interferons
23	AR	M30704	-	6 / 7S, 5 / 7A, 2A( + )	Growth factors, cytokines, chemokines, and interferons
24	vascular endothelial growth factor C	U43142	-	4 / 7S, 2 / 7A, 1S&1A( + )	Growth factors, cytokines, chemokines, and interferons
25	platelet-derived growth factor A ( PDGFA )	X06374	+	4 / 7S, 4 / 7A, 2S&1A( -)	Growth factors, cytokines, chemokines, and interferons
26	macrophage inflammatory protein 2 alpha	X53799	-	5 / 7S, 6 / 7A	Growth factors, cytokines, chemokines, and interferons
