Gene symbol	Gene (product) description	LBFC	Relative change based on qRT-PCR	Western analysis	Relation
Beta-catenin	Catenin (cadherin-associated protein), beta 1 (88 kDa)	1.9	NA	Confirmed	WNT pathway related
CBP	CREB-binding protein	2.3	NA		WNT pathway related
CK1	Casein kinase 1	1.7	NA		WNT pathway related
CK2	Casein kinase 2	3.8	NA		WNT pathway related
Dvl	Human Disheveled protein	2.1	NA		WNT pathway related
GAS6	Growth arrest-specific 6	2.4	18.6±2.0	Confirmed	WNT pathway related
MYC	v-myc myelocytomatosis viral oncogene homolog	3.3	6.2±2.3		WNT pathway related
SFRP1	Secreted Frizzled-related protein 1	24.3	12.8±5.4		WNT pathway related
TCF	T-cell factor	2.1	NA		WNT pathway related
CCNB1	Cyclin B1	3	NA	Confirmed	Cell cycle related
CDK1	Cyclin-dependent kinase 1	1.4	8.0±1.4	Confirmed	Cell cycle related
CITED2	Cbp/p300-interacting transactivator	5.2	NA		Cell cycle related
E2F3	E2F transcription factor 3	3.2	NA		Cell cycle related
FEN1	Flap structure-specific endonuclease 1	4.7	NA		Cell cycle related
MAD2L1	MAD2 [mitotic arrest deficient-like 1 (yeast)]	3.9	NA		Cell cycle related
PDGFA	Platelet-derived growth factor alpha polypeptide	6.6	NA		Cell cycle related
SMC1L1	SMC1 [structural maintenance of chromosomes 1-like 1 (yeast)]	3.6	NA		Cell cycle related
SMC4L1	SMC4 [structural maintenance of chromosomes 4-like 1 (yeast)]	3.9	NA		Cell cycle related
TP53	Tumor protein p53 (Li-Fraumeni syndrome)	3	23.3±11.4		Cell cycle related
AATF	Apoptosis-antagonizing transcription factor	2.4	43.5±2.7		Apoptosis related
AKT	v-akt murine thymoma viral oncogene	1.2	23.0±2.5	Confirmed	Apoptosis related
API5	Apoptosis inhibitor 5	1.5	38.4±2.3	Confirmed	Apoptosis related
BCL2	B-cell lymphoma/leukemia-2	2.3	NA		Apoptosis related
BCLX	BCL2-like 1	1.2	17.7±2.1		Apoptosis related
CYCS	Cytochrome c	2.9	27.8±1.7		Apoptosis related
FANCG	Fanconi’s anemia, complementation group G	-9.0	NA		Apoptosis related
LOH11CR2A	Loss of heterozygosity, 11, chromosomal region 2, gene A	-6.2	-33.9±17.5		Apoptosis related
AKR1C3	Aldo-keto reductase family 1, member C3	-3.6	NA		Cell proliferation
AXL	AXL receptor tyrosine kinase	24.7	2.9±1.4		Cell proliferation
CSE1L	CSE1 [chromosome segregation 1-like (yeast)]	3.9	NA		Cell proliferation
EGFR	Epidermal growth factor receptor (v-erb-b oncogene)	3.4	NA		Cell proliferation
FSCN1	Singed-like (Drosophila) (fascin homolog, sea urchin)	5.5	NA		Cell proliferation
GPNMB	Glycoprotein (transmembrane) Nmb	-4.5	NA		Cell proliferation
IGFBP4	Insulin-like growth factor-binding protein 4	6.6	2.6±0.7		Cell proliferation
MATK	Megakaryocyte-associated tyrosine kinase	3.6	NA		Cell proliferation
RARRES3	Retinoic acid receptor responder (tazarotene induced) 3	-9.6	NA		Cell proliferation
SERPINF1	Serine (or cysteine) proteinase inhibitor	-3.5	NA		Cell proliferation
TGFBI	Transforming growth factor beta-induced	3.5	NA		Cell proliferation
KRT6E	Keratin 6	-5.4	-64.0±29.7		Others
TF	Transferrin	-22.5	-18.5±6.6		Others
