Spotnum	P value	Well ID	Clone IMAGE	Title	Gene	Map
4211	0	27185	276483	2-5 oligoadenylate synthetase E	OAS1	12q24.1
5875	0	201717	484535	amine oxidase, copper containing 3 (vascular adhesion protein 1)	AOC3	17q21
3913	0	200933	813714	CASP8 and FADD-like apoptosis regulator	CFLAR	2q33-q34
2339	0	27913	1047302	CDw130=gp130=IL-6/IL-11/CNTF/Oncostatin M/LIF receptor common beta chain	IL6ST	5q11
841	0	27053	50865	CX3C chemokine=orthologue of mouse fractalkine	SCYD1	16q13
959	0	28969	469297	DEC1=basic helix-loop-helix protein	BHLHB2	3p26
4552	0	209139	361688	dipeptidylpeptidase VI	DPP6	7q36.2
3077	0	208746	726658	DR-nm23	NME3	16q13
7583	0	157599	2550009	EST
4337	0	28841	725321	Estrogen receptor	ESR1	6q25.1
680	0	209127	725321	Estrogen receptor	ESR1	6q25.1
1084	0	205548	289638	ESTs		5
1226	0	202460	544639	ESTs		18
6967	0	208830	345626	fatty acid binding protein 7, brain	FABP7	6q22-q23
5796	0	28964	365681	GATA-3=T-cell specific transcription factor	GATA3	10p15
962	0	28975	365681	GATA-3=T-cell specific transcription factor	GATA3	10p15
1494	0	201116	214068	GATA-binding protein 3	GATA3	10p15
1818	0	27468	502085	Guanylate binding protein 1 interferon-inducible 67kD	GBP1	1
4078	0	208991	772890	Homo sapiens mRNA; cDNA DKFZp434N2412 (from clone DKFZp434N2412)		17
1820	0	27484	487396	Homo sapiens mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)		5
5686	0	27472	487396	Homo sapiens mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)		5
657	0	208649	49567	Human clone 23948 mRNA sequence		15
3606	0	202212	840606	hydroxysteroid (17-beta) dehydrogenase 4	HSD17B4	5q21
6505	0	209401	68894	IgG Fc receptor hFcRn	FCGRT	19q13.3
2916	0	200708	52933	LIV-1 protein, estrogen regulated	LIV-1	18q12
7020	0	205108	193913	lyn=tyrosine kinase	LYN	8q13
242	0	202403	193913	lyn=tyrosine kinase	LYN	8q13
3183	0	200246	131362	moesin	MSN	Xq11.2-q12
3793	0	28014	1306423	myb-related gene A=A-myb	MYBL1	8q22
6636	0	26919	23830	N-Acetyl-beta-D-glucosaminide	FUT8	14q24.3
5879	0	201725	416959	nuclear factor I/B	NFIB	9p24.1
2398	0	157660	26184	phosphofructokinase, platelet	PFKP	10p15.3-p15.2
2004	0	201707	825442	Protein tyrosine phosphatase type IVA member 2=HU-PP-1	PTP4A2	1p35
919	0	28613	825442	Protein tyrosine phosphatase type IVA member 2=HU-PP-1	PTP4A2	1p35
3309	0	27918	1056107	putative cyclin G1 interacting protein	FLJ20746	20pter-p13
6843	0	201718	785415	SKIP for skeletal muscle and kidney enriched inositol phosphatase	SKIP	17p13
3065	0	208410	298417	trefoil factor 3 (intestinal)	TFF3	21q22.3
5224	0	27456	2178	tryptophanyl-tRNA synthetase=WARS=IFN-inducible gamma2=IFP53
6784	0	200712	376516	vesicle trafficking, beach and anchor containing	LRBA	4
6090	0	200263	243549	v-myb avian myeloblastosis viral oncogene homolog	MYB	6q22-q23
2551	0	207809	417867	X-box binding protein 1	XBP1	22q12.1
2767	0	26913	21610	Cyclin G2	CCNG2	4q21.1-q21.3
4871	0	200902	823691	cyclin G2	CCNG2	4q21.1-q21.3
1363	0	27682	687009	DCHT=Ste-20 related kinase=similar to rat pancreatic serine threonine kinase	SPAK	2p14-q14.3
6906	0	207724	290552	DKFZp566D133 protein	DKFZp566D133	9q31
4128	0	202467	785744	DKFZP586K0524 protein	DKFZP586K052	11
5396	0	201632	784319	Homo sapiens cDNA FLJ11904 fis, clone HEMBB1000048		18
141	0	207469	141234	Homo sapiens cDNA: FLJ23458 fis, clone HSI07327		18
2595	0	208857	379200	interleukin-1 receptor-associated kinase 1	IRAK1	Xq28
7211	0	28783	366481	keratin 6 isoform K6b=KRT6B	KRT6B	12q13
681	0	209129	743041	KIAA0632 protein	KIAA0632	7
7395	0	207842	490971	KIAA1547 protein	KIAA1547	15
5561	0	202106	949932	nuclease sensitive element binding protein 1	NSEP1	1p34
1623	0	208646	731118	protein tyrosine phosphatase, non-receptor type substrate 1	PTPNS1	20p13
6707	0	28357	201994	Purine nucleoside phophorylase=Inosine phosphorylase=PNP	NP	14q13.1
3144	0	202196	897626	RAB7, member RAS oncogene family	RAB7	3p13-q13.33
3155	0	205122	277305	ras homolog gene family, member B	ARHB	2pter-p12
2718	0	157200	2007319	EST	EST
5334	0	200620	768562	zinc finger protein homologous to Zfp103 in mouse	ZFP103	2p11.2
2938	0	201280	194384	BTF3=Basic transcription factor 3	BTF3	5
7026	0	205132	309776	CASP8 and FADD-like apoptosis regulator	CFLAR	2q33-q34
5527	0	209166	68950	cyclin E1	CCNE1	19q12
7230	0	28709	726658	DR-nm23	NME3	16q13
180	0	208579	304908	E2F-3=pRB-binding transcription factor=KIAA0075	E2F3	6p22
7226	0	28729	304908	E2F-3=pRB-binding transcription factor=KIAA0075	E2F3	6p22
76	0	202599	358885	IPFK-2=inducible 6-phosphofructo-2-kinase/fructose 2,6-bisphosphatase		6
1090	0	207396	321574	KIAA1547 protein	KIAA1547	15
2342	0	27919	1056369	p16-INK4a=Cyclin-dependent kinase 4 inhibitor A=Multiple tumor suppressor 1=MTS1	CDKN2A	9p21
4825	0	28957	241029	ARK2=aurora-related kinase 2	STK12	17p13.1
688	0	209155	293689	desmocollin 2	DSC2	18q12.1
2723	0	157222	2215708	ESTs
5575	0	202542	471196	integral membrane protein 3	ITM3	2q37
2097	0	208409	362795	ISL1 transcription factor, LIM/homeodomain, (islet-1)	ISL1	5q
6085	0	200253	470393	matrix metalloproteinase 7 (matrilysin, uterine)	MMP7	11q21-q22
7192	0	28264	358214	BTG2=p53 dependent inducible anti-proliferative gene homologous to Pc3/Tis21 immediate early genes	BTG2	1q32
4713	0	27065	50865	CX3C chemokine=orthologue of mouse fractalkine	SCYD1	16q13
2534	0	205435	344588	kallikrein 5	KLK5	19q13.3-q13.4
2764	0	26907	489024	N-Acetyl-beta-D-glucosaminide	FUT8	14q24.3
1433	0	28830	418129	NuMA=coiled-coil nuclear protein	NUMA1	11q13
3310	0	27920	510467	p16-INK4a=Cyclin-dependent kinase 4 inhibitor A=Multiple tumor suppressor 1=MTS1	CDKN2A	9p21
1821	0	27486	510324	SIAH-2=Seven in absentia homolog 2	SIAH2	3q25
3758	0	27296	339321	Syndecan-4 = amphiglycan = ryudocan core protein	SDC4	20q12
933	0	28665	45641	Dual specificity mitogen-activated protein kinase kinase 3	MAP2K3	17q11.2
466	0	28831	EmptyWell	EmptyWell
