Rank by t Test	t Test	t Test P Value	Higher Expression in	Gene Symbol	Affymetrix Probe Set ID	Transcript ID	Gene Bank ID	Gene Name
1	6.6019	0.00000001	No-pCR	MAPT	203929_s_at	Hs.101174.1	AI056359	Microtubule-associated protein
2	6.2428	0.00000002	No-pCR	MAPT	203930_s_at	g8400712	NM_016835	Microtubule-associated protein
3	6.0259	0.00000008	No-pCR	BBS4	212745_s_at	Hs.26471.0	AI813772	Bardet-Biedl syndrome 4
4	5.9166	0.00000008	No-pCR	MAPT	203928_x_at	Hs.101174.1	AI870749	Microtubule-associated protein
5	6.0604	0.0000001	No-pCR	THRAP2	212207_at	Hs.4084.0	BG426689	Thyroid hormone receptor associated protein 2
6	5.6999	0.00000027	No-pCR	MGC5370	217542_at	Hs.168732.0	BE930512	Hypothetical protein MGC5370
7	5.6116	0.00000028	No-pCR	MAPT	206401_s_at	g338684	J03778	Microtubule-associated protein
8	5.5118	0.00000047	No-pCR	—	215304_at	Hs.159264.0	U79293	Human clone 23,948 mRNA sequence
9	5.4961	0.00000047	No-pCR	ZNF552	219741_x_at	g13443019	NM_024762	Zinc finger protein 552
10	5.474	0.00000051	No-pCR	RAMP1	204916_at	g5032018	NM_005855	Receptor (calcitonin) activity modifying protein 1
11	5.6112	0.00000055	No-pCR	BECN1	208945_s_at	Hs.12272.0	AF139131	Beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)
12	–5.9508	0.00000056	pCR	BTG3	213134_x_at	Hs.77311.1	AI765445	BTG family, member 3
13	5.4395	0.00000068	No-pCR	SCUBE2	219197_s_at	Hs.222399.0	NM_020974	Signal peptide, CUB domain, EGF-like 2
14	–5.8788	0.0000007	pCR	MELK	204825_at	g7661973	NM_014791	Maternal embryonic leucine zipper kinase
15	–5.8634	0.00000096	pCR	BTG3	205548_s_at	g5802989	NM_006806	BTG family, member 3
16	5.2823	0.00000129	No-pCR	AMFR	202204_s_at	g5931954	NM_001144	Autocrine motility factor receptor
17	5.1606	0.00000178	No-pCR	CTNND2	209617_s_at	g2661061	AF035302	Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)
18	5.349	0.0000025	No-pCR	GAMT	205354_at	g7549759	NM_000156	Guanidinoacetate N-methyltransferase
19	5.0802	0.00000282	No-pCR	CA12	204509_at	g8923149	NM_017689	Carbonic anhydrase XII
20	5.1848	0.00000311	No-pCR	FGFR1OP	214124_x_at	Hs.108548.1	AL043487	FGFR1 oncogene partner
21	5.0679	0.00000337	No-pCR	KIAA1467	213234_at	Hs.6189.0	AB040900	KIAA1467 protein
22	5.3029	0.00000364	No-pCR	MTRN	219051_x_at	g13128999	NM_024042	Meteorin, glial cell differentiation regulator
23	5.2581	0.00000374	No-pCR	FLJ10916	219044_at	g8922765	NM_018271	Hypothetical protein FLJ10916
24	–5.2639	0.00000381	pCR	E2F3	203693_s_at	g12669913	NM_001949	E2F transcription factor 3
25	4.9635	0.0000054	No-pCR	ERBB4	214053_at	Hs.390729	AW772192	V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
26	5.0047	0.00000559	No-pCR	JMJD2B	215616_s_at	Hs.301011.2	AB020683	Jumonji domain containing 2B
27	–4.9078	0.00000618	pCR	RRM2	209773_s_at	g12804874	BC001886	Ribonucleotide reductase M2 polypeptide
28	4.824	0.00000668	No-pCR	FLJ12650	219438_at	g13375663	NM_024522	Hypothetical protein FLJ12650
29	4.8992	0.00000715	No-pCR	GFRA1	205696_s_at	g4885268	U97144	GDNF family receptor 1
30	5.0633	0.00000718	No-pCR	IGFBP4	201508_at	g10835020	NM_001552	Insulin-like growth factor binding protein 4
31	5.0448	0.00000748	No-pCR	KIF3A	213623_at	Hs.43670.0	NM_007054	Kinesin family member 3A
