Affymetrix ID	Symbol	Description	cluster
100003_at	Ryr1	ryanodine receptor 1, skeletal muscle	1
100064_f_at	Gja1	gap junction membrane channel protein alpha 1	1
100065_r_at	Gja1	gap junction membrane channel protein alpha 1	1
100068_at	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	1
100120_at	Nid1	nidogen 1	1
100381_at	Acta1	actin, alpha 1, skeletal muscle	1
100436_at	Orm1	orosomucoid 1	1
100437_g_at	Orm1	orosomucoid 1	1
100605_at	Tpm2	tropomyosin 2, beta	1
100614_at	Mb	myoglobin	1
100879_at	Actn3	actinin alpha 3	1
101028_i_at	Actc1	actin, alpha, cardiac	1
101044_at	Alad	aminolevulinate, delta-, dehydratase	1
101058_at	Amy1	amylase 1, salivary	1
101059_at	Ndn	necdin	1
101095_at	Mfap2	microfibrillar-associated protein 2	1
101110_at	Col6a3	procollagen, type VI, alpha 3	1
101473_at	Nnmt	nicotinamide N-methyltransferase	1
101538_i_at	Ces3	carboxylesterase 3	1
101539_f_at	Ces3	carboxylesterase 3	1
101566_f_at	Mup1	major urinary protein 1	1
101576_f_at	Serpina1a	serine (or cysteine) proteinase inhibitor, clade A, member 1a	1
101635_f_at	Mup1	major urinary protein 1	1
101676_at	Gpx3	glutathione peroxidase 3	1
101682_f_at	Mup4	major urinary protein 4	1
101867_at	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	1
101909_f_at	Mup3	major urinary protein 3	1
101910_f_at	Mup3	major urinary protein 3	1
101912_at	1100001G 20Rik	RIKEN cDNA 1100001G20 gene	1
101991_at	Fmo1	flavin containing monooxygenase 1	1
102016_at	Fsp27	fat specific gene 27	1
102025_at	Cxcl13	chemokine (C-X-C motif) ligand 13	1
102049_at	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	1
102061_at	Mlf1	myeloid leukemia factor 1	1
102096_f_at	Mup1	major urinary protein 1	1
102208_at	Siat10	sialyltransferase 10 (alpha-2,3-sialyltransferase VI)	1
102314_at	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	1
102327_at	Aoc3	amine oxidase, copper containing 3	1
102366_at	Retn	resistin	1
102373_at	Enpep	glutamyl aminopeptidase	1
102395_at	Pmp22	peripheral myelin protein	1
102426_at	Casq1	calsequestrin 1	1
102749_at	Cox7a1	cytochrome c oxidase, subunit VIIa 1	1
102763_at	S3-12	plasma membrane associated protein, S3-12	1
102809_s_at	Lck	lymphocyte protein tyrosine kinase	1
102916_s_at	Tnxb	tenascin XB	1
102990_at	Col3a1	procollagen, type III, alpha 1	1
103028_at	Itk	IL2-inducible T-cell kinase	1
103083_at	Lipe	lipase, hormone sensitive	1
103087_at	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	1
103422_at	Cd1d1	CD1d1 antigen	1
103574_at	Ablim1	actin-binding LIM protein 1	1
103618_at	Ckmt2	creatine kinase, mitochondrial 2	1
103904_at	Igfbp6	insulin-like growth factor binding protein 6	1
103939_at	Hibch	3-hydroxyisobutyryl-Coenzyme A hydrolase	1
104100_at	2310075E 07Rik	RIKEN cDNA 2310075E07 gene	1
104194_at	Heph	hephaestin	1
104258_at	Acyp2	acylphosphatase 2, muscle type	1
104280_at	Sncg	synuclein, gamma	1
104313_at	Pgm2	phosphoglucomutase 2	1
104325_at	1110025G 12Rik	RIKEN cDNA 1110025G12 gene	1
104412_at	Gnai1	guanine nucleotide binding protein, alpha inhibiting 1	1
104445_at	4631408O 11Rik	RIKEN cDNA 4631408O11 gene	1
104555_at	Myoz1	myozenin 1	1
104601_at	Thbd	thrombomodulin	1
104607_at	Rtn2	reticulon 2 (Z-band associated protein)	1
104638_at	Art1	ADP-ribosyltransferase 1	1
160083_at	Lpl	lipoprotein lipase	1
160280_at	Cav	caveolin, caveolae protein	1
160320_at	Sorbs1	sorbin and SH3 domain containing 1	1
