UNIGENE	InputID	Gene Name
Hs.171695	1005_at	DUAL SPECIFICITY PHOSPHATASE 1
Hs.297324	1035_g_at	TIMP METALLOPEPTIDASE INHIBITOR 3 (SORSBY FUNDUS DYSTROPHY, PSEUDOINFLAMMATORY)
Hs.491611	1137_at	SOLUTE CARRIER FAMILY 20 (PHOSPHATE TRANSPORTER), MEMBER 2
Hs.446427	1315_at	ORNITHINE DECARBOXYLASE ANTIZYME 1
Hs.80741	1348_s_at	PROPIONYL COENZYME A CARBOXYLASE, ALPHA POLYPEPTIDE
Hs.155919	1488_at	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, K
Hs.435051	1797_at	CYCLIN-DEPENDENT KINASE INHIBITOR 2D (P19, INHIBITS CDK4)
Hs.514012	2075_s_at	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3
Hs.126115	314_at	PHOSPHATIDYLINOSITOL GLYCAN, CLASS B
Hs.467284	31511_at	RIBOSOMAL PROTEIN S9
Hs.546288	31511_at	RIBOSOMAL PROTEIN S9
Hs.202097	31609_s_at	PROCOLLAGEN C-ENDOPEPTIDASE ENHANCER
Hs.18069	317_at	LEGUMAIN
Hs.404263	31872_at	SYNOVIAL SARCOMA TRANSLOCATION, CHROMOSOME 18
Hs.479867	31894_at	CENTROMERE PROTEIN C 1
Hs.250899	31906_at	HEAT SHOCK FACTOR BINDING PROTEIN 1
Hs.476680	32038_s_at	SPLICING FACTOR, ARGININE/SERINE-RICH, 46KD
Hs.486074	32113_at	ABSENT IN MELANOMA 1
Hs.189445	32239_at	MATRILIN 2
Hs.513609	32597_at	RETINOBLASTOMA-LIKE 2 (P130)
Hs.439381	32743_at	KIAA0453 PROTEIN
Hs.469820	32776_at	V-RAL SIMIAN LEUKEMIA VIRAL ONCOGENE HOMOLOG B (RAS RELATED; GTP BINDING PROTEIN)
Hs.466766	33137_at	LATENT TRANSFORMING GROWTH FACTOR BETA BINDING PROTEIN 4
Hs.382168	33381_at	NUCLEAR RECEPTOR COACTIVATOR 3
Hs.262857	33442_at	KIAA0367
Hs.409965	33543_s_at	PININ, DESMOSOME ASSOCIATED PROTEIN
Hs.477959	33799_at	SEVEN IN ABSENTIA HOMOLOG 2 (DROSOPHILA)
Hs.12865	33857_at	P47 (RAT)
Hs.477921	33876_at	WW DOMAIN CONTAINING TRANSCRIPTION REGULATOR 1
Hs.529451	33920_at	DIAPHANOUS HOMOLOG 1 (DROSOPHILA)
Hs.31016	34337_s_at	METAL RESPONSE ELEMENT BINDING TRANSCRIPTION FACTOR 2
Hs.521286	34407_at	RETINOIC ACID RECEPTOR RESPONDER (TAZAROTENE INDUCED) 2
Hs.525232	34409_at	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 10
Hs.105105	34657_at	A KINASE (PRKA) ANCHOR PROTEIN 11
Hs.485365	34728_g_at	S-ADENOSYLHOMOCYSTEINE HYDROLASE-LIKE 1
Hs.23960	34736_at	CYCLIN B1
Hs.3873	34774_at	PALMITOYL-PROTEIN THIOESTERASE 1 (CEROID-LIPOFUSCINOSIS, NEURONAL 1, INFANTILE)
Hs.250822	34851_at	AURORA KINASE A
Hs.250072	34936_at	SOLUTE CARRIER FAMILY 4, SODIUM BICARBONATE COTRANSPORTER, MEMBER 7
Hs.5158	35365_at	INTEGRIN-LINKED KINASE
Hs.531081	35367_at	LECTIN, GALACTOSIDE-BINDING, SOLUBLE, 3 (GALECTIN 3)
Hs.370140	35618_at	HELICASE WITH ZINC FINGER
Hs.133512	35682_at	ZINC FINGER CCCH-TYPE, ANTIVIRAL 1
Hs.505033	35701_at	V-HA-RAS HARVEY RAT SARCOMA VIRAL ONCOGENE HOMOLOG
Hs.187866	35747_at	NEUROPLASTIN
Hs.181368	35753_at	PRP8 PRE-MRNA PROCESSING FACTOR 8 HOMOLOG (YEAST)
Hs.546250	35788_at	DYNEIN, CYTOPLASMIC 1, INTERMEDIATE CHAIN 2
Hs.470601	35788_at	DYNEIN, CYTOPLASMIC 1, INTERMEDIATE CHAIN 2
Hs.499925	35790_at	VACUOLAR PROTEIN SORTING 26 HOMOLOG A (YEAST)
Hs.303676	35793_at	RAS-GTPASE ACTIVATING PROTEIN SH3 DOMAIN-BINDING PROTEIN 2
Hs.546239	35834_at	ALPHA-2-GLYCOPROTEIN 1, ZINC
Hs.514505	35850_at	PHOSPHATIDYLSERINE RECEPTOR
Hs.43728	36009_at	GLUTATHIONE PEROXIDASE 7
Hs.501629	36097_at	IMMEDIATE EARLY RESPONSE 2
Hs.490789	36160_s_at	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, N POLYPEPTIDE 2
Hs.533136	36194_at	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN ASSOCIATED PROTEIN 1
Hs.250616	36195_at	ISOCITRATE DEHYDROGENASE 3 (NAD+) ALPHA
Hs.533192	36198_at	TRANSLOCASE OF OUTER MITOCHONDRIAL MEMBRANE 20 HOMOLOG (YEAST)
Hs.279906	36391_at	CYCLIN T1
Hs.546324	36457_at	GUANINE MONPHOSPHATE SYNTHETASE
Hs.443914	36620_at	SUPEROXIDE DISMUTASE 1, SOLUBLE (AMYOTROPHIC LATERAL SCLEROSIS 1 (ADULT))
Hs.519162	36634_at	BTG FAMILY, MEMBER 2
Hs.523332	36636_at	ORNITHINE AMINOTRANSFERASE (GYRATE ATROPHY)
Hs.512857	36644_at	CD151 ANTIGEN (RAPH BLOOD GROUP)
Hs.368157	36667_at	PHOSPHORYLASE, GLYCOGEN; BRAIN
Hs.75678	36669_at	FBJ MURINE OSTEOSARCOMA VIRAL ONCOGENE HOMOLOG B
Hs.459538	36686_at	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A3
Hs.133892	36792_at	TROPOMYOSIN 1 (ALPHA)
Hs.523004	36795_at	PROSAPOSIN (VARIANT GAUCHER DISEASE AND VARIANT METACHROMATIC LEUKODYSTROPHY)
Hs.7277	36864_at	PEROXISOMAL BIOGENESIS FACTOR 3
Hs.517717	36899_at	SPECIAL AT-RICH SEQUENCE BINDING PROTEIN 1 (BINDS TO NUCLEAR MATRIX/SCAFFOLD-ASSOCIATING DNAS)
Hs.499725	36965_at	ANKYRIN 3, NODE OF RANVIER (ANKYRIN G)
Hs.306764	37225_at	ANKYRIN REPEAT DOMAIN 15
Hs.528087	37272_at	INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B
Hs.575804	37272_at	INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B
Hs.247077	37309_at	RAS HOMOLOG GENE FAMILY, MEMBER A
Hs.422986	37374_at	ANNEXIN A4
Hs.480364	37619_at	METHIONYL AMINOPEPTIDASE 1
Hs.46732	37628_at	MONOAMINE OXIDASE B
Hs.433307	37704_at	BRANCHED CHAIN KETO ACID DEHYDROGENASE E1, ALPHA POLYPEPTIDE
Hs.83722	37731_at	EPIDERMAL GROWTH FACTOR RECEPTOR PATHWAY SUBSTRATE 15
Hs.400556	37821_at	BREAST CARCINOMA AMPLIFIED SEQUENCE 1
Hs.504284	37900_at	PEROXISOMAL BIOGENESIS FACTOR 11B
Hs.24601	38026_at	FIBULIN 1
Hs.469615	38033_at	SEPTIN 10
Hs.535917	38033_at	SEPTIN 10
Hs.505806	38063_at	PRE-B-CELL LEUKEMIA TRANSCRIPTION FACTOR INTERACTING PROTEIN 1
Hs.304192	38385_at	DESTRIN (ACTIN DEPOLYMERIZING FACTOR)
Hs.528222	38695_at	NADH DEHYDROGENASE (UBIQUINONE) FE-S PROTEIN 4, 18KDA (NADH-COENZYME Q REDUCTASE)
Hs.205173	38698_at	PREIMPLANTATION PROTEIN 3
Hs.472475	38704_at	MICROTUBULE-ACTIN CROSSLINKING FACTOR 1
Hs.128548	38736_at	WD REPEAT DOMAIN 1
Hs.90436	38817_at	SPERM ASSOCIATED ANTIGEN 7
Hs.288773	39005_s_at	ZINC FINGER PROTEIN 294
Hs.118400	39070_at	FASCIN HOMOLOG 1, ACTIN-BUNDLING PROTEIN (STRONGYLOCENTROTUS PURPURATUS)
Hs.301350	39087_at	FXYD DOMAIN CONTAINING ION TRANSPORT REGULATOR 3
Hs.348350	39103_s_at	DEHYDROGENASE/REDUCTASE (SDR FAMILY) MEMBER 1
Hs.1197	39353_at	HEAT SHOCK 10KDA PROTEIN 1 (CHAPERONIN 10)
Hs.523045	39388_at	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II GAMMA
Hs.12956	39416_at	TAX1 (HUMAN T-CELL LEUKEMIA VIRUS TYPE I) BINDING PROTEIN 3
Hs.512898	39424_at	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 14 (HERPESVIRUS ENTRY MEDIATOR)
Hs.10094	39521_at	SOLUTE CARRIER FAMILY 12 (POTASSIUM/CHLORIDE TRANSPORTERS), MEMBER 4
Hs.397705	39584_at	CALMODULIN BINDING TRANSCRIPTION ACTIVATOR 1
Hs.191219	39706_at	COPINE III
Hs.108029	39714_at	SH3 DOMAIN BINDING GLUTAMIC ACID-RICH PROTEIN LIKE
Hs.25489	39864_at	COLD INDUCIBLE RNA BINDING PROTEIN
Hs.380089	39930_at	EPH RECEPTOR B6
Hs.505	39990_at	ISL1 TRANSCRIPTION FACTOR, LIM/HOMEODOMAIN, (ISLET-1)
Hs.55044	40017_at	REGENERATION ASSOCIATED MUSCLE PROTEASE
Hs.478588	40091_at	B-CELL CLL/LYMPHOMA 6 (ZINC FINGER PROTEIN 51)
Hs.298280	40096_at	ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, ALPHA SUBUNIT 1, CARDIAC MUSCLE
Hs.298280	40096_at	ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, ALPHA SUBUNIT 1, CARDIAC MUSCLE
Hs.220971	40268_at	FOS-LIKE ANTIGEN 2
Hs.568265	40268_at	FOS-LIKE ANTIGEN 2
Hs.499886	40409_at	ALDEHYDE DEHYDROGENASE 3 FAMILY, MEMBER A2
Hs.516746	40413_at	DEATH ASSOCIATED PROTEIN 3
Hs.438102	40422_at	INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 2, 36KDA
Hs.49582	40438_at	PROTEIN PHOSPHATASE 1, REGULATORY (INHIBITOR) SUBUNIT 12A
Hs.458355	40496_at	COMPLEMENT COMPONENT 1, S SUBCOMPONENT
Hs.485557	40508_at	GLUTATHIONE S-TRANSFERASE A4
Hs.472558	40514_at	ERGIC AND GOLGI 3
