Affymetrix ID	Symbol	Description
99065_at	Csnk	casein kappa
104716_at	Rbp1	retinol binding protein 1, cellular
162475_f_at	Pglyrp1	peptidoglycan recognition protein 1
97487_at	Serpine2	serine (or cysteine) proteinase inhibitor, clade E, member 2
104099_at	Pglyrp1	peptidoglycan recognition protein 1
100481_at	Col11a1	procollagen, type XI, alpha 1
99952_at	Chi3l1	chitinase 3-like 1
103061_at	Gad1	glutamic acid decarboxylase 1
100566_at	Igfbp5	insulin-like growth factor binding protein 5
95466_at	Cotl1	coactosin-like 1 (Dictyostelium)
101453_at	Mia	melanoma inhibitory activity
160806_at	Stk39	serine/threonine kinase 39, STE20/SPS1 homolog (yeast)
102410_at	Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
93626_at	Abcg2	ATP-binding cassette, subfamily G (WHITE), member 2
103051_at	Expi	extracellular proteinase inhibitor
160564_at	Lcn2	lipocalin 2
160894_at	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta
103059_at	Fxyd3	FXYD domain-containing ion transport regulator 3
93785_at	Folr1	folate receptor 1 (adult)
102806_g_at	Ceacam1	CEA-related cell adhesion molecule 1 UDP-Gal:betaGlcNAc beta 1,4 galactosyltransferase
102936_at	B4galt6	polypeptide 6
97689_at	F3	coagulation factor III
96090_g_at	4931406C07Rik	RIKEN cDNA 4931406C07 gene
92642_at	Car2	carbonic anhydrase 2
102805_at	Ceacam1	CEA-related cell adhesion molecule 1
101908_s_at	Ceacam2	CEA-related cell adhesion molecule 2
160565_at	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous
97413_at	1600029D21Rik	RIKEN cDNA 1600029D21 gene
95120_at	Tm4sf13	transmembrane 4 superfamily member 13
92275_at	Tcfap2c	transcription factor AP-2, gamma
100593_at	Tnnt2	troponin T2, cardiac
102070_at	Col9a3	procollagen, type IX, alpha 3
99810_at	Gpx2	glutathione peroxidase 2
92927_at	Etv1	ets variant gene 1
98872_at	Ugt8	UDP-glucuronosyltransferase 8
103676_at	C1qtnf1	C1q and tumor necrosis factor related protein 1
95671_at	Hey1	hairy/enhancer-of-split related with YRPW motif 1
95022_at	Akap12	A kinase (PRKA) anchor protein (gravin) 12
92931_at	Dll1	delta-like 1 (Drosophila)
103506_f_at	Dsc2	desmocollin 2
102198_at	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
104221_at	Slc7a5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
93866_s_at	Mglap	matrix gamma-carboxyglutamate (gla) protein
98122_at	Lmo4	LIM domain only 4
98593_at	Cmas	cytidine monophospho-N-acetylneuraminic acid synthetase
103918_at	Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2
103283_at	Elf5	E74-like factor 5
102804_at	Ceacam2	CEA-related cell adhesion molecule 2
102886_at	Gpc4	glypican 4
102064_at	Casp1	caspase 1
101851_at	Mox2	antigen identified by monoclonal antibody MRC OX-2
160829_at	Phlda1	pleckstrin homology-like domain, family A, member 1
94432_at	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1
96709_at	1110008P 14Rik	RIKEN cDNA 1110008P14 gene
104747_at	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
161075_at	D9Ertd280 e	DNA segment, Chr 9, ERATO Doi 280, expressed
102012_at	Scap2	src family associated phosphoprotein 2
102001_at	Rrm2	ribonucleotide reductase M2
102856_at	Sox10	SRY-box containing gene 10
97525_at	Gyk	glycerol kinase
103064_at	Chek1	checkpoint kinase 1 homolog (S. pombe)
94834_at	Ctsh	cathepsin H
160065_s_at	Csrp1	cysteine and glycine-rich protein 1
96056_at	Rhoc	ras homolog gene family, member C
96089_at	4931406C 07Rik	RIKEN cDNA 4931406C07 gene
93372_at	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
