Affymetrix probe ID	0h	6h	12h	24h	Common	Genbank
237671_at	1.162	0.723	0.385	0.551	RAD51L1	AW450288
242068_at	1.032	0.835	0.333	0.602	GK	AA608834
233105_at	0.931	0.655	0.356	0.472		AK026280
244791_at	0.951	0.633	0.450	0.462		AA835936
240141_at	0.966	0.542	0.495	0.493	FLJ14154	BF062399
240625_at	1.088	0.609	0.436	0.711	UBE2E3	AW511032
241681_at	1.043	0.569	0.414	0.537	MBNL1	AW296451
234032_at	0.962	0.625	0.365	0.536	SP1	AF119847
1552536_at	1.045	0.626	0.286	0.414	VTI1A	NM_14520 6
212907_at	1.038	0.416	0.369	0.579	SLC30A1	AI972416
224237_at	1.058	1.118	0.417	0.988		AF119880
244154_at	0.746	0.525	0.415	0.628	DDHD1	AI751130
235786_at	0.984	0.757	0.496	0.567	BCR	AI806781
232307_at	0.983	0.736	0.391	0.531	TMEM123	AK021554
215123_at	0.975	0.764	0.471	0.620	KIAA0220	AL049250
243736_at	0.961	0.706	0.486	0.671	C9orf25	H88339
233231_at	0.968	0.515	0.348	0.825	MCCC2	AU156915
1559964_at	0.979	0.794	0.340	0.546	FLJ38717; FLJ40915	AK096036
239571_at	0.982	0.489	0.480	0.569	MBP	AI123399
1556416_s_a t	1.096	0.725	0.472	0.623	SEC31L1	AF086242
232528_at	0.960	0.522	0.425	0.611	UBE2E3	AI338705
235730_at	1.069	0.750	0.484	0.644		AA830545
236978_at	0.954	0.599	0.398	0.523	THRAP1	N51961
243088_at	1.040	0.869	0.475	0.697	KRIT1	W84667
1561195_at	1.029	0.894	0.467	0.891	TM7SF1	AL832142
240314_at	0.919	0.657	0.462	0.577	NCOR1	AI018235
236966_at	0.883	0.495	0.458	0.621	HSPC056	BF942281
240216_at	0.867	0.489	0.274	0.454	IGHG1	AI805550
233007_at	0.939	0.648	0.447	0.634	XRCC5	AU147192
239597_at	0.960	0.639	0.451	0.494	PAN3	AA993566
243003_at	1.047	0.849	0.481	0.767	CXCL12	AV702197
208109_s_at	0.884	0.722	0.429	0.847	C15orf5	NM_03094 4
237768_x_at	1.008	0.757	0.367	0.580		AA825925
239448_at	0.993	0.665	0.457	0.632	SMAD3	AI475033
1566243_at	0.730	0.570	0.230	0.454	TGFBI	AL390176
222282_at	0.983	0.882	0.473	0.627		AV761453
242457_at	0.982	0.611	0.414	0.685	PAM	AW451107
240552_at	0.991	0.610	0.413	0.495	MTHFD1L	AA811452
232175_at	1.006	0.676	0.473	0.563	ARF1	AI972094
238774_at	0.871	0.768	0.379	0.515	CRSP2	AW960454
230332_at	1.014	0.691	0.407	0.539	SP1	AA872187
232291_at	0.961	0.563	0.414	0.441	C13orf25	AA256157
220728_at	0.883	0.565	0.516	0.438		NM_02512 0
236955_at	0.882	0.592	0.420	0.599	SNRPA1	AA479492
242241_x_at	0.980	0.686	0.490	0.710		R66713
240846_at	0.924	0.667	0.328	0.441	DCOHM	BF223271
232665_x_at	0.709	0.896	0.385	0.801	SMURF1	AL137424
1558410_s_a t	0.992	0.635	0.298	0.467	IMMP2L	AW974642
1566142_at	1.068	1.036	0.475	0.724	MYH10	AK095268
240798_at	0.987	0.808	0.455	0.609		BE467916
242188_at	0.998	0.819	0.444	0.522	PTPRG	AI743332
214295_at	0.981	0.901	0.453	0.553	KIAA0485	AW129056
