ID	Name	Z score sarcomi	Z score Igrov	Function
L27476	X104.	1.32	1.22	Structural and structural regulator codifing genes
AB003476	mRNA for gravin	2.89	1.56	Structural and structural regulator codifing genes
S82240	RhoE, 26 kDa GTPase hom	?2.39	?2.66	Structural and structural regulator codifing genes
M77198	Rac protein kinase beta	?1.97	?2.49	Structural and structural regulator codifing genes
X04098	mRNA for cyt. ? actin	?1.32	?2.22	Structural and structural regulator codifing genes
AF035119	DLC-1.	?1.07	?2.14	Structural and structural regulator codifing genes
Z50022	Glycoprotein.	?1.10	?1.88	Structural and structural regulator codifing genes
X05562	Alpha-2 chain of collagen IV	?2.88	?1.81	Structural and structural regulator codifing genes
X67734	Tag-1	?1.77	?1.49	Structural and structural regulator codifing genes
M19267	Tropomyosin	?1.22	?1.45	Structural and structural regulator codifing genes
M86406	Skeletal muscle alpha 2 actinin (ACTN20)	?1.56	?1.26	Structural and structural regulator codifing genes
L34058	Cadherin 13	?1.56	?1.26	Structural and structural regulator codifing genes
X13839	Vascular smooth muscle alpha-action	?1.81	?1.03	Structural and structural regulator codifing genes
M35250	Myosin heavy chain	?1.73	?1.03	Structural and structural regulator codifing genes
X14420	mRNA for pro alpha-1 type 3 collagen	?3.11	?1.03	Structural and structural regulator codifing genes
M86609	Dihydrodiol dehydrogenase	10.38	2.14	Metabolism-related codifing genes
Y00387	mRNA for glutamine synthetase (EC 6.3.1.2)	3.14	3.73	Metabolism-related codifing genes
X59834	Rearranged mRNA for glutamine synthetase	2.8	1.09	Metabolism-related codifing genes
U90223	Deoxyuridine triphosphate nucleotidohydrolase precursor	1.07	1.08	Metabolism-related codifing genes
K03515	Neuroleukin	?1.42	?2.84	Metabolism-related codifing genes
J05272	IMP dehydrogenase type 1	?2.20	?2.45	Metabolism-related codifing genes
D14874	mRNA for adrenomedullin	?1.38	?2.36	Metabolism-related codifing genes
X94754	Methionyl-tRNA synthetase homologue	?1.04	?2.20	Metabolism-related codifing genes
M77836	Pyrroline 5-carboxylate reductase	?1.90	?1.55	Metabolism-related codifing genes
M64098	High-density lipoprotein binding protein (HBP)	?1.94	?1.29	Metabolism-related codifing genes
S75725	Prostacyclin-stimulating factor	?2.27	?1.23	Metabolism-related codifing genes
L21186	Lysyl oxidase-like protein	?1.47	?1.99	Metabolism-related codifing genes
J05016	Disulphide isomerase	?1.44	?1.16	Metabolism-related codifing genes
X69549	mRNA for rho GDP-dissocitation Inh.2	4.7	1.07	Signal transduction
K02215	Angiotensinogen	1.5	1.13	Signal transduction
X02492	Interf.-ind. mRNA fragment	1.32	1.77	Signal transduction
X79353	XAP-4 for GDP-diss. inhib.	1.08	1.18	Signal transduction
X57347	mRNA for HS1 protein	1.05	1.13	Signal transduction
D26181	mRNA for novel protein kinase PKN	?2.02	?1.49	Signal transduction
U97669	Notch3	?1.61	?1.05	Signal transduction
U96759	Von Hippel–Lindau binding protein (VBP-1)	1.9	1.86	Transcriptional factors
X83703	mRNA for cytokine inducible nuclear protein	?3.85	?1.64	Transcriptional factors
U65093	msg1-related gene 1 (mrg1)	?2.29	?1.64	Transcriptional factors
AB004066	mRNA for DEC1	?5.23	?1.26	Transcriptional factors
S76730	MM1, clone MM1 product	?1.68	?2.28	Transcriptional factors
D42123	mRNA for ESP1/C	1.21	1.84	DNA/RNA-associated proteins
U68536	Zinc finger protein	1.39	1.14	DNA/RNA-associated proteins
D13748	mRNA for eukaryotic initiation factor 4AI	?1.02	?2.50	DNA/RNA-associated proteins
U26710	Cbl-b	?1.12	?1.64	DNA/RNA-associated proteins
AB002373	mRNA for KIAA0375 gene	?1.19	?1.45	Post-translational modifications
M80244	E16	?1.22	?1.40	Post-translational modifications
D86043	SHPS-1	?2.71	?1.36	Post-translational modifications
M30269	Nidogen	?1.74	?1.35	Post-translational modifications
U81800	Monocarboxylate transporter (MCT3)	?1.14	?1.27	Post-translational modifications
L42024	MHC HLA-B39	?1.43	?1.00	Post-translational modifications
D88378	Proteasome inhibitor hPI31 subunit	?1.15	?1.56	Proteasome
AF029669	Rad51C (RAD51C)	1.17	2.13	DNA Repair
X03557	56-KDa prot.ind. by interf.	1.6	2.65	Cytokines and growth factors
L10612	Glycos.-inhib. fact.	1.47	1.22	Cytokines and growth factors
M62762	Vacuolar H + ATPase proton	1.16	1.19	Transport
U53347	Neutral amino acid tran	?1.97	?1.07	Transport
M73832	GM-CSF receptor	1.03	1.66	Receptors
L08485	GABAr	?1.35	?2.19	Receptors
D49547	heat-shock protein 40	1.15	2.17	Protein secretion and chaperones
X87949	mRNA for BiP protein	?3.11	?1.23	Protein secretion and chaperones
X15187	tra 1	?1.57	?1.02	Protein secretion and chaperones
U80747	CAGH3	1.13	1.39	Not yet classified
U79294	Clone 23748	?1.42	?2.41	Not yet classified
U06863	Follistatin-related protein precursor	?2.80	?2.11	Not yet classified
X83425	LU gene	?2.23	?1.72	Not yet classified
J02939	Membrane glycoprotein 4F2 antigen	?1.05	?1.58	Not yet classified
M13899	Prion protein (PrP)	?1.23	?1.51	Not yet classified
M84739	Autoantigen calreticulin	?1.31	?1.43	Not yet classified
J02853	Casein kinase II alpha subunit	?1.23	?1.13	Transferases
D78586	CAD	?1.16	?1.01	Transferases
