Probe set	Accession	Gene Symbol	FC:(Tduc/Tlob)	pfp	Increase	Decrease
219768_at	NM_024626	VTCN1	-7,8064	0	2	21
220770_s_at	NM_022090	LOC63920	-5,3135	0,021	0	24
214657_s_at	AU134977	---	-4,51264	0,071	0	21
203637_s_at	NM_000381	MID1	-3,98089	0,09	0	20
219087_at	NM_017680	ASPN	-3,85208	0,0878	0	23
204041_at	NM_000898	MAOB	-3,54233	0,0824	4	20
212902_at	BE645231	SEC24A	-3,48068	0,0952	2	19
208576_s_at	NM_003537	HIST1H3B	3,3482	0,0909	19	1
225177_at	AA143793	RAB11FIP1	3,483	0,0915	21	2
229366_at	BG149765	CRBN	3,5567	0,0775	20	0
230534_at	AW025362	MGC15634	3,5981	0,0783	20	2
228069_at	AL138828	FAM54A	3,7975	0,0746	20	0
226671_at	AI150000	---	3,8245	0,0988	20	2
226115_at	AI138934	AHCTF1	3,9484	0,0923	22	0
219073_s_at	NM_017784	OSBPL10	3,9724	0,0795	21	1
211379_x_at	AB050855	B3GALT3	4,0264	0,0648	20	0
1553979_at	BC020854	---	4,1034	0,0651	19	0
225491_at	AL157452	SLC1A2	4,1113	0,0615	20	0
241863_x_at	AA703326	TTC14	4,3824	0,0597	20	1
223746_at	BC005231	STK4	4,4682	0,0597	20	2
225706_at	AI761989	GLCCI1	4,4735	0,0659	25	0
1569472_s_at	BC026260	TTC3	4,4945	0,0626	23	0
218247_s_at	NM_016626	RKHD2	4,595	0,0727	19	0
218585_s_at	NM_016448	DTL	4,6388	0,0362	19	1
204170_s_at	NM_001827	CKS2	4,8428	0,0425	20	2
226067_at	AL355392	C20orf114	4,914	0,0336	19	0
1568838_at	AI015847	---	4,9579	0,0314	20	1
215392_at	AU148154	MINPP1	4,9988	0,0376	21	1
211776_s_at	BC006141	EPB41L3	5,2622	0,0361	21	0
204351_at	NM_005980	S100P	5,2937	0,0275	19	0
201131_s_at	NM_004360	CDH1	5,9657	0,005	19	3
205509_at	NM_001871	CPB1	11,0715	0	19	1
