SPOT	NOBS	NREL	BETAUNADJ	SEUNADJ	PLRUNADJ	Well ID	Clone IMAGE	Title	Gene	Map
5182	99	45	1.31	0.3	0	27192	291660	Adenine nucleotide translocator 2	SLC25A5	Xq24-q26
3263	99	45	1.41	0.32	0	27154	259466	Adenine nucleotide translocator 2	SLC25A5	Xq24-q26
6497	98	45	1.25	0.29	0	209373	757210	sec13-like protein	SEC13L	18
348	99	45	1.37	0.33	0	27203	291660	Adenine nucleotide translocator 2	SLC25A5	Xq24-q26
5962	98	44	2.26	0.59	0	208395	260035	interferon regulatory factor 5	IRF5	7q32
6295	98	44	1.79	0.5	0	200785	31093	H-cadherin	CDH13	16q24.2-q24.3
4220	99	45	1.45	0.4	0	27215	295528	T-cell receptor alpha
5997	97	44	2.1	0.59	0	208825	854576	protein phosphatase 1, regulatory (inhibitor) subunit 12A	PPP1R12A	12q15-q21
4778	99	45	1.55	0.43	0	28191	267753	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
975	94	42	-2.51	0.76	0	200506	281904	KIAA0349 protein	KIAA0349	6
4452	99	45	0.74	0.21	0	202783	246620	spermatid perinuclear RNA-binding protein	STRBP	9q33.1-q33.3
3914	99	45	2.29	0.67	0	200935	321708	transcription factor Dp-1	TFDP1	13q34
1880	99	45	-2.28	0.66	0	28204	235911	SMRT=silencing mediator of retinoid and thyroid hormone action=corepressor	NCOR2	12q24
894	99	45	-1.15	0.39	0	28131	730921	Glutathione S-transferase M3 (brain)	GSTM3	1p13.3
2780	99	45	2.66	0.8	0	26963	51058	E2F-4=pRB-binding transcription factor	E2F4	16q21-q22
3322	98	45	1.53	0.47	0	28256	344080	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
2416	99	45	1.24	0.35	0	157732	50666	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	1p36.1
5485	99	45	-0.98	0.37	0	208326	878835	Norrie disease (pseudoglioma)	NDP	Xp11.4
2960	99	45	-1.79	0.56	0	201660	950574	H3 histone, family 3B (H3.3B)	H3F3B	17q25
6025	99	45	1.42	0.45	0	202125	786607	transcription elongation factor A (SII)-like 1	TCEAL1	Xq22.1
4784	99	45	1.32	0.4	0	28215	1272373	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
7622	98	44	1.31	0.41	0	27280	325880	tubulin-beta	FKBP1A	20p13
2069	98	45	-2.93	0.99	0	207729	262028	ESTs		3
6220	99	45	1	0.3	0	28243	293934	CAS=chromosome segregation gene homolog	CSE1L	20q13
6736	99	45	0.97	0.31	0	28559	789376	Thioredoxin reductase=GRIM-12=mediates cell death effects of the combination of beta interferon and retinoic acid	TXNRD1	12q23-q24.1
3980	99	45	1.45	0.46	0	205519	290753	Homo sapiens citrate synthase mRNA, complete cds	CS	12p11-qter
7296	97	43	1.1	0.35	0	201392	789376	Thioredoxin reductase=GRIM-12=mediates cell death effects of the combination of beta interferon and retinoic acid	TXNRD1	12q23-q24.1
5351	98	45	2.01	0.63	0	201074	178779	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	GNAL	18p11.22-p11.21
7214	98	44	1.45	0.48	0	28777	236282	WASP=Wiskott-Aldrich syndrome protein	WAS	Xp11.4-p11.21
6498	99	45	2.3	0.83	0	209375	46196	ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens]		12
5502	97	45	1.53	0.48	0	208684	745138	ESTs, Highly similar to A23035 tubulin alpha chain [H.sapiens]
2415	87	42	0.87	0.27	0	157730	50117	glyceraldehyde-3-phosphate dehydrogenase	GAPD	12p13
6707	97	43	1.24	0.4	0	28357	201994	Purine nucleoside phophorylase=Inosine phosphorylase=PNP	NP	14q13.1
4496	99	45	2.28	0.76	0	207671	320509	cytochrome b5 outer mitochondrial membrane precursor	CYB5-M	16
3528	98	45	0.9	0.3	0	207852	811166	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	2p25.2-p25.1
5976	98	44	1.52	0.5	0	208447	856135	SFRS protein kinase 1	SRPK1	6p21.3-p21.2
5593	97	45	0.38	0.12	0	200118	135221	S100 calcium-binding protein P	S100P	4p16
3856	90	44	-1.64	0.53	0	150035	214441	Immunoglobulin mu	CSF2	5q31.1
2052	98	44	0.66	0.21	0	203051	196005	aquaporin 3	AQP3	9p13
7423	99	45	-2.97	1	0	208534	744010	Homo sapiens mRNA; cDNA DKFZp586K1318 (from clone DKFZp586K1318)
6181	99	45	1.36	0.46	0	27613	647007	Cyclin C=G1/S-specific cyclin	CCNC	6q21
3912	99	45	-1.55	0.53	0	200931	198917	Homo sapiens GT212 mRNA		17
2456	99	45	-1.02	0.36	0	201379	486208	transforming growth factor, beta 3	TGFB3	14q24
