Probe Set ID	Standard Cox Coefficient	Cox P	Gene Description
211133_x_at	–3.215	0.0011	Immunoglobulin-like transcript 5 protein
201020_at	–3.156	0.0016	Tyrosine 3-monooxygenasetryptophan 5-monooxygenase activation protein
215747_s_at	–3.036	0.0024	Cell cycle gene RCC1
209212_s_at	3.002	0.0027	Transcription factor BTEB2
201850_at	–2.842	0.0045	Capping protein (actin filament), gelsolin-like (CAPG)
211005_at	–3.249	0.0012	Linker for activation of T cells (LAT)
210870_s_at	–2.835	0.0046	Lafora disease (laforin)
205136_s_at	–2.542	0.011	Nuclear fragile X mental retardation protein interacting protein 1 (NUFIP1)
221421_s_at	2.494	0.0126	Disintegrin-like and metalloprotease with thrombospondin (ADAMTS12)
207086_x_at	2.493	0.0126	G antigen 4 (GAGE4)
210724_at	2.484	0.013	EGF-like module-containing mucin-like receptor EMR3
210326_at	2.482	0.0131	Alanine:glyoxylate aminotransferase
220001_at	2.48	0.0131	Peptidyl arginine deiminase, type V
219883_at	2.468	0.0136	Potassium inwardly rectifying channel, subfamily K, member 4 (KCNK4)
206478_at	2.459	0.0139	KIAA0125 gene product (KIAA0125)
220678_at	2.453	0.0142	Hypothetical protein FLJ20712 (FLJ20712)
204416_x_at	2.444	0.0145	Apolipoprotein C-I (APOC1)
221790_s_at	2.442	0.0146	Consensus includes gb:AL545035
218895_at	2.434	0.0149	Hypothetical protein FLJ12455 (FLJ12455)
217453_at	2.432	0.015	Consensus includes gb:AL133089.1
203461_at	2.429	0.0151	Chromodomain helicase DNA binding protein 2 (CHD2)
216692_at	2.427	0.0152	Consensus includes gb:AL137428.1
209847_at	N/A	N/A	Cadherin 17
