Gene	Accession Number	Fold Change	Function
Keratin 16	AW082035	24.3	Genes related to keratinization
Keratin 15	AU122673	21.2	Genes related to keratinization
Keratin 6A	BG681462	17.2	Genes related to keratinization
Human epidermal cytokeratin 2	M99061	6.8	Genes related to keratinization
Similar to keratin 7	BC002700	5.5	Genes related to keratinization
Keratin 7	BI094014	5.2	Genes related to keratinization
Keratin 8	B1255878	3.4	Genes related to keratinization
Retinoblastoma binding protein	X72841	4	Genes related to tumor suppression
Suppression of tumorigenecity 14	AL548113	3.6	Genes related to tumor suppression
Tumor suppression subtransferable	BE670374	3.8	Genes related to tumor suppression
SW1/SNF (negative regulator of cell cycle)	BF111200	3.3	candidate 3
Cyclin-dependent kinase inhibitor 1A	U38904	3.1	candidate 3
Programmed cell death 5	AA452724	4.4	Genes related to apoptosis
Nonmetastatic cell 1 protein	BG753664	4.2	Genes related to apoptosis
Caspase 4 (apoptosis-related cysteine protease)	BG572762	3.7	Genes related to apoptosis
Programmed cell death 10	AI052299	3.3	Genes related to apoptosis
Programmed cell death 9	Z22971	3.1	Genes related to apoptosis
Immunoglobulin Ig lambda joining 3	BF338816	8.1	Immunity related genes
Immunoglobulin lambda like polypeptide 3	AW898081	7.2	Immunity related genes
Interferon protein 16	BG434340	5.1	Immunity related genes
Ig gamma heavy chain	AF027159	4.5	Immunity related genes
Ig kappa light chain	AJ010442	4.5	Immunity related genes
Interleukin-8	BG777366	4.2	Immunity related genes
HLA-G, HC class I G	AF071019	4.1	Immunity related genes
Interferon, gamma-inducible protein 30	BG025622	3.9	Immunity related genes
Interleukin enhancer binding factor 2	AU123321	3.7	Immunity related genes
Interleukin-13 receptor, alpha 1	AI816791	3.2	Immunity related genes
Laminin beta-3	AY035783	12.6	Genes related to cell adhesion
P cadherin	X63629	10.1	Genes related to cell adhesion
Collagen type I	AW577407	9.7	Genes related to cell adhesion
Collagen type III	X14420	7.5	Genes related to cell adhesion
Collagen type VI, alpha 2	AI635289	5.3	Genes related to cell adhesion
Serine or cysteine proteinase inhibitor 3	BE856006	4.5	Genes related to cell adhesion
E cadherin	AU125850	4.5	Genes related to cell adhesion
Gap junction protein (connexin 43)	X52947	4.4	Genes related to cell adhesion
Claudin 1	AF101051	4.2	Genes related to cell adhesion
Integrin beta-4 binding protein	BI908045	4	Genes related to cell adhesion
Laminin gamma-2	AA677534	3.9	Genes related to cell adhesion
Junction plakoglobin	BG775483	3.6	Genes related to cell adhesion
Osteonectin gene	BI599403	3.6	Genes related to cell adhesion
Cadherin 11, type 2	M25743	3.6	Genes related to cell adhesion
Collagen binding protein 2	D83174	3.5	Genes related to cell adhesion
Integrin, beta-2	N25699	3.3	Genes related to cell adhesion
Integral membrane protein 1	L38961	3.2	Genes related to cell adhesion
