Probe set 	GenBank 	Locus Link 	Official Symbol 	Gene name 	Expressed in docetaxel	Docetaxel Resistance
1008_f_at 	U50648 	5610	PRKR 	"protein kinase, interferon-inducible double stranded RNA dependent "	Resistant	Up
1199_at 	D13748 	1973	EIF4A1 	"eukaryotic translation initiation factor 4A, isoform 1 "	Sensitive	Down
1250_at 	U47077 	5591	PRKDC 	"protein kinase, DNA-activated, catalytic polypeptide "	Resistant	Up
1624_at 	X63465 	5910	RAP1GDS1 	"RAP1, GTP-GDP dissociation stimulator 1 "	Sensitive	Down
1635_at 	U07563 	25	ABL1 	v-abl Abelson murine leukaemia viral oncogene homologue 1 	Sensitive	Down
1641_s_at 	U32986 	1642	DDB1 	damage-specific DNA binding protein 1 (127kD) 	Sensitive	Down
1751_g_at 	AD000092 	811	CALR 	calreticulin 	Sensitive	Down
1997_s_at 	U19599 	581	BAX 	BCL2-associated X protein 	Sensitive	Down
2085_s_at 	D14705 	1495	CTNNA1 	"catenin (cadherin-associated protein), alpha 1 (102kD) "	Sensitive	Down
31431_at 	U12255 	2217	FCGRT 	"Fc fragment of IgG, receptor, transporter, alpha "	Sensitive	Down
31432_g_at 	U12255 	2217	FCGRT 	"Fc fragment of IgG, receptor, transporter, alpha "	Sensitive	Down
31638_at 	AC005329 	2593	GAMT 	guanidinoacetate N-methyltransferase 	Sensitive	Down
32099_at 	D50928 	9667	KIAA0138 	KIAA0138 gene product 	Resistant	Up
32331_at 	X60673 	205	AK3 	adenylate kinase 3 	Sensitive	Down
32523_at 	M20470 	1212	CLTB 	"clathrin, light polypeptide (Lcb) "	Sensitive	Down
32843_s_at 	M30448 	1460	CSNK2B 	"casein kinase 2, beta polypeptide "	Sensitive	Down
33133_at 	U80184 	2314	FLII 	flightless I homologue (Drosophila) 	Sensitive	Down
33214_at 	Y11681 	6183	MRPS12 	mitochondrial ribosomal protein S12 	Sensitive	Down
33285_i_at 	W26762 	80143	FLJ21168 	hypothetical protein FLJ21168 	Resistant	Up
33371_s_at 	U59877 	11031	RAB31 	"RAB31, member RAS oncogene family "	Sensitive	Down
33393_at 	AJ237946 	11269	DDX19 	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homologue, yeast) "	Sensitive	Down
33781_s_at 	AF075599 	9040	UBE2M 	"ubiquitin-conjugating enzyme E2M (UBC12 homologue, yeast) "	Sensitive	Down
33931_at 	X71973 	2879	GPX4 	glutathione peroxidase 4 (phospholipid hydroperoxidase) 	Sensitive	Down
34163_g_at 	D84111 	11030	RBPMS 	RNA-binding protein gene with multiple splicing 	Sensitive	Down
34305_at 	Z29505 	5093	PCBP1 	poly(rC) binding protein 1 	Sensitive	Down
34816_at 	AI143868 	57634	EP400 	trinucleotide repeat containing 12 	Sensitive	Down
34845_at 	AL035398 	25813	CGI-51 	CGI-51 protein 	Sensitive	Down
35626_at 	U30894 	6448	SGSH 	N-sulfoglucosamine sulfohydrolase (sulfamidase) 	Sensitive	Down
35695_at 	U67615 	1130	CHS1 	Chediak-Higashi syndrome 1 	Sensitive	Down
35733_at 	AF006082 	10097	ACTR2 	ARP2 actin-related protein 2 homologue (yeast) 	Sensitive	Down
35807_at 	M21186 	1535	CYBA 	"cytochrome b-245, alpha polypeptide "	Sensitive	Down
35844_at 	D79206 	6385	SDC4 	"syndecan 4 (amphiglycan, ryudocan) "	Sensitive	Down
36125_s_at 	L38696 	22913	RALY 	RNA-binding protein (autoantigenic) 	Sensitive	Down
36208_at 	D42040 	6046	BRD2 	bromodomain-containing 2 	Sensitive	Down
36626_at 	X87176 	3295	HSD17B4 	hydroxysteroid (17-beta) dehydrogenase 4 	Sensitive	Down
36811_at 	U24389 	4016	LOXL1 	lysyl oxidase-like 1 	Sensitive	Down
36846_s_at 	AA121509 	51690	LSM7 	U6 snRNA-associated Sm-like protein LSm7 	Sensitive	Down
36898_r_at 	X74331 	5558	PRIM2A 	"primase, polypeptide 2A (58kD) "	Resistant	Up
36991_at 	L14076 	6429	SFRS4 	"splicing factor, arginine/serine-rich 4 "	Resistant	Up
37313_at 	U80017 	2966	GTF2H2 	"general transcription factor IIH, polypeptide 2 (44kD subunit) "	Sensitive	Down
37361_at 	AF010187 	9158	FIBP 	fibroblast growth factor (acidic) intracellular binding protein 	Sensitive	Down
37674_at 	Y00451 	211	ALAS1 	"aminolevulinate, delta-, synthase 1 "	Sensitive	Down
38211_at 	AL050276 	26137	ZNF288 	zinc finger protein 288 	Sensitive	Down
38259_at 	AB002559 	6813	STXBP2 	syntaxin binding protein 2 	Resistant	Up
38372_at 	U66042 		Unnamed 	Cluster Incl. U66042:Human clone 191B7 placenta expressed mRNA from chromosome X /cds=UNKNOWN /gb=U66042 /gi=15 	Sensitive	Down
38613_at 	U61837 	10467	CG1I 	putative cyclin G1 interacting protein 	Sensitive	Down
38618_at 	AC002073 	3985	LIMK2 	LIM domain kinase 2 	Sensitive	Down
38686_at 	X71490 	9114	ATP6V0D1 	"ATPase, H+ transporting, lysosomal (vacuolar proton pump), member D "	Sensitive	Down
38765_at 	AB028449 	23405	DICER1 	helicase-moi 	Sensitive	Down
38784 g at 	J05581 	4582	MUC1 	"mucin 1, transmembrane "	Sensitive	Down
38791_at 	D29643 	1650	DDOST 	dolichyl-diphosphooligosaccharide-protein glycosyltransferase 	Sensitive	Down
38831_f_at 	AF053356 	2056	EPO 	erythropoietin 	Sensitive	Down
38850_at 	M11119 		Unnamed 	Cluster Incl. M11119:Human endogenous retrovirus envelope region mRNA (PL1) /cds=UNKNOWN /gb=M11119 /gi=182205 	Sensitive	Down
38942_r_at 	W28610 	57405	AD024 	AD024 protein 	Resistant	Up
38998_g_at 	X96924 	6576	SLC25A1 	"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 "	Sensitive	Down
