No	Gene	Entrez ID	b
1	ACADSB	36	-0.531633979
2	ALDH2	217	-0.228853543
3	AURKB	9212	0.662493425
4	BIRC5	332	0.674667976
5	CASP2	835	0.350923057
6	CCNA2	890	0.287275864
7	CDC2	983	0.448968856
8	CENPA	1058	0.683746263
9	CENPE	1062	0.226209535
10	CHEK1	1111	0.319989573
11	CKS1B	1163	0.475376443
12	CKS2	1164	0.285249564
13	DBF4	10926	0.171956309
14	DHFR	1719	0.279449623
15	DTL	51514	0.602013178
16	ECT2	1894	0.356643015
17	ELOVL1	64834	0.263969594
18	EZH2	2146	0.639796908
19	GMNN	51053	0.440128508
20	HELLS	3070	0.345696355
21	HMMR	3161	0.331941581
22	KIAA0101	9768	0.289466872
23	KIF11	3832	0.28342047
24	KIF20A	10112	0.693620762
25	KIF22	3835	0.385283873
26	KIF23	9493	0.49527375
27	KIF4A	24137	0.468496776
28	KPNA2	3838	0.486528732
29	KPNA4	3840	0.289172732
30	LSM2	57819	0.264347389
31	MAD2L1	4085	0.522149821
32	MAP1B	4131	0.267370966
33	MCM10	55388	0.495487806
34	MCM2	4171	0.428783177
35	MCM3	4172	0.48642285
36	MCM5	4174	0.47538111
37	MCM6	4175	0.521818603
38	MELK	9833	0.5606478
39	MKI67	4288	0.36995226
40	MSH6	2956	0.384614443
41	NEK2	4751	0.534716984
42	NUSAP1	51203	0.452246852
43	PAICS	10606	0.305584885
44	PCNA	5111	0.475456198
45	PLK4	10733	0.398350495
46	POLE	5426	-0.183707292
47	POLE2	5427	0.408237992
48	PRIM1	5557	0.220941864
49	PRIM2A	5558	0.299869442
50	RAD21	5885	0.271136147
51	RBL1	5933	0.493397316
52	SHCBP1	79801	0.496491836
53	SLBP	7884	0.30417314
54	SLC16A4	9122	-0.331760846
55	SPAG5	10615	0.50095709
56	TACC3	10460	0.361396064
57	TK1	7083	0.631518313
58	TNXB	7148	0.252874317
59	TOP2A	7153	0.266562649
60	TPX2	22974	0.583061779
61	UQCRFS1	7386	0.244744895
