Affymetrix ID	Accession	Gene Symbol	Gene Description
202992_at	NM_000587	C7	complement component 7
238695_s_at	AW960289	RAB39B	RAB39B, member RAS oncogene family
208335_s_at	NM_002036	FY	Duffy blood group
229177_at	AI823572	MGC45438	hypothetical protein MGC45438
230075_at	AV724323	RAB39B	RAB39B, member RAS oncogene family
209867_s_at	AF307080	LPHN3	latrophilin 3
208062_s_at	NM_013984	NRG2	neuregulin 2
211748_x_at	BC005939	PTGDS	prostaglandin D2 synthase 21kDa (brain)
201525_at	NM_001647	APOD	apolipoprotein D
235849_at	BE787752	MGC45780	hypothetical protein MGC45780
207118_s_at	NM_004659	MMP23B	matrix metalloproteinase 23B
1568648_a_at	AI675849		CDNA FLJ43698 fis, clone TCERX2000998
212187_x_at	NM_000954	PTGDS	prostaglandin D2 synthase 21kDa (brain)
231614_at	BG054761		Transcribed sequences
218872_at	NM_017899	TSC	hypothetical protein FLJ20607
209821_at	AB024518	C9orf26	chromosome 9 open reading frame 26 (NF-HEV)
212713_at	R72286	MFAP4	microfibrillar-associated protein 4
229839_at	AI799784	MGC45780	hypothetical protein MGC45780
223623_at	AF325503	ECRG4	esophageal cancer related gene 4 protein
206262_at	NM_000669	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
1557642_at	AK090907	FLJ22527	hypothetical protein FLJ22527
207437_at	NM_006491	NOVA1	neuro-oncological ventral antigen 1
241274_at	AA017359		Transcribed sequences
204719_at	NM_007168	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8
203029_s_at	NM_002847	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2
228399_at	AI569974	OSR1	odd-skipped homolog (Drosophila)
1561450_at	BC043264		Homo sapiens cDNA clone IMAGE:5296753, partial cds.
220276_at	NM_024730	FLJ22655	hypothetical protein FLJ22655
244204_at	W87300	PRR3	proline-rich polypeptide 3
1560819_a_at	AI138766		qe03f02.x1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1737915 3, mRNA sequence.
1554384_at	BC009701	PADI2	peptidyl arginine deiminase, type II
1555925_at	BE045368		hh20e02.x1 NCI_CGAP_Lu24 Homo sapiens cDNA clone IMAGE:2955674 3, mRNA sequence.
1561872_at	AF085950		Full length insert cDNA clone YR76A11
209505_at	AI951185	NR2F1	nuclear receptor subfamily 2, group F, member 1
229116_at	AI670947	CNK2	connector enhancer of KSR2
211663_x_at	M61900	PTGDS	prostaglandin-H-2 D-isomerase precursor; Homo sapiens prostaglandin D synthase precursor, mRNA, complete cds.
