GenBank_ID	Definition	Ratios
NM_004056	Homo sapiens carbonic anhydrase VIII (CA8), mRNA	0.13
NM_003507	Homo sapiens frizzled (Drosophila) homolog 7 (FZD7), mRNA	0.233
BC014890	Homo sapiens, slug (chicken homolog), zinc finger protein, clone MGC:10182 IMAGE:3908245, mRNA, complete cds	0.248
NM_006350	Homo sapiens follistatin (FST), transcript variant FST317, mRNA	0.261
NM_006209	Homo sapiens ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin) (ENPP2), mRNA	0.273
AL512688	Homo sapiens mRNA; cDNA DKFZp547J2313 (from clone DKFZp547J2313)	0.301
NM_012413	Homo sapiens glutaminyl-peptide cyclotransferase (glutaminyl cyclase) (QPCT), mRNA	0.311
AL133623	Homo sapiens mRNA; cDNA DKFZp434P0721 (from clone DKFZp434P0721); partial cds	0.34
NM_002765	Homo sapiens phosphoribosyl pyrophosphate synthetase 2 (PRPS2), mRNA	0.344
NM_015680	Homo sapiens hypothetical protein (CGI-57), mRNA	0.374
D86982	Human mRNA for KIAA0229 gene, partial cds	0.374
NM_005744	Homo sapiens ariadne (Drosophila) homolog, ubiquitin-conjugating enzyme E2-binding protein, 1 (ARIH1), mRNA	0.391
AL117657	Homo sapiens mRNA; cDNA DKFZp586F1924 (from clone DKFZp586F1924)	0.395
NM_004629	Homo sapiens Fanconi anaemia, complementation group G (FANCG), mRNA	0.404
NM_001693	Homo sapiens ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 2 (ATP6B2), mRNA	0.412
AB029551	Homo sapiens YEAF1 mRNA for YY1 and E4TF1 associated factor 1, complete cds	0.43
NM_001822	Homo sapiens chimerin (chimaerin) 1 (CHN1), mRNA	0.439
BC004538	Homo sapiens, clone IMAGE:3947276, mRNA, partial cds	0.457
NM_006392	Homo sapiens nucleolar protein (KKE/D repeat) (NOP56), mRNA	0.466
AB067489	Homo sapiens mRNA for KIAA1902 protein, partial cds	0.48
NM_001011	Homo sapiens ribosomal protein S7 (RPS7), mRNA	0.482
NM_004965	Homo sapiens high-mobility group (nonhistone chromosomal) protein 14 (HMG14), mRNA	0.489
NM_018457	Homo sapiens DKFZp564J157 protein (DKFZP564J157), mRNA	2.113
NM_014908	Homo sapiens KIAA1094 protein (KIAA1094), mRNA	2.116
NM_024056	Homo sapiens hypothetical protein MGC5576 (MGC5576), mRNA	2.117
NM_018046	Homo sapiens hypothetical protein FLJ10283 (FLJ10283), mRNA	2.135
AL110204	Homo sapiens mRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)	2.178
NM_004598	Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) (SPOCK), mRNA	2.233
NM_005816	Homo sapiens T cell activation, increased late expression (TACTILE), mRNA	2.245
NM_002039	Homo sapiens GRB2-associated binding protein 1 (GAB1), mRNA	2.253
L08895	Homo sapiens MADS/MEF2-family transcription factor (MEF2C) mRNA, complete cds	2.291
AB037746	Homo sapiens mRNA for KIAA1325 protein, partial cds	2.301
NM_001061	Homo sapiens thromboxane A synthase 1 (platelet, cytochrome P450, subfamily V) (TBXAS1), transcript variant TXS-I, mRNA	2.321
NM_017918	Homo sapiens hypothetical protein FLJ20647 (FLJ20647), mRNA	2.325
NM_016185	Homo sapiens haematological and neurological expressed 1 (HN1), mRNA	2.327
AL050107	Homo sapiens mRNA; cDNA DKFZp586I1419 (from clone DKFZp586I1419); partial cds	2.359
NM_001423	Homo sapiens epithelial membrane protein 1 (EMP1), mRNA	2.392
NM_003928	Homo sapiens CAAX box 1 (CXX1), mRNA	2.442
BC016962	Homo sapiens, clone IMAGE:4182947, mRNA	2.47
AL137311	Homo sapiens mRNA; cDNA DKFZp761G02121 (from clone DKFZp761G02121); partial cds	2.564
NM_021910	Homo sapiens FXYD domain-containing ion transport regulator 3 (FXYD3), transcript variant 2, mRNA	2.565
NM_018355	Homo sapiens hypothetical protein FLJ11191 (FLJ11191), mRNA	2.584
NM_002659	Homo sapiens plasminogen activator, urokinase receptor (PLAUR), mRNA	2.589
NM_002727	Homo sapiens proteoglycan 1, secretory granule (PRG1), mRNA	2.821
BC011878	Homo sapiens, Similar to hypothetical protein FLJ14627, clone MGC:20447 IMAGE:3532898, mRNA, complete cds	2.843
NM_007021	Homo sapiens decidual protein induced by progesterone (DEPP), mRNA	2.875
NM_014622	Homo sapiens loss of heterozygosity, 11, chromosomal region 2, gene A (LOH11CR2A), mRNA	2.936
AK027071	Homo sapiens cDNA: FLJ23418 fis, clone HEP21245, highly similar to HSU35048 Human TSC-22 protein mRNA	2.938
AK027727	Homo sapiens cDNA FLJ14821 fis, clone OVARC1000556, highly similar to RIBOSOMAL PROTEIN S6 KINASE II ALPHA 2 (EC 2.7.1.-)	2.971
AL157424	Homo sapiens mRNA; cDNA DKFZp761E1512 (from clone DKFZp761E1512)	3.025
NM_006818	Homo sapiens ALL1-fused gene from chromosome 1q (AF1Q), mRNA	3.045
L78132	Human prostate carcinoma tumour antigen (pcta-1) mRNA, complete cds	3.083
NM_001085	Homo sapiens serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 (SERPINA3), mRNA	3.253
AK025983	Homo sapiens cDNA: FLJ22330 fis, clone HRC05729, highly similar to AF131821 Homo sapiens clone 24877 mRNA sequence	3.254
NM_002825	Homo sapiens pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1) (PTN), mRNA	4.124
NM_030763	Homo sapiens nucleosomal binding protein 1 (NSBP1), mRNA	4.813
NM_000583	Homo sapiens group-specific component (vitamin D binding protein) (GC), mRNA	4.882
NM_000640	Homo sapiens interleukin 13 receptor, alpha 2 (IL13RA2), mRNA	7.36
