Gene symbol	Gene description	Clone ID	p-value	Fold change	Function
VIM	Vimentin	840511	<0.01	7.03	Cytoskeleton organization/regulation
CCT4	Chaperonin containing t-complex polypeptide 1 subunit 4	897880	0.03	2.77	Cytoskeleton organization/regulation
TMSB10	Thymosin beta 10	840788	<0.01	2.41	Cytoskeleton organization/regulation
TPM2	Tropomyosin 2 beta	740620	<0.01	2.27	Cytoskeleton organization/regulation
PFN1	Profilin 1	826173	0.03	2.11	Cytoskeleton organization/regulation
SLC7A5	Cationic amino acid transporter	755578	<0.01	3.99	Transport
AQP4	Aquaporin 4 C2 isoform	279172	<0.01	2.41	Transport
ATP6F	ATPase	810725	<0.01	2.29	Transport
APOC3	Apolipoprotein C-III	246765	<0.01	2.28	Transport
SLC3A2	Solute carrier family 3	856454	0.02	2.16	Transport
DXS1357E	B-cell receptor-associated protein 31	877832	<0.01	4.36	Apoptosis and cell death
MFGE8	Milk fat globule-EGF factor 8 protein	785744	<0.01	3.26	Apoptosis and cell death
PSMB5	Proteasome beta 5 subunit	1460110	0.02	3.25	Apoptosis and cell death
PSMD2	Proteasome 26S non-ATPase subunit 2	809992	<0.01	2.78	Apoptosis and cell death
PDCD61P	Programmed cell death 6 interacting protein	242955	<0.01	2.43	Apoptosis and cell death
PDCD1	Programmed cell death 1 precursor	2464548	0.02	2.36	Apoptosis and cell death
GRIM19	Cell death-regulatory protein	321389	<0.01	2.15	Apoptosis and cell death
CNIL	Cornichon-like protein	291348	<0.01	5.06	Signal transduction
STK38L	Serine/threonine kinase 38 like	307304	0.03	2.23	Signal transduction
DLC1	Rho-GTPase-activating protein	855422	0.03	2.23	Signal transduction
SIP2-28	Calcium and integrin binding 1	841679	<0.01	2.21	Signal transduction
SEC4L	Member of RAS oncogene family	81315	0.03	2.06	Signal transduction
MYC	p67 myc protein	417226	0.03	3.95	Regulation of transcription
FOSL1	Fos related antigen 1	110503	<0.01	2.47	Regulation of transcription
HCNGP	Transcriptional regulator protein	838662	0.02	2.38	Regulation of transcription
ATF4	Activating transcription factor 4	949971	<0.01	2.28	Regulation of transcription
MT1H	Metallothionein 1H	214162	<0.01	5.18	Miscellaneous
MT1L	Metallothionein 1X	297392	<0.01	4.2	Miscellaneous
CDK4	Cyclin-dependent kinase 4	842806	<0.01	3.15	Miscellaneous
MT1G	Metallothionein 1G	202535	0.02	3.07	Miscellaneous
HSPA1L	Heat shock 70 kda protein 1-like	50615	0.04	3.04	Miscellaneous
RPL32	Ribosomal protein L32	32684	0.03	2.88	Miscellaneous
RPL10	Ribosomal protein L10	66686	0.02	2.65	Miscellaneous
TNFRSF5	Tumor necrosis factor receptor superfamily member 5 precursor	261519	<0.01	2.46	Miscellaneous
AKAP12	A-kinase anchor proteins	784772	0.02	2.41	Miscellaneous
HF1	Complement factor H1	84750	<0.01	2.41	Miscellaneous
RAGE	Renal tumor antigen	289666	<0.01	2.31	Miscellaneous
MAT2A	Methionine adenosyltransferase II, alpha	79502	0.03	2.22	Miscellaneous
PDAP1	PDGFA-associated protein 1	824426	<0.01	2.15	Miscellaneous
NME1	Nonmetastatic cells 1 protein	845363	0.03	2.12	Miscellaneous
PTP4A1	Protein tyrosine phosphatase type IVA, member 1	42739	0.04	2.08	Miscellaneous
AARS	Alanyl-tRNA synthetase	588829	<0.01	2.07	Miscellaneous
PMS2	Postmeiotic segregation increased 2	116906	0.05	2.03	Miscellaneous
GABARAP	GABA(A) receptor-associated protein	810741	0.04	2.01	Miscellaneous
