55 gene set	Symbol	ID	Gene
166	AA669750	AA669750
8288	AARS	AA156571	alanyl-tRNA synthetase
10013	AI356415	MIRP2	POTASSIUM CHANNEL, VOLTAGE-GATED, ISK-RELATED SUBFAMILY, MEMBER 3; KCNE3
9892	BRCA2	H48122	breast cancer 2, early onset
10232	BTD	R17765	biotinidase
8149	BTG2	H69583	BTG family, member 2
3100	C4A	AA664406	complement component 4A
467	CD3D	AA055946	CD3D antigen, delta polypeptide (TiT3 complex)
8275	CDKN1B	AA630082	cyclin-dependent kinase inhibitor 1B (p27, Kip1)
3506	CKTSF1B1	AI041650	cysteine knot superfamily 1, BMP antagonist 1
955	COL4A6	AI680557	collagen, type IV, alpha 6
274	DHRS4	DHRS4	dehydrogenase/reductase (SDR family) member 4
8433	DHRS4	DHRS4	dehydrogenase/reductase (SDR family) member 4
2060	DKFZp434D08018	N95578	Homo sapiens mRNA; cDNA DKFZp434D0818 (from clone DKFZp434D0818)
9011	GALK1	AI015566	galactokinase 1
8159	GMFB	H22653	glia maturation factor, beta
4259	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
6652	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
6517	Homo sapiens chromosome 1 clone RP4-802A10	Homo sapiens chromosome 1 clone RP4-802A10	Homo sapiens chromosome 1 clone RP4-802A10, NF1A gene
3182	Homo sapiens chromosome X clone LL0XNC01-138D3	LL0XNC01-138D3	Homo sapiens chromosome X clone LL0XNC01-138D3
3990	HPN	H62163	hepsin (transmembrane protease, serine 1)
9153	HSP105B	AA485151	heat shock 105kD
8516	HSPE1	AA448396	heat shock 10kD protein 1 (chaperonin 10)
1450	HSPG2	AI955578	heparan sulfate proteoglycan 2 (perlecan)
193	Human DNA sequence from clone RP11-383C12	RP11-383C12	Human DNA sequence from clone RP11-383C12, AR gene
5136	IL6ST	AI360116	interleukin 6 signal transducer (gp130, oncostatin M receptor)
8309	ITPR1	AA035450	inositol 1,4,5-triphosphate receptor, type 1
7761	KCNG1	AI674491	potassium voltage-gated channel, subfamily G, member 1
3273	KCNJ15	T94781	potassium inwardly-rectifying channel, subfamily J, member 15
1885	KIAA0624	AI193238	KIAA0624 protein (SLAC2-B)
10331	Kifap3	AI090702	smg GDS-ASSOCIATED PROTEIN
9080	LTBR	AA454646	lymphotoxin beta receptor (TNFR superfamily, member 3
6237	MAD2L1	AA481076	MAD2 (mitotic arrest deficient, yeast, homolog)-like 1
6876	MGC9515	AA449463	KIAA0220 protein
989	MMP15	AA443300	matrix metalloproteinase 15 (membrane-inserted)
4925	NFIC	N20996	nuclear factor I/C (CCAAT-binding transcription factor)
7234	NGB	H94877	G protein-binding protein CRFG
2638	NRG1	H24357	neuregulin 1
2694	PDCD4	N71003	programmed cell death 4
7458	PITX2	T64905	paired-like homeodomain transcription factor 2
5684	PLAG1	PLAG1	pleiomorphic adenoma gene 1
9948	RPL18	AA775874	ribosomal protein L18
9082	RPS6	N91584	ribosomal protein S6
3989	R85840	R85840	similar to nuclear pore complex interacting protein
1687	TAL1	T51236	T-cell acute lymphocytic leukemia 1
6080	TDG	T91074	thymine-DNA glycosylase
1309	THBS2	H38240	thrombospondin 2
2012	TIMP2	AA486280	tissue inhibitor of metalloproteinase 2
4406	WASF2	AA429572	WAS protein family, member 2
7680	YWHAQ	AA633997	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
1668	ZNF217	ZNF217	zinc finger protein 217
1938	ZNF217	ZNF217	zinc finger protein 217
