FeatureID	Gene Symbol	Gene name	Gene Index U Cluster	RefSeq Acc	GenBank Acc	MGI	NSC	ESC	MAPC	K-means clustering	K-means clustering (similarity)
Z00016230-1	Ctgf	connective tissue growth factor	U011348	NM_010217.1	BC006783	MGI:95537	2.6572	4.5277	5.0978	2	1.462872224
Z00034732-1	4930517K11Rik	RIKEN cDNA 4930517K11 gene	U016786	NM_026594.1	AK005645		2.3279	4.1608	4.6474	2	1.38505309
Z00016189-1	Thbs1	thrombospondin 1	U002275	NM_011580.2	AK080686	MGI:98737	2.6206	4.7967	4.0199	2	1.239209815
Z00060226-1	Dppa5	developmental pluripotency associated 5	U005403	NM_025274.1		MGI:101800	3.0535	5.2225	4.0714	4	1.160296474
Z00029161-1	A830035A12Rik	RIKEN cDNA A830035A12 gene	U033557		AB077282		2.583	4.5698	3.5245	4	1.036777242
Z00058380-1	Dscr5	Down syndrome critical region homolog 5 (human)	U037328	NM_019543.2	AF216306	MGI:1860433	3.5645	5.408	4.4134	4	0.93422309
Z00060391-1	Hspb1	heat shock protein 1	U006295	NM_013560.1	AF047377	MGI:96240	2.9567	4.7907	3.9682	4	0.968785192
Z00030378-1	Dppa2	developmental pluripotency associated 2	U017184	NM_028615.1	AF490346		2.4123	4.2425	3.3363	4	0.942960948
Z00018468-1	Tfpi	tissue factor pathway inhibitor	U022807	NM_011576.1	AF004833		3.085	4.3817	4.8223	2	0.937721981
Z00026885-1	C430002E04Rik	RIKEN cDNA C430002E04 gene	U023986		AK021232		1.7527	3.4779	3.1389	2	0.950639305
Z00005582-1	Dnmt3B	DNA methyltransferase 3B	U002667	NM_001003960.1	AF068626		3.4313	5.1127	4.3594	4	0.86687156
Z00034510-1	Dusp9	dual specificity phosphatase 9	U043766	NM_029352.3	AK045516	MGI:2387107	3.5085	4.789	5.1871	2	0.899216867
