Accession No.	Gene Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
BM233292	EST	-4.782031387	-389.5	81.45074101	0.02056	0.124071201
NM_010701	leukocyte cell derived chemotaxin 1 (Lect1)	-5.72535356	-3402	594.2340441	0.03331	0.124071201
AF220434	zinc finger transcription factor Gli5	-11.43729606	-455.125	39.79305927	0.06077	0.124071201
BC028307	Similar to sushi-repeat protein	-6.158823608	-664.9	107.9589289	0.07714	0.124071201
NM_008478	L1 cell adhesion molecule (L1cam)	-5.051728282	-135.775	26.87694041	0.09423	0.124071201
BC019531	EST	-12.1626351	-1582.9	130.1444947	0.09905	0.124071201
NM_134072	EST	-13.54856996	-393	29.00675136	0.09971	0.124071201
BI077717	EST	-5.268904148	-1150.125	218.2854286	0.10145	0.124071201
BC010311	EST	-17.46722088	-2434.625	139.3825049	0.11319	0.124071201
NM_020568	plasma membrane associated protein, S3-12	-5.548861047	-970.725	174.9413063	0.1178	0.124071201
BM220359	glutamate transporter mRNA	-7.530760052	-945.775	125.5882532	0.1228	0.124071201
AK004383	type IX, alpha 1	-6.264701559	-1556.025	248.3797489	0.12443	0.124071201
NM_008604	membrane metallo endopeptidase (Mme)	-14.1706308	-1150.8	81.21021685	0.13093	0.124071201
Y17709	frizzled receptor	-6.12316091	-205.525	33.56518031	0.13189	0.124071201
NM_009821	runt related transcription factor 1 (Runx1)	-6.517728279	-321.4	49.31165987	0.13492	0.124071201
BB817847	EST	-12.50571202	-1791.4	143.2465418	0.13506	0.124071201
NM_013492	clusterin (Clu)	-4.736638039	-1790.425	377.9948954	0.13913	0.124071201
NM_008880	phospholipid scramblase 2 (Plscr2)	-7.910792419	-418.175	52.86132891	0.1468	0.124071201
NM_013598	kit ligand (Kitl), mRNA	-13.67439362	-1629.575	119.169818	0.16285	0.124071201
NM_011212	protein tyrosine phosphatase, receptor type, E (Ptpre)	-12.6540099	-231.725	18.31237702	0.16915	0.124071201
AF472514	thymus high mobility group box protein TOX (Tox)	-5.216153792	-1047.075	200.7369878	0.16993	0.124071201
BC025502	EST	-7.061633674	-568.825	80.55147382	0.1715	0.124071201
AF378831	orphan G protein-coupled receptor (Raig2)	-11.32327569	-323.075	28.53193799	0.17425	0.124071201
BB365275	glutamate transporter mRNA	-9.798682481	-874.775	89.27475726	0.17439	0.124071201
NM_021467	troponin I, skeletal, slow 1 (Tnni1)	-8.276644365	-130.425	15.75819792	0.1757	0.124071201
BF140685	EST	-5.160153114	-211.425	40.97262142	0.17893	0.124071201
BC027271	EST	-6.052270977	-3884.275	641.7880189	0.17901	0.124071201
BB318221	EST	-8.388409013	-958.8	114.3005782	0.18782	0.124071201
AV223474	EST	-7.936487782	-954	120.2169053	0.19536	0.124071201
AV174022	kidney androgen regulated protein	-6.478979541	-1588.925	245.2430957	0.20142	0.124071201
AV361868	EST	-10.94907284	-1017.075	92.891427	0.20376	0.124071201
NM_007680	Eph receptor B6 (Ephb6)	-4.851799761	-151.55	31.23583154	0.20394	0.124071201
BC021423	EST	-6.921155635	-308.775	44.61321436	0.20491	0.124071201
AV152288	clusterin	-5.034146605	-2501.275	496.8617715	0.20948	0.124071201
BB550400	growth arrest specific 1	-6.850920259	-6016.9	878.2615726	0.21138	0.124071201
AF012104	cytoplasmic tyrosine kinase (bmx) mRNA	-6.918986881	-95.95	13.86763722	0.21689	0.124071201
BI696226	runt related transcription factor 1	-6.087898528	-468.15	76.89845648	0.22095	0.124071201
BB815530	kit ligand	-7.911586294	-712.5	90.0577929	0.22133	0.124071201
NM_008088	growth arrest specific 7 (Gas7)	-6.190394714	-87.65	14.15903251	0.22945	0.124071201
BC005709	Similar to PET112 (yeast homolog)-like	-5.23950038	-200.325	38.2336073	0.23048	0.124071201
NM_011693	vascular cell adhesion molecule 1 (Vcam1)	-5.532787829	-1538.85	278.1328415	0.23082	0.124071201
BB530403	EST	-10.00687137	-691.25	69.07753426	0.2315	0.124071201
BB008324	EST	-6.085396132	-863.5	141.8970896	0.23669	0.124071201
BC011118	CCAATenhancer binding protein (CEBP), alpha	-6.364112475	-251.125	39.45954773	0.23676	0.124071201
BB250384	vascular cell adhesion molecule 1	-6.620132687	-1363.15	205.9097701	0.23679	0.124071201
AU067681	transducin-like enhancer of split 2, homolog of Drosophila E(spl)	-4.874170904	-1699.425	348.6592968	0.23918	0.124071201
AV075715	clusterin	-4.793813688	-2430.6	507.0284659	0.2392	0.124071201
BB478892	EST	-7.101989567	-643.25	90.57321106	0.24071	0.124071201
BF319989	phospholipid scramblase 1	-5.444067756	-301.95	55.4640415	0.24314	0.124071201
D45203	EST	-5.008474218	-4065	811.6244236	0.24426	0.124071201
BC016096	EST	-7.645357986	-5586.975	730.7669583	0.24475	0.124071201
BC021352	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	-9.212869679	-1336.975	145.1203639	0.24652	0.124071201
BF319989	phospholipid scramblase 1	-8.171390528	-171.125	20.94196813	0.24755	0.124071201
BC006716	vitamin D receptor	-5.248707408	-421.525	80.31024921	0.25693	0.124071201
BC011322	Similar to kit ligand	-10.13104752	-93.95	9.273473431	0.25848	0.124071201
AY061807	calmodulin-related protein	-11.21065873	-982.775	87.66434014	0.26399	0.124071201
BB758095	tight junction protein 2	-5.651286419	-85.05	15.04967076	0.26949	0.124071201
NM_008008	fibroblast growth factor 7 (Fgf7)	-6.112323579	-1634	267.3451395	0.27004	0.124071201
BM228957	T-cell lymphoma invasion and metastasis 2	-6.434980498	-376	58.46171563	0.27139	0.124071201
AV371987	chondroitin beta1,4 N-acetylgalactosaminyltransferase	-4.787878282	-688.5	143.8006481	0.2716	0.124071201
BB771515	EST	-5.12436347	-751.6	146.6718753	0.28277	0.124071201
BC020004	Gprc5b	-10.96830753	-291.775	26.60164289	0.28377	0.124071201
AV290079	vitamin D receptor	-6.699631818	-455.25	67.9514953	0.28717	0.124071201
NM_030004	crystallin, lamda 1 (Cryl1)	-5.00560758	-138.075	27.58406403	0.29652	0.124071201
BB041237	matrix metalloproteinase 16	-6.720887434	-1266.175	188.3940197	0.29894	0.124071201
NM_009332	transcription factor 3 (Tcf3)	-5.096570085	-1063.875	208.7433278	0.29929	0.124071201
BG143461	EST	-13.08938633	-703.675	53.75920478	0.29984	0.124071201
AV206827	EST	-5.047637606	-16.75	3.318384026	0.2999	0.124071201
BC026584	EST	-6.672109888	-75	11.27079758	0.31277	0.124071201
NM_024495	carbonic anhydrase 13 (Car13)	-4.699969415	-917.925	195.3044624	0.31656	0.124071201
NM_007740	procollagen, type IX, alpha 1 (Col9a1)	-7.863117135	-508.8	64.70716273	0.32001	0.124071201
BM120053	ectodermal-neural cortex 1	-12.8387094	-2310.75	179.9830441	0.32486	0.124071201
NM_019656	transmembrane 4 superfamily member 6 (Tm4sf6)	-5.771731583	-1312.675	227.4317475	0.32541	0.124071201
BB369191	EST	-5.384625321	-2544.95	472.6326993	0.32831	0.124071201
BB804965	EST	-10.1546722	-387.25	38.13515516	0.32877	0.124071201
