Accession Number	Gene product	Patients (up)	Patients (down)	AveraRatio
AB016247	mRNA for sterol-C5-desaturase, complete cds	12/12	0	11.707
AF023462	Peroxisomal phytanoyl-CoA alpha-hydroxylase	12/12	0	13.787
AF038197	Homo sapiens clone 23915	4/6	0	10.793
AF052124	Osteopontin	5/6	0	6.436
AF086365	Full-length cDNA clone ZD66D02	6/6	0	7.744
AF101051	Senescence-associated epithelial membrane protein (SEMP1)	6/6	0	5.026
J04088	Human DNA topoisomerase II (top2) mRNA, complete cds	7/12	0	3.573
J04183	Homo sapiens lysosomal membrane glycoprotein-2 (LAMP2), complete cds	7/12	1	2.649
J05262	Human farnesyl pyrophosphate synthetase mRNA, complete cds	8/12	0	4.699
J05392	Human syndecan mRNA, complete cds	6/12	0	12.627
K02091	Human prealbumin mRNA, complete cds	6/6	0	33.591
L19501	Cystathionine beta-synthase subunit (CBS)	6/6	0	5.186
L48513	Paraoxonase 2 (PON2)	6/6	0	4.902
M10605	Human prealbumin mRNA, complete cds	5/6	0	10.052
M14219	Chondroitin/dermatan sulfate proteoglycan (PG40) core protein	3/6	0	13.927
M14219	Human chondroitin/dermatan sulfate proteoglycan (PG40) core protein mRNA, complete cds	3/6	0	13.927
M17397	Human cytochrome P-450 1 functional form mRNA, complete cds	11/12	0	45.472
M17398	Human cytochrome P-450 1 mRNA, complete cds, clone Hp1–2	5/6	0	7.073
M22865	Cytochrome b5	12/12	0	10.257
M57730	Human B61 mRNA, complete cds	10/12	0	11.037
M62401	Human sterol 27-hydroxylase (CYP27) mRNA, complete cds	9/12	0	31.11
M64590	Glycine decarboxylase	6/6	0	4.7
M75883	Human sterol carrier protein X/sterol carrier protein 2 mRNA, complete cds	8/12	0	3.854
U05598	Dihydrodiol dehydrogenase	12/12	0	142.342
U05684	Dihydrodiol dehydrogenase	6/6	0	52.014
U50078	Guanine nucleotide exchange factor p532	3/6	0	14.349
U59309	Fumarase precursor (FH)	12/12	0	7.553
X02761	Human mRNA for fibronectin (FN precursor)	12/12	0	24.853
X04076	Human kidney mRNA for catalase	7/12	0	4.314
X07173	Inter-alpha-trypsin inhibitor complex, second protein	6/12	0	45.209
X13694	Osteopontin.	6/6	0	17.086
X60036	H.sapiens mRNA for mitochondrial phosphate carrier protein	3/6	0	3.288
X73424	Propionyl-CoA carboxylase a subunit	11/12	0	4.45
X86401	L-arginine:glycine amidinotransferase	6/12	0	16.182
X95384	Translational inhibitor protein p14.5	10/12	1	5.59
Y00716	Complement factor H	6/12	0	13
Y00716	Human mRNA for complement factor H	5/6	0	7.073
Z37986	Phenylalkylamine binding protein	12/12	0	4.873
