GenBank Acc. No.	Gene Description	Gene Symbol	Fold Change	Gene Function
AW260404	PDZ domain containing 1	Pdzk1	?1.92	Metabolism of cholesteryl
U24703	Reelin	Reln	?2.26	Extra matrix structure component
D50586	Tissue factor pathway inhibitor 2	Tfpi2	?1.80	Extra matrix structure component
AF026073	N-sulfotransferase	Sultn	?1.72	Enzymes
X17069	FK506 binding protein 4	Fkbp4	?2.15	Enzymes
M23109	Coagulation factor IX	F9	?2.01	Blood coagulation
U60473	CD59a antigen	Cd59a	?169	Blood coagulation
M77196	CEA-related cell adhesion molecule 1	Ceacam1	?2.03	Cell adhesion
U15012	Growth hormone receptor	Ghr	?2.25	Receptor activity
X99347	Lipopolysaccharide binding protein	Lbp	?2.13	Receptor activity
AF05175	v-erb-b2 erythroblastic leukaemia viral oncogene homolog 3 (avian)	Erbb3	?2.1	Receptor activity
U90535	Flavin containing monooxygenase 5	Fmo5	?2.12	Electron transport
AB016248	Sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) Homolog (S. cerevisiae)	Sc5d	?2.23	Electron transport
AF031170	Hydroxysteroid dehydrogenase-6, delta<5>3-beta	Hsd3b6	?2.15	Electron transport
AA967194	Aquaporin 9	Aqp9	?2.22	Water transport
A1787269	RIKEN cDNA 1200014D15 gene	1200014D15Rik	?2.17	Oxidoreduttase activity
AF041054	BCL2/adenovirus E1B 19kDa-interacting protein 1	Bnip3 (NIP3)	?1.69	Apoptosis
U28016	Phosphotriesterase related protein	Pter	?3.46	Amino acid metabolism
AA183875	ESTs		?1.80	Unknown
AW125273	Plastin 3 (T-isoform)	Pls3	?2.00	Unknown
