Accession number	Gene Name	Gene Symbol	Fold change (treated/control): 3 h	Fold change (treated/control): 6 h	Involved in
R10662	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	MLH1	1.9	1.04	DNA repair
AA421716	mutS homolog 3 (E. coli)	MSH3	1.11	1.53	DNA repair
R54492	excision repair cross-complementing rodent repair deficiency, complementation group 2	ERCC2	1.63	1.2	DNA repair
AA399410	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	1.56	1.19	Signal transduction/transcription regulation
AA280647	signal transducer and activator of transcription 5B	STAT5B	1.67	-1.04	Signal transduction/transcription regulation
AA434420	protein tyrosine phosphatase, non-receptor type 9	PTPN9	1.74	1.64	Signal transduction
H01340	mitogen-activated protein kinase kinase kinase 10	MAP3K10	1.83	1.42	Signal transduction
AA425826	mitogen-activated protein kinase kinase 2	MAP2K2	-1.72	-1.03	Signal transduction
T94169	mitogen-activated protein kinase 8	MAPK8	-1.55	1.16	Signal transduction
R82176	MAD, mothers against decapentaplegic homolog 7	MADH7	-1.77	NA1	Signal transduction
N71159	metastasis associated 1	MTA1	1.68	NA	Transcription regulation
AA448256	metal-regulatory transcription factor 1	MTF1	-1.34	-1.66	Transcription regulation
AA465236	forkhead box O3A	FOXO3A	-1.43	-2.01	Transcription regulation
AA775415	SMT3 suppressor of mif two 3 homolog 2 (yeast)	SMT3H2	-1.77	-1.57	Nuclear transport
T54121	cyclin E1	CCNE1	1.63	NA	Cell cycle
N74285	CDC5 cell division cycle 5-like	CDC5L	1.51	1.05	Cell cycle
AA789328	cyclin-dependent kinase (CDC2-like) 10	CDK10	1.51	NA	Cell cycle
AA877595	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	CDKN2A	1.49	1.86	Cell cycle
AA488324	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	-1.95	NA	Cell cycle
R19158	serine/threonine kinase 6	STK6	-1.25	-1.8	Cell cycle
AA071486	serine/threonine kinase 12	STK12	-1.5	-1.83	Cell cycle
AA082943	cyclin G1	CCNG1	-1.54	1.24	Cell cycle
W51794	matrix metalloproteinase 3 (stromelysin 1, progelatinase)	MMP3	-1.12	1.52	Breakdown of extracellular matrix
N33214	matrix metalloproteinase 14 (membrane-inserted)	MMP14	-1.53	NA	Breakdown of extracellular matrix
AA406571	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	CEACAM1	1.76	1.18	Cell adhesion
AA464982	annexin A11	ANXA11	1.75	1.13	Protein binding
AA419015	annexin A4	ANXA4	NA	1.79	Protein binding
AA856874	furin (paired basic amino acid cleaving enzyme)	FURIN	1.87	1.48	Proprotein convertase
R26186	protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	1.64	1.65	Phosphatase activity
N28497	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B	1.91	NA	Phosphatase activity
AA877845	LIM domain kinase 2	LIMK2	1.88	1.56	Protein-protein interactions
AA634028	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	-2.06	NA	Immune-related
T63324	major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1	1.6	1.17	Immune-related
H95960	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	-1.13	-1.79	Collagen-binding Calcium-binding
AA456291	Developmentally regulated GTP binding protein 2	DRG2	1.67	1.47	GTP-binding protein
AA430178	RAN binding protein 2-like 1	RANBP2L1	-1.85	-1.11	GTP-binding protein
