Groups	Unigene	Gene name	Note	Day
Trimeric G protein pathway	Hs.113207	G protein-coupled receptor 30		4,5up
Trimeric G protein pathway	Hs.154210	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1		10up, 14down
Trimeric G protein pathway	Hs.6639	G protein-coupled receptor 107		5, 6up, 10down
Trimeric G protein pathway	Hs.182874	Guanine nucleotide binding protein Galpha 12		4, 5down, 10down
Trimeric G protein pathway	Hs.3221	regulator of RGS6		4, 5down, 10down
Other GTPases and related proteins	Hs.5807	RAB14, member RAS oncogene family		2, 4, 5up
Other GTPases and related proteins	Hs.96593	ras Homolog gene family, member F (In filopodia)		2, 4, 5up
Other GTPases and related proteins	Hs.220689	Ras-GTPase-activating protein		2, 4up
Other GTPases and related proteins		SH3-domain-binding protein
Other GTPases and related proteins	Hs.82318	WAS protein family, member 3		5, 14up
Other GTPases and related proteins	Hs.75528	nucleolar GTPase		4, 5, 14up
Other GTPases and related proteins	Hs.102336	Rho GTPase activating protein 8		4, 5, 14up
Other GTPases and related proteins	Hs.13649	similar to RhoGAP		4, 5up
Other GTPases and related proteins	Hs.21420	p21(CDKN1A)-activated kinase 6		2, 4, 14down
Other GTPases and related proteins	Hs.8004	Huntingtin-associated protein interacting protein (duo)		2, 4, 5, 6, 10, 14down
Other GTPases and related proteins	Hs.239527	RAP2B, member of RAS oncogene family		2, 14down
Other GTPases and related proteins	Hs.1742	IQ motif containing GTPase activating protein 1	Regulate cell morphology	2, 10down
Other GTPases and related proteins	Hs.5636	RAB6A, member RAS oncogene family		2, 4, 10down
Notch pathway	Hs.83958	Transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)		2, 4, 5up
Notch pathway	Hs.124024	deltex homolog 1 (Drosophila)		2,5,14up
Notch pathway	Hs.64311	A disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)	TACE plays a prominent role in the activation of the Notch pathway	2, 14down
Notch pathway	Hs.89421	CBF1 interacting corepressor	A member of the CSL (CBF1, ‘suppressor of hairless,’ and Lag1) family of DNA-binding factors	4, 6, 14down
Wnt pathway	Hs.99816	Catenin, beta interacting protein 1		2, 5, 14up
Wnt pathway	Hs.85603	Down-regulated by Ctnnb1, a		2, 4, 5, 14up
Wnt pathway	Hs.153684	Frizzled-related protein		4, 5up
TGF-beta/BMP pathway	Hs.137168	OLF-1/EBF associated zinc finger gene		2down, 5up
TGF-beta/BMP pathway	Hs.75862	MAD, mothers against decapentaplegic homolog 4 (Drosophila)	Smad4	2, 4, 5, 14up
TGF-beta/BMP pathway	Hs.296323	Serum/glucocorticoid regulated kinase		4, 5, 14up
TGF-beta/BMP pathway	Hs.99601	Smad nuclear interacting protein		2, 4, 14down
TGF-beta/BMP pathway	Hs.339699	Growth differentiation factor 11	Bone morphogenetic protein 11	2, 14down
TGF-beta/BMP pathway	Hs.53250	Bone morphogenetic protein receptor, type II (serine/threonine kinase)		2, 4, 14down, 10up
Tyrosine kinase pathway	Hs.16232	Connector enhancer of KSR-like (Drosophila kinase suppressor of ras)	A tyrosine phosphorylation target	5, 14up
Tyrosine kinase pathway	Hs.85112	Insulin-like growth factor 1 (somatomedin C)		2, 4, 14down
MAP kinase pathway	Hs.180383	Dual specificity phosphatase 6	Can reverse MAP kinase activation by dephosphorylating critical phosphotyrosine and phosphothreonine residues	2, 5, 14up,10down
MAP kinase pathway	Hs.20281	MAPK phosphatase-7		4, 5up
MAP kinase pathway	Hs.246970	Mitogen-activated protein kinase kinase kinase kinase 5		5, 14up
PLC pathway	Hs.268177	Phospholipase C, gamma 1 (formerly subtype 148)		2, 4up
PLC pathway	Hs.32944	Inositol polyphosphate-4-phosphatase, type I, 107kD		5, 6, 14up
PLC pathway	Hs.347950	Phosphatidylinositol glycan, class S		2, 14down
cAMP pathway	Hs.198161	Phospholipase A2, group IVB (cytosolic)	Initiates the production of inflammatory mediators	2, 4, 5up
cAMP pathway	Hs.42322	A kinase (PRKA) anchor protein 2	Essential for dissemination of cAMP signals in highly polarized epithelium in association with F-actin	2, 4, 5, 14up
cAMP pathway	Hs.365523	Protein kinase, cAMP-dependent, regulatory, type II, alpha		2, 14down
Retinoic acid and other nuclear receptor pathways	Hs.325081	GRASP protein	A retinoic acid-induced gene. GRP1-associated scaffold protein	2, 4, 5, 14up
Retinoic acid and other nuclear receptor pathways	Hs.74002	Nuclear receptor coactivator 1	Enhances the transcriptional activity of multiple hormone receptors in the presence of ligands	2, 4, 5, 6up
Retinoic acid and other nuclear receptor pathways	Hs.183858	Transcriptional intermediary factor 1		5up, 10down
Retinoic acid and other nuclear receptor pathways	Hs.110849	Estrogen-related receptor alpha		2, 4, 5up
