Gene	Description	MicroarrayID	UniGeneID	Signature
SCUBE2	SCUBE2 signal peptide, CUB domain	NM_020974	Hs.222399	13-Gene signature
FGF18	Fibroblast growth factor 18	NM_003862	Hs.49585	13-Gene signature
GSTM3	Glutathione S-transferase M3	NM_000849	Hs.2006	13-Gene signature
TGFB3	Transforming growth factor, ß 3	NM_003239	Hs.2025	13-Gene signature
MS4A7	Membrane-spanning 4-domains	AF201951	Hs.11090	13-Gene signature
EST	Hypothetical protein	Contig55377_RC	Hs.218182	13-Gene signature
AP2B1	Adaptor-related protein complex 2	NM_001282	Hs.74626	13-Gene signature
CCNE2	Cyclin E2	NM_004702	Hs.30464	13-Gene signature
KIAA0175	Maternal embryonic leucine zipper kinase	NM_014791	Hs.184339	13-Gene signature
EXT1	Exostoses (multiple) 1	NM_000127	Hs.184161	13-Gene signature
LOC341692	Similar to Diap3 protein	Contig46218_RC	Hs.283127	13-Gene signature
CDC42BPA	CDC42 binding protein kinase alpha	NM_003607	Hs.18586	13-Gene signature
