Gene name and descriptions	Accession number	Fold change
Lyam-1 mRNA for leukocyte adhesion molecule-1	X16150.1	7.459
APM 2 adipose specific 2	NM_006829.1	4.853
DNA polymerase gamma mRNA, nuclear gene encoding mitochondrial protein	U60325.1	4.269
FLJ22128 fis, clone HEP19543	AK025781	4.109
Actin related protein 2/3 complex, subunit 4, 20 kDa (ARPC4)	NM_005718.2	4.058
Scd mRNA for stearoyl-CoA desaturase	AB032261.1	3.794
Novel heterogeneous nuclear RNP protein, L protein	X16135.1	3.771
ENSA endosuIfine alpha	AF157509.1	3.511
IMAGE:26483 5 similar to gb:X15183_cds1 HEAT SHOCK PROTEIN HSP 90-ALPHA	R12732	3.086
Malonyl-CoA decarboxylase (MLYCD)	NM_012213	3.067
Anion exchanger 3 brain isoform (bAE3)	U05596.1	2.889
IMAGE:43550 3 MRNA sequence	H05914	2.345
cDNA FLJ23636 fis, clone CAS07176.	AK074216	2.426
IMAGE:26366 3 similar to gb:D16234 PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR	R20554	2.519
Similar to hypothetical protein PRO2831, clone MGC:23813 IMAGE:4273837, mRNA, complete cds	BC017905.1	2.551
FLJ40629 hypothetical protein FLJ40629	AK097948.1	2.417
Ribosomal protein L29 (humrp129) mRNA, complete cds	U10248.1	2.203
EST, clone IMAGE:745452, 3 end	AA625869	2.591
KIAA1554 KIAA1554 protein	AB046774.1	2.544
IMAGE:53316 3 similar to SP:MDHC_MOUSE P14152 MALATE DEHYDROGENASE, CYTOPLASMIC	R15814	2.867
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3 (12 kD, B12), Clone MGC:9039 IMAGE:3881592	BC018183	4.972
