Gene symbol	Gene name
AKR1C1; AKR1C2	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase); aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
TM4SF1	transmembrane 4 L six family member 1
NR0B1	nuclear receptor subfamily 0, group B, member 1
LRPPRC	leucine-rich PPR-motif containing
SFRS3	splicing factor, arginine/serine-rich 3
ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2
Unidentified 1	adult retina protein
KRT4	keratin 4
ZNF567	zinc finger protein 567
IL6R	interleukin 6 receptor
PAMCI	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor
ZNF267	zinc finger protein 267
NEFL	neurofilament, light polypeptide 68 kDa
SFMBT2	Scm-like with four mbt domains 2
FSTL1	follistatin-like 1
TMEPAI	transmembrane, prostate androgen induced RNA
COL5A1	collagen, type V, alpha 1
SLC6A15	solute carrier family 6, member 15
COL1A1	collagen, type I, alpha 1
NTRK3	neurotrophic tyrosine kinase, receptor, type 3
CDH2	cadherin 2, type 1, N-cadherin (neuronal)
ANXA8	annexin A8
THBD	thrombomodulin
RAB3B	RAB3B, member RAS oncogene family
ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)
COL4A2	collagen, type IV, alpha 2
IGFBP7	insulin-like growth factor binding protein 7
COL4A1	collagen, type IV, alpha 1
IFI16	interferon, gamma-inducible protein 16
GLIPR1	GLI pathogenesis-related 1 (glioma)
TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
COL4A1	collagen, type IV, alpha 1
IGFBP7	insulin-like growth factor binding protein 7
MYL9	myosin, light chain 9, regulatory
Unidentified 2	CDNA FLJ44429 fis, clone UTERU2015653
MATN2	matrilin 2
TNFAIP6	tumor necrosis factor, alpha-induced protein 6
FRMD5	FERM domain containing 5
RUNX2	runt-related transcription factor 2
TMEPAI	transmembrane, prostate androgen induced RNA
GLIPR1	GLI pathogenesis-related 1 (glioma)
NPTX1	neuronal pentraxin I
GLIPR1	GLI pathogenesis-related 1 (glioma)
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
COL5A1	collagen, type V, alpha 1
COL1A1	collagen, type I, alpha 1
B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
Unidentified 3	-
TNS1	tensin 1
SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
C4orf18	chromosome 4 open reading frame 18
COL5A1	collagen, type V, alpha 1
TAGLN	transgelin
CXCR7	chemokine (C-X-C motif) receptor 7
Unidentified 4	Transcribed locus, moderately similar to XP_517655.1 PREDICTED: similar to KIAA0825 protein [Pan troglodytes]
COL5A1	collagen, type V, alpha 1
MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)
TAGLN	transgelin
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
