UNIQID	Gene Symbol	Chromosome Map	Gene Description
202668_at	EFNB2	chr13q33	ephrin-B2
206343_s_at	NRG1	chr8p21	neuregulin 1
201462_at	SCRN1	chr7p14	secernin 1
202381_at	ADAM9	chr8p11	a disintegrin and metalloproteinase domain 9 (melt
201445_at	CNN3	chr1p22	calponin 3 acidic
204451_at	FZD1	chr7q21	frizzled homolog 1 (Drosophila)
201438_at	COL6A3	chr2q37	collagen type VI alpha 3
210809_s_at	POSTN	chr13q13	periostin osteoblast specific factor
207714_s_at	SERPINH1	chr11q13	serine (or cysteine) proteinase inhibitor clade H
205990_s_at	WNT5A	chr3p21	wingless-type MMTV integration site family member
217763_s_at	RAB31	chr18p11	RAB31 member RAS oncogene family
204017_at	KDELR3	chr22q13	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum prote
214464_at	CDC42BPA	chr1q42	CDC42 binding protein kinase alpha (DMPK-like)
202967_at	GSTA4	chr6p12	glutathione S-transferase A4
205048_s_at	PSPH	chr7p15	phosphoserine phosphatase
201510_at	ELF3	chr1q32	E74-like factor 3 (ets domain transcription factor
204019_s_at	SH3YL1	chr2p25	SH3 domain containing Ysc84-like 1 (S. cerevisiae
203397_s_at	GALNT3	chr2q24	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
204679_at	KCNK1	chr1q42	potassium channel subfamily K member 1
221664_s_at	F11R	chr1q21	F11 receptor
206385_s_at	ANK3	chr10q21	ankyrin 3 node of Ranvier (ankyrin G)
202712_s_at	CKMT1	chr15q15	creatine kinase mitochondrial 1 (ubiquitous)
204351_at	S100P	chr4p16	S100 calcium binding protein P
39248_at	AQP3	chr9p13	aquaporin 3
202833_s_at	SERPINA1	chr14q32	serine (or cysteine) proteinase inhibitor clade A
201641_at	BST2	chr19p13	bone marrow stromal cell antigen 2
202086_at	MX1	chr21q22	myxovirus (influenza virus) resistance 1 interfer
204415_at	G1P3	chr1p35	interferon alpha-inducible protein (clone IFI-6-1
202446_s_at	PLSCR1	chr3q23	phospholipid scramblase 1
211075_s_at	CD47	chr3q13	CD47 antigen (Rh-related antigen integrin-associa
202659_at	PSMB10	chr16q22	proteasome (prosome macropain) subunit beta type
202307_s_at	TAP1	chr6p21	transporter 1 ATP-binding cassette sub-family B
38241_at	BTN3A3	chr6p21	butyrophilin subfamily 3 member A3
219974_x_at	ECHDC1	chr6q22	enoyl Coenzyme A hydratase domain containing 1
37950_at	PREP	chr6q22	prolyl endopeptidase
209278_s_at	TFPI2	chr7q22	tissue factor pathway inhibitor 2
200965_s_at	ABLIM1	chr10q25	actin binding LIM protein 1
202018_s_at	LTF	chr3q21	lactotransferrin
203038_at	PTPRK	chr6q22	protein tyrosine phosphatase receptor type K
202267_at	LAMC2	chr1q25	laminin gamma 2
202336_s_at	PAM	chr5q14	peptidylglycine alpha-amidating monooxygenase
204688_at	SGCE	chr7q21	sarcoglycan epsilon
213423_x_at	TUSC3	chr8p22	tumor suppressor candidate 3
217963_s_at	NGFRAP1	chrxq22	nerve growth factor receptor (TNFRSF16) associated
211071_s_at	AF1Q	chr1q21	ALL1-fused gene from chromosome 1q
212158_at	SDC2	chr8q22	syndecan 2 (heparan sulfate proteoglycan 1 cell s
218729_at	LXN	chr3q25	latexin
204086_at	PRAME	chr22q11	preferentially expressed antigen in melanoma
200078_s_at	ATP6V0B	chr1p32	ATPase H+ transporting lysosomal 21kDa V0 subun
201323_at	EBNA1BP2	chr1p35	EBNA1 binding protein 2
200660_at	S100A11	chr1q21	S100 calcium binding protein A11 (calgizzarin)
200787_s_at	PEA15	chr1q21	phosphoprotein enriched in astrocytes 15
200964_at	UBE1	chrxp11	ubiquitin-activating enzyme E1 (A1S9T and BN75 tem
