 HUGO  	 Ensembl Gene ID  	 Description 
 ANGPTL2  	 ENSG00000136859  	 angiopoietin-related protein (angiopoietin-like 2)  
 CALM1  	 ENSG00000140028  	 calmodulin 1 (phosphorylase kinase, delta)  
 CCR6  	 ENSG00000112486  	 chemokine (C-C motif) receptor 6  
 CCT2  	 ENSG00000166226  	 T-complex protein 1, beta subunit (TCP-1-BETA), CCT-beta  
 CILP  	 ENSG00000138615  	 Cartilage intermediate protein  
 COL5A2  	 ENSG00000179877  	 collagen, type V, alpha 2  
 CORO1A  	 ENSG00000102879  	 coronin-like protein p57, coronin 1A  
 CRABP2  	 ENSG00000143320  	 retinoic acid-binding protein II, cellular  
 CTSK  	 ENSG00000143387  	 cathepsin K, cathepsin O, cathepsin X  
 DAPK3  	 ENSG00000167657  	 death-associated protein kinase 3, elongation factor 2 (EEF2), MAP-kinase kinase 2 (MAP2K2) 
 DCN  	 ENSG00000011465  	 decorin, bone proteoglycan II (PG-S2) (PG40)  
 DHFR  	 ENSG00000168129  	 dihydrofolate reductase  
 DOCK8  	 ENSG00000107099  	 dedicator of cytokinesis protein 8  
 DPT  	 ENSG00000143196  	 dermatopontin, Tyrosine-rich acidic matrix protein (TRAMP)  
 GRAP2  	 ENSG00000100351  	 GRB2-related adaptor protein 2, Growth factor receptor binding protein,  
 GTSE1  	 ENSG00000075218  	 G2 and S phase expressed protein 1 (B99 homolog).  
 IGLL1  	 ENSG00000182246  	 immunoglobulin lambda-like polypeptide 1 (IGLL1)  
 ITGAL  	 ENSG00000005844  	 integrin, alpha L, antigen CD11A (p180), lymphocyte function-associated antigen 1  
 LAMA2  	 ENSG00000172245  	 laminin alpha-2 chain, laminin M chain, merosin heavy chain  
 LAMP2  	 ENSG00000005893  	 lysosomal-associated membrane protein 2, CD107B antigen  
 MEF2C  	 ENSG00000081189  	 myocyte specific enhancer factor 2C  
 MGP  	 ENSG00000111341  	 matrix Gla protein  
 MGST3  	 ENSG00000143198  	 microsomal glutathione S-transferase 3  
 MMP11  	 ENSG00000099953  	 matrix metalloproteinase 11, stromelysin 3  
 MYRIP  	 ENSG00000170011  	 RAB effector myrip, myosin VIIA and RAB-interacting protein, exophilin 8  
 BFAR  	 ENSG00000103429  	 bifunctional apoptosis regulator  
 OSIL  	 ENSG00000161011  	 sequestome 1, ubiquitin-binding protein P62  
 PCMT1  	 ENSG00000120265  	 protein-L-isoaspartate (D-aspartate) O-methyltransferase  
 PDGFRL  	 ENSG00000104213  	 platelet-derived growth factor receptor-like protein  
 PSMD5  	 ENSG00000095261  	 proteasome non-ATPase regulatory subunit 5 (prosome, macropain) .  
 RAB31  	 ENSG00000168461  	 RAB31, member RAS oncogene family (RAB31)  
 SCAP2  	 ENSG00000005020  	 src family associated phosphoprotein 2, Pyk2/RAFTK-associated protein  
 SFRP2  	 ENSG00000145423  	 secreted frizzled-related protein 2, pancreas tumor related protein  
 SLC17A5  	 ENSG00000119899  	 solute carrier family 17 (anion/sugar transporter), member 5  
 SPARC  	 ENSG00000113140  	 secreted protein, acidic, cysteine-rich, osteonectin.  
 TFPI  	 ENSG00000003436  	 tissue factor pathway inhibitor, lipoprotein-associated coagulation inhibitor  
 TM9SF2  	 ENSG00000125304  	 transmembrane 9 superfamily member 2 (P76)  
 UBE2G2  	 ENSG00000184787  	 ubiquitin-conjugating enzyme E2G 2 (UBC7), ubiquitin-protein ligase G2  
 UBN1  	 ENSG00000118900  	 ubenuclein 1  
 VIM  	 ENSG00000026025  	 vimentin  
 ZDHHC4;  	 ENSG00000136247  	 zinc finger DHHC domain containing protein 4, zink finger protein 374  
 ZNF423  	 ENSG00000102935  	 smad- and Olf-interacting zinc finger protein; OLF-1/EBF associated zinc finger gene  
