Accession	Name	Correlationa	Count in LOOCVb	Biological process (GO)c
AA455003	General transcription factor IIH, polypeptide 1, 62 kDa	-0.77	30	DNA repair
R98008	Progestin and adipoQ receptor family member III	-0.7	30	Biological process unknown
AA417012	Zinc-finger protein 336	-0.67	30	Regulation of transcription, DNA-dependent
AA412691	Nuclear transcription factor Y, alpha	-0.67	30	Regulation of transcription, DNA-dependent
AA030029	Protein kinase C, alpha	-0.65	30	Regulation of cell cycle
R06567	Clone 23907 mRNA sequence	-0.64	30	Biological process unknown
AA521025	G protein pathway suppressor 1	-0.62	30	JNK cascade
AA405769	Phosphoenolpyruvate carboxykinase 1 (soluble)	-0.62	30	Gluconeogenesis
AA608576	Microtubule-associated protein, RP/EB family, member 2	-0.62	30	Cell proliferation
AA083385	BTB (POZ) domain containing 1	-0.62	30	Biological process unknown
W32660	RAP2A, member of RAS oncogene family	-0.61	30	Signal transduction
R46662	RAP2A, member of RAS oncogene family	-0.61	30	Signal transduction
H14343	Cell division cycle 25B	-0.6	30	M phase of mitotic cell cycle
AA480071	Transcription factor 7 (T-cell specific, HMG-box)	-0.6	29	Wnt receptor signaling pathway
AA456014	Hypothetical protein FLJ20580	-0.6	30	Biological process unknown
H09906	2,3-cyclic nucleotide 3 phosphodiesterase	-0.6	30	Synaptic transmission
N51260	KIAA0240	-0.6	29	Biological process unknown
H56069	Glutamate–cysteine ligase, catalytic subunit	-0.59	30	Cysteine metabolism
AA489104	Thyroid hormone receptor interactor 3	-0.59	29	Regulation of transcription, DNA-dependent
T77959	Tripeptidyl peptidase II	-0.59	29	Proteolysis and peptidolysis
AA479196	General transcription factor IIF, polypeptide 2, 30 kDa	-0.59	30	Transcription initiation from Pol II promoter
AA430656	Docking protein 4	-0.58	29	Biological process unknown
H30688	Spectrin, beta, nonerythrocytic 2	-0.58	29	Vesicle-mediated transport
R10570	Hypothetical protein KIAA1434	-0.58	28	Biological process unknown
R54358	Ligase IV, DNA, ATP-dependent	-0.57	27	DNA repair
H08548	ATP citrate lyase	-0.57	27	Coenzyme A biosynthesis
AA418811	Fibrillin 1 (Marfan syndrome)	-0.57	26	Skeletal development
AA410591	Met proto-oncogene (hepatocyte growth factor receptor)	-0.57	28	Cell proliferation
W86653	FK506-binding protein 5	-0.56	27	Protein folding
H11501	Hypothetical protein BC017169	-0.56	27	Transport
AA521490	Limkain b1	-0.56	27	Biological process unknown
AA447691	Pitrilysin metalloproteinase 1	-0.56	27	Activation of MAP/ERK kinase kinase
R42187	ESTs	-0.56	27	Biological process unknown
H89996	CCCTC-binding factor (zinc-finger protein)	-0.56	27	Negative regulation of cell cycle
AA148536	Nucleoporin 98 kDa	-0.56	25	Intracellular protein transport
R01323	Microfibrillar-associated protein 1	-0.56	25	Biological process unknown
AA425401	Serine/threonine kinase 24 (STE20 homolog, yeast)	-0.55	25	Signal transduction
T49159	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	-0.55	24	Antiapoptosis
AA001918	ESTs	-0.55	24	Biological process unknown
N70759	KIAA0996 protein	-0.55	24	Biological process unknown
AA232979	Zinc-finger RNA binding protein	-0.55	19	Biological process unknown
AA521232	ras-related C3 botulinum toxin substrate 2	-0.55	20	Small GTPase mediated signal transduction
AA426311	Mesenchyme homeo box 1	-0.55	21	Development
AA074666	ESTs	-0.54	15	Biological process unknown
AA479888	Rabaptin, RAB GTPase binding effector protein 1	-0.54	14	Endocytosis
AA701929	Bystin-like	-0.54	15	Cell adhesion
AA479771	KIAA0076	-0.54	19	Biological process unknown
R76314	ras homolog gene family, member G (rho G)	-0.54	15	Positive regulation of cell proliferation
AA004484	F-box only protein 9	-0.54	17	Protein modification
AA458840	Cell death-regulatory protein GRIM19	-0.54	9	Apoptosis
AA036974	Amine oxidase, copper containing 3	-0.54	9	Amine metabolism
R28280	Solute carrier family 7, member 1	-0.54	10	Amino acid metabolism
AA045192	Retinoblastoma 1 (including osteosarcoma)	-0.53	8	Negative regulation of cell cycle
H99215	Discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	-0.53	10	Negative regulation of cell proliferation
T71757	Heme oxygenase (decycling) 1	-0.53	6	Heme oxidation
AA453175	Bridging integrator 1	-0.53	7	Negative regulation of cell cycle
R12275	Hypothetical protein FLJ21827	-0.53	6	Biological process unknown
AA478524	M-phase phosphoprotein 6	-0.53	7	M phase of mitotic cell cycle
AA434342	Proline arginine-rich end leucine-rich repeat protein	-0.53	6	Skeletal development
AA459266	Postmeiotic segregation increased 2-like 6	-0.53	5	Mismatch repair
H49592	Guanine nucleotide binding protein (G protein), alpha activating activity polypeptide	-0.53	7	G-protein coupled receptor protein signaling pathway
R99749	B-cell CLL/lymphoma 6 (zinc-finger protein 51)	-0.53	7	Cell growth and/or maintenance
AA621031	KIAA0056 protein	-0.53	7	Biological process unknown
AA232647	Zinc-finger protein 161	-0.52	5	Regulation of transcription from Pol II promoter
AA485214	Nucleobindin 2	-0.52	5	Biological process unknown
AA458973	Polymerase (DNA-directed), delta interacting protein 3	-0.52	3	Biological process unknown
AA608730	HBS1-like (S. cerevisiae)	-0.52	3	Protein biosynthesis
H98688	ESTs	-0.52	4	Biological process unknown
AA425908	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	-0.52	3	Small GTPase mediated signal transduction
AA424937	Protein kinase C, alpha	-0.52	4	Regulation of cell cycle
AA017042	HIV-1 Tat interactive protein, 60 kDa	-0.52	3	Regulation of transcription, DNA-dependent
AA284338	Chromobox homolog 5 (HP1 alpha homolog, Drosophila)	-0.51	2	Chromatin assembly
AA040170	Chemokine (C-C motif) ligand 7	-0.51	3	Antimicrobial humoral response
AA425089	Clock homolog (mouse)	-0.51	4	Circadian rhythm
N58136	Similar to KIAA0393 protein	-0.51	2	Biological process unknown
R24543	Neuroepithelial cell transforming gene 1	-0.51	2	Regulation of cell growth
R15708	Insulin-like 4 (placenta)	-0.51	2	Cell proliferation
W47073	Solute carrier family 20 (phosphate transporter), member 1	-0.51	3	Phosphate transport
AA703187	Solute carrier family 33 (acetyl-CoA transporter), member 1	-0.51	4	Transport
W79444	UBX domain containing 2	-0.51	2	Biological process unknown
R35292	Growth arrest-specific 2 like 1	-0.51	3	Cell cycle arrest
AA406027	CD5 antigen (p56-62)	-0.51	2	Cell proliferation
W06875	Hypothetical protein MGC14816	-0.51	2	Biological process unknown
R14855	F-box only protein 34	-0.5	2	Biological process unknown
R01451	Hypothetical protein KIAA1259	-0.5	1	Biological process unknown
AA449154	Skeletal muscle and kidney enriched inositol phosphatase	-0.5	2	Actin cytoskeleton organization and biogenesis
H48420	Prothymosin alpha	-0.5	1	Biological process unknown
AA455043	Holocarboxylase synthetase	-0.5	2	Protein modification
AA232647	Zinc-finger protein 161	-0.5	2	Regulation of transcription from Pol II promoter
R11490	Translocated promoter region (to activated MET oncogene)	-0.5	2	Transport
T58146	HLA complex P5	-0.5	2	Defense response
H54366	KIAA0034 gene, complete cds	-0.5	2	Biological process unknown
AA406269	Nuclear factor I/X (CCAAT-binding transcription factor)	-0.5	2	DNA replication
R02346	Small nuclear ribonucleoprotein 70 kDa polypeptide (RNP antigen)	-0.5	1	RNA splicing
H64850	Clone 23612 mRNA sequence	-0.5	1	Biological process unknown
N74574	Hypothetical protein MGC9084	-0.49	3	Biological process unknown
N26645	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	-0.49	2	RAS protein signal transduction
R26434	Protein phosphatase 1, catalytic subunit, beta isoform	-0.49	1	Biological process unknown
AA025850	Myosin VA (heavy polypeptide 12, myoxin)	-0.49	1	Transport
H59208	ESTs	-0.49	1	Biological process unknown
AA490721	Splicing factor, arginine/serine-rich 9	-0.49	2	mRNA splice site selection
