Gene	Gene number	Unigene title	Chromosome	Pattern
IGF2	gb:M17863.1	Insulin-like growth factor 2 (somatomedin A)	1	Paternal
DCN	gb:AF138300.1	Decorin	12	Unknown
GNAS	gb:AF088184.1	GNAS complex locus	6	Conditional
CDKN1C	gb:R78668	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	6	Maternal
ZAC/PLAGL1	gb:BG547855	Pleiomorphic adenoma gene-like 1	7	Paternal
PEG1/MEST	gb:NM_002402.1	Homo sapiens mesoderm specific transcript	7	Paternal
UBE3A	gb:U84404.1	Human E6-associated protein E6-A pubiquitin-protein ligase	7	Maternal
TSSC4	gb:NM_005706.1	Homo sapiens tumor suppressing subtransferable candidate 4	7	Biallelic
GABRB3	gb:NM_000814.2	Gamma-aminobutyric acid (GABA) A receptor, beta 3	11	Paternal
IPW	gb:AI672541	Imprinted in the PWS	11	Paternal
PAWR	gb:AI336206	PRKC, apoptosis, WT1, regulator	12	Unknown
SNRPN	gb:NM_022804.1	SNRPN upstream reading frame/small nuclear ribonucleoprotein polypeptide N	13	Paternal
PEG3/ZIM2	gb:NM_015363.1	Homo sapiens zinc finger, imprinted 2	13	Paternal
CD81	gb:NM_004356.1	Homo sapiens CD81 antigen target of antiproliferative antibody 1	14	Unknown
ASB4	gb:NM_016116.1	Ankyrin repeat and SOCS box-containing 4	14	Unknown
L3MBTL	gb:AW445040	l(3)mbt-like (Drosophila)	15	Unknown
XIST	gb:AV699347	X (inactive)-specific transcript	15
ARH1/NOEY2	gb:AK021882.1	ras homolog gene family, member I, highly similar to Homo sapiens putative tumor supressor NOEY2	15	Paternal
MAGEL2	gb:NM_019066.1	Homo sapiens MAGE-like 2 (MAGEL2)	15	Paternal
HYMAI	gb:AF241534.1	Hydatidiform mole associated and imprinted (HYMAI)	15	Paternal
HTR2A	gb:NM_000621.1	Homo sapiens 5-hydroxytryptamine (serotonin) receptor 2A (HTR2A)	15	Maternal
ZNF264	gb:NM_003417.1	Homo sapiens zinc finger protein 264 (ZNF264)	15	Unknown
IMPACT	gb:NM_018439.1	Homo sapiens hypothetical protein IMPACT (IMPACT)	18	Unknown
MEG3	gb:AI950273	Maternally expressed 3	19	Maternal
TSSC3	gb:BC005034.1	Tumor suppressing subtransferable candidate 3	19	Maternal
GRB10	gb:U66065.1	Human Grb10- and Grb-IR-related splice variant 1	20	Conditional
SGCE	gb:NM_003919.1	Homo sapiens sarcoglycan, epsilon (SGCE)	20	Unknown
DIO3	gb:NM_001362.1	Placenta imprinting, Homo sapiens deiodinase, iodothyronine, type III (DIO3)	20	Unknown
SLC22A1L	gb:NM_002555.1	Homo sapiens solute carrier family 22 (organic cation transporter), member 1-like (SLC22A1L), organic cation transporter-like 2	20	Maternal
NNAT	gb:NM_005386.1	Homo sapiens neuronatin (NNAT)	20	Unknown
NDN	gb:U35139.1	Human NECDIN related protein	20	Paternal
IGF2R	gb:BG031974	Insulin-like growth factor 2 receptor	X	Biallelic
