ProbeID	Description	GeneBank/RefSeq Id
A_23_P36528	transmembrane 4 superfamily member 3 B	C005246
A_23_P150555	secretoglobin, family 1D, member 2	NM_006551
A_23_P161940	secretoglobin, family 2A, member 2	NM_002411
A_23_P145841	sclerostin domain containing 1	NM_015464
A_23_P62857	phospholipase A2, group IIA (platelets, synovial fluid)	M22430
A_23_P128323	sodium channel, nonvoltage-gated 1 alpha	NM_001038
A_23_P257731	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12) A	K024865
A_23_P50265	OLIGO
A_23_P8452	lunatic fringe homolog (Drosophila) B	C014851
A_23_P58266	S100 calcium binding protein P	NM_005980
A_23_P252413	metallothionein 2A B	C007034
A_23_P11543	fucosidase, alpha-L- 1, tissue	NM_000147
A_23_P168211	hypothetical protein DKFZp564K0822	NM_030796
A_23_P9006	Putative prostate cancer tumor suppressor	U42349
A_23_P110712	dual specificity phosphatase 1	NM_004417
A_23_P147950	hypothetical protein FLJ32731 A	K057293
A_23_P53891	Kruppel-like factor 5 (intestinal)	NM_001730
A_23_P119196	Kruppel-like factor 2 (lung)	NM_016270
A_23_P11192	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	NM_006357
A_23_P217831	chromosome 1 open reading frame 24 A	F288391
A_23_P149427	calpain 9 (nCL-4)	NM_006615
A_23_P163782	metallothionein 1H B	C008408
A_23_P122445		X57129
A_23_P83931	neuroepithelial cell transforming gene 1	NM_005863
A_23_P142205	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	NM_006866
