Probe ID	Gene Symbol	Chromosomal Location
1555385_at	B4GALNT1	chr12q13.3
1568706_s_at	AVIL	chr12q14.1
200714_x_at	OS9	chr12q13
201131_s_at	CDH1	chr16q22.1
202246_s_at	CDK4	chr12q14
203226_s_at	TSPAN31	chr12q13.3
203227_s_at	TSPAN31	chr12q13.3
204027_s_at	METTL1	chr12q13
205386_s_at	MDM2	chr12q14.3-q15
205539_at	AVIL	chr12q14.1
205676_at	CYP27B1	chr12q13.1-q13.3
206100_at	CPM	chr12q14.3
206435_at	B4GALNT1	chr12q13.3
211832_s_at	MDM2	chr12q14.3-q15
212656_at	TSFM	chr12q13-q14
213861_s_at	FAM119B	chr12q14.1
214331_at	TSFM	chr12q13-q14
214332_s_at	TSFM	chr12q13-q14
214951_at	SLC26A10	chr12q13
215399_s_at	OS9	chr12q13
217373_x_at	MDM2	chr12q14.3-q15
217542_at	CPM	chr12q14.3
218768_at	NUP107	chr12q15
224489_at	KIAA1267	chr17q21.31
225160_x_at	MGC5370	chr12q14.3
226454_at	9-Mar	chr12q14.1
226546_at	NA	NA
227678_at	XRCC6BP1	chr12q14.1
229711_s_at	MGC5370	chr12q14.3
229917_at	NA	NA
230001_at	9-Mar	chr12q14.1
235019_at	CPM	chr12q14.3
235706_at	CPM	chr12q14.3
235721_at	DTX3	chr12q13.3
238733_at	CPM	chr12q14.3
238999_at	AVIL	chr12q14.1
241765_at	CPM	chr12q14.3
244675_at	RGS8	chr1q25
