GenBank ID	IMAGE clone ID	Description	Fold increase in DMS-79 cells compared to H82	Fold increase in DMS-79 cells compared to H209	Fold increase in DMS-79 cells compared to H146	Fold increase in DMS-79 cells compared to H446	Fold increase in DMS-79 cells compared to H510A	Fold increase in DMS-79 cells compared to H69	Mean	S.E.M.
R38300	137456	T-box 3	14.77	13.05	28.72	27.53	6.18	25.63	19.31	3.78
T60168	81427	Thyroid transcription factor	16.64	12.47	23.83	8.3	2.01	22.2	14.24	3.41
R63543	138775	NGF receptor association protein 1	7.11	34	2.05	3.16	9.72	24.74	13.46	5.29
AA227885	667482	Mal T cell differentiation protein	13.49	1.77	10.55	21.42	18.93	1.38	11.26	3.44
AA001449	361974	Neurite GF	24.9	6.56	4.67	9.05	6.8	4.39	9.4	3.18
H15842	159608	Apolipoprotein D	10.51	7.68	7.76	7.42	5.78	13.66	8.8	1.15
AA598610	898219	Mesoderm specific transcript	18.3	1.01	7.45	9.9	15.38	1.16	8.87	2.92
AA452826	788566	Purkinje cell protein 4	15.24	4.98	2.71	11.56	-2.14	12.12	7.41	2.71
W60582	341706	Brain expressed X linked 1	4.12	8.46	2.67	4.86	4.98	8.39	5.58	0.96
AA488073	840687	Mucin, transmembrane	16.85	1.04	5.71	7.25	6.43	-1.10	6.03	2.55
N53172	246786	G protein coupled receptor	5.3	4.65	7.88	6.51	2.15	10.24	6.12	1.14
AA598508	897770	Retinoic acid binding protein 2	1.11	5.98	6.95	7.5	1.9	6.68	5.02	1.13
