Affymetrix ID	Symbol	Description	mean log ratio	cluster
101870_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	2.91	6
99405_at		Igkappa gene for immunoglobulin kappa chain, partial cds, strain:BDF1.	2.59	6
100721_f_at	LOC56304	recombinant antineuraminidase single chain Ig VH and VL domains	2.36	6
93927_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	2.2	6
97574_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	2.11	6
102154_f_at		Anti-PC rearranged Ig kappa chain V-J region mRNA, hybridoma 31-23-1, partial cds.	2.04	6
102076_at		Recombinant antineuraminidase single chain Ig VH and VL domains (LOC56304), mRNA	2.01	6
97008_f_at			2.01	6
102372_at	Igj	immunoglobulin joining chain	1.88	6
100376_f_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	1.87	6
101720_f_at	Igk-V8	immunoglobulin kappa chain variable 8 (V8)	1.87	6
93904_f_at	Igh-V3609N	immunoglobulin heavy chain (V3609N non-productive)	1.86	5
97720_at	Igh-VS107	immunoglobulin heavy chain (S107 family)	1.76	5
100682_f_at		Similar to anti-colorectal carcinoma light chain (LOC243436), mRNA	1.66	6
97563_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	1.66	6
97576_f_at	AI324046	expressed sequence AI324046	1.61	6
96973_f_at	AI324046	expressed sequence AI324046	1.56	6
100362_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	1.54	6
101752_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	1.42	6
96974_at		Recombinant antineuraminidase single chain Ig VH and VL domains (LOC56304), mRNA	1.33	6
96963_s_at		Anti-PC rearranged Ig kappa chain V-J region mRNA, hybridoma 31-23-1, partial cds.	1.3	6
101743_f_at		Clone L2MZB-17.8 immunoglobulin heavy chain variable region mRNA, partial cds	1.28	6
92858_at	Slpi	secretory leukocyte protease inhibitor	1.27	6
101319_f_at			1.27	5
98034_at	H2-DMb1	histocompatibility 2, class II, locus Mb1	1.26	5
97575_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	1.23	6
98765_f_at		Clone L2MZB-5.6 immunoglobulin heavy chain variable region mRNA, partial cds	1.23	6
101871_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	1.22	5
100377_f_at	Igh-V	immunoglobulin heavy chain variable region	1.2	5
100360_f_at	Igh-1a	immunoglobulin heavy chain 1a (serum IgG2a)	1.16	5
98035_g_at	H2-DMb1	histocompatibility 2, class II, locus Mb1	1.08	4
