Symbol	Name	AC	Function group
RDX	Radixin	AI263095	adhesion
PTPRM	Protein tyrosine phosphatase, receptor type, M	H99427	adhesion
PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	N71003	Apoptosis mediator
PTPLB	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	AA417761	Apoptosis mediator
MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	N34436	Apoptosis mediator
FKBP5	FK506 binding protein 5	W86653	AR action
SPHAR	S-phase response (cyclin-related)	R51052	cell cycle regulation
UHRF2	Chromosome 9 open reading frame 38	R43666	cell cycle regulation
KIAA0056	KIAA0056 protein	AA430546	cell cleavage
ALDH1A3	Aldehyde dehydrogenase 1 family, member A3	AA455235	differentiation
NR5A2	Nuclear receptor subfamily 5, group A, member 2	H72864	differentiation
NLGN4X	Neuroligin 4, X-linked	R40983	differentiation
LIFR	Leukemia inhibitory factor receptor	N67017	differentiation
RAB27A	RAB27A, member RAS oncogene family	AI032392	differentiation
DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	AA045793	differentiation
CALM3	Calmodulin 3 (phosphorylase kinase, delta)	AA663828	Many processes
ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	AA282273	metabolism
PIK3AP1	Phosphoinositide-3-kinase adaptor protein 1	R62340	Proliferation inducer
ABI2	Abl interactor 2	N94992	Proliferation inhibitor
MPZL1	Myelin protein zero-like 1	AA071326	Proliferation inhibitor
SOCS2	Suppressor of cytokine signaling 2	R23241	Proliferation inhibitor
APRIN	Androgen-induced proliferation inhibitor	H93424	Proliferation inhibitor
LRRFIP2	Leucine rich repeat (in FLII) interacting protein 2	AA629844	Proliferation inhibitor
PAK1IP1	PAK1 interacting protein 1	AA973461	Proliferation inhibitor
ANKH	Ankylosis, progressive homolog (mouse)	AA418007	prostate function
HERPUD1	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	AI675465	stress response
ZNF589	Zinc finger protein 589	R05934	Transcriptional repressor
RNF103	Ring finger protein 103	AA425020	unknown
LOC90268	Hypothetical protein BC007706	AA004324	Unknown
KIAA1078	KIAA1078 protein	N63447	Unknown
MDS006	X 006 protein	W72231	Unknown
C1orf26	Chromosome 1 open reading frame 26	AA412046	Unknown
SLC39A10	Solute carrier family 39 (zinc transporter), member 10	AA479302	Zinc transport
