Spotnr	GenBank_Acc	GENE_SYMBOL	UniGene_Hs	LNCaP_2h	LNCaP_4h	LNCaP_6h	LNCaP_8h
4888	R74478		Hs.231861	-0.085	0.32	-0.215	0.705
14059	NM_020742	NLGN4X	Hs.21107	-0.085	-0.125	0.235	0.84
13259	BX648200	DKFZP434B0335	Hs.22627	-0.03	-0.32	0.28	0.895
1311	H63090	USP47	Hs.501924	0.7	0.94	0.26	0.23
11104	D90070	PMAIP1	Hs.96	0.91	0.88	0.57	0.295
6734	AA663828	CALM3	Hs.515487			3.09	1.11
3534	H45976	CTNNA2	Hs.167368			2.03	2.045
1410	N94992	ABI2	Hs.471156	0.1	0.06		0.8
15382	AA131466	LIFR	Hs.133421	-0.115	0.09	0.88	0.97
13932	AA403031	PBX1	Hs.493096	-0.185	0.15	0.545	0.9
1088	AI167667	HYPE	Hs.234961	-0.19	0.22	0.54	0.82
6928	AA027856	RYBP	Hs.7910	-0.27	0.445	0.62	0.89
12423	AA418818	ELL2	Hs.192221	0.505	0.35	0.69	0.895
4285	AA983560	SIM2	Hs.146186	0.085	0.625	0.67	1.115
2602	AA400457	TBC1D4	Hs.210891	0.06	0.52	0.59	0.9
11747	H81907	ANKH	Hs.156727	0.155	0.615	0.815	1.245
7113	AA418007	ANKH	Hs.156727	0.135	0.535	0.695	1.015
15421	H78135	UAP1	Hs.492859	0.12	0.56	0.675	1.285
3975	AA482228	DHCR24	Hs.498727	0.105	0.31	0.415	0.835
12679	AI206454	ACSL3	Hs.471461	0.38	0.88	1.125	1.885
10695	AA700876	ORM2	Hs.522356	-0.065	0.505	0.83	1.025
3187	AA424804	ABCC1	Hs.391464	-0.15	0.45	0.72	0.87
6402	N91003	ELOVL7	Hs.274256	0.075	0.62	1.04	1.41
5895	AA700604		Hs.446700	0.03	0.335	0.585	0.745
14494	AI005330	CDK5RAP1	Hs.376227	-0.02		0.92	1.25
4866	W67199		Hs.374451	0.015	0.46	0.71	0.985
14332	AA401495	LYZL6	Hs.97477	0.01	0.38	0.73	0.94
5279	AK125373	ACAD8	Hs.14791	0.035	0.55	0.895	1.315
3679	H29215	ACSL3	Hs.471461	0.06	0.58	0.925	1.395
3491	AI032392	RAB27A	Hs.298651	0.04	0.68	0.96	1.27
17785	AA459405	RCBTB1	Hs.508021	0.205	0.535	0.835	1.04
10165	W02775	KIAA0738	Hs.406492	0.16	0.545	0.835	1.02
18773	AA461467	ODC1	Hs.467701	0.21	0.95	1.43	1.64
10282	H72864	NR5A2	Hs.33446	0.15	0.485	0.855	0.93
17256	R40102	ZNF462	Hs.370379	0.08	0.545	1.005	1.15
2397	AA430546	KIAA0056	Hs.438550	0.17	1.67	2.93	3.29
16074	AA491295	CAMKK2	Hs.297343	0.04	0.365	0.73	0.755
18361	T95553	HELZ	Hs.370140	0.09	1.765	2.69	3.05
16824	W63789	OACT2	Hs.467634	0.155	0.59	1.14	1.385
11490	AA598631	SAT	Hs.28491	0.16	0.465	0.895	1.07
9029	W93092	NSMAF	Hs.372000	0.145	0.435	0.94	1.005
10096	N68719		Hs.173030	0.095	0.335	0.83	0.92
5053	AI650352		Hs.155085	0.17	0.705	1.545	1.76
18702	NM_013233	STK39	Hs.276271	0.01	0.35	0.84	0.89
2650	AI261346	TBC1D1	Hs.176503	-0.02	0.36	0.73	0.83
16801	N51226	LRRC16	Hs.116470	0.115	0.275	0.79	0.995
12589	AA071326	MPZL1	Hs.493919	0.1	0.27	0.67	0.84
14319	R38064	LIFR	Hs.133421	0.215	0.48	1.025	1.42
4892	AA045793	DNAJB9	Hs.6790	0.135	0.375	0.8	1.075
12031	NM_017983	WIPI49	Hs.9398	0.15	0.69	1.395	1.91
17971	R59968	CRYM	Hs.924	0.065	0.22	0.56	0.785
15956	AA430503	KIF22	Hs.119324	0.085	0.21	0.575	0.8
16667	H99427	PTPRM	Hs.49774	0.11	0.32	0.715	1.105
1976	AA598517	KRT8	Hs.533782	-0.07	0.23	0.76	0.95
15365	AA412046	C1orf26	Hs.134183	-0.05	0.385	0.87	1.105
5060	AI675465	HERPUD1	Hs.146393	-0.045	0.24	0.51	0.725
15035	AA425320	DNAJB9	Hs.6790	0.045	0.19	0.825	0.94
