Gene	Access	Description	Fold Change	Incidence	Function
Ccng1	L49507	Cyclin G1	2.0	3/5	Cell cycle– related genes
Gas1	X65128	Growth arrest – specific 1	2.8	4/5	Cell cycle– related genes
Madh2	U60530	MAD homolog 2	2.9	5/5	Cell cycle– related genes
Atm	U43678	Ataxia telangiectasia– mutated homolog	4.9	5/5	Cell cycle– related genes
Rbbp7	U35142	Retinoblastoma -binding protein 7	2.1	3/5	Cell cycle– related genes
Rbl2	U36799	Retinoblastoma-like 2	2.0	3/5	Cell cycle– related genes
Rab11a	AI853996	RAB11a, member of RAS oncogene family	2.5	3/5	Ras pathway effectors
Rab33b	AW208630	RAB33B, member of  RAS oncogene family	2.6	5/5	Ras pathway effectors
Rab3d	AI835706	RAB3D, member of RAS oncogene family	2.1	4/5	Ras pathway effectors
Rab9	AB027290	RAB9, member of RAS oncogene family	2.1	5/5	Ras pathway effectors
Arhgdia	AI836322	Rho GDP dissociation inhibitor (GDI) alpha	7.0	5/5	Ras pathway effectors
Arhgdig	U73198	Rho GDP dissociation inhibitor (GDI) gamma	2.8	4/5	Ras pathway effectors
Rhob	X99963	rhoB gene	2.1	4/5	Ras pathway effectors
Arhq	D50264	Ras homolog gene family, member Q	2.6	4/5	Ras pathway effectors
Tbx2	U15566	T-box 2	4.0	5/5	Transcription regulators
Ndr2	AB033921	N-myc downstream- regulated 2	21.1	5/5	Transcription regulators
Lasp1	AW122780	LIM and SH3 protein 1	2.3	4/5	Transcription regulators
Lmo1	AW124311	LIM domain only 1	6.5	5/5	Transcription regulators
Lmo4	AF074600	LIM domain only 4	2.3	4/5	Transcription regulators
Pdlim3	AF002283	PDZ and LIM domain 3	4.9	5/5	Transcription regulators
Tcf2	AB008174	Transcription factor 2	2.0	3/5	Transcription regulators
Tcf21	AF035717	Transcription factor 21	3.7	4/5	Transcription regulators
Tcf3	AJ223069	Transcription factor 3	2.5	3/5	Transcription regulators
Gata2	AB000096	GATA-binding protein 2	3.5	5/5	Transcription regulators
Gata3	X55123	GATA-binding protein 3	9.2	5/5	Transcription regulators
Gata4	M98339	GATA-binding protein 4	2.3	3/5	Transcription regulators
Cri1	AI844939	CREBBP/EP300– inhibitory protein 1	2.3	5/5	Transcription regulators
Erk2	D87271	ERK2	2.6	4/5	MAPK/Src homolog
Map2k6	U39066	Mitogen-activated protein kinase kinase 6	2.5	3/5	MAPK/Src homolog
Map3k4	AV270901	Mitogen-activated protein kinase kinase kinase 4	3.0	4/5	MAPK/Src homolog
Map3k5	AB006787	Mitogen-activated protein kinase kinase kinase 5	2.5	4/5	MAPK/Src homolog
Map3k8	AV341985	Mitogen-activated protein kinase kinase kinase 8	3.0	3/5	MAPK/Src homolog
Sh2bpsm1	AF020526	SH2-B PH domain containing  signaling mediator 1	2.1	3/5	MAPK/Src homolog
Sh3bgr	AW048272	SH3-binding domain, glutamic acid – rich protein	4.9	5/5	MAPK/Src homolog
Sh3bp1	X87671	SH3 domain – binding protein 1	2.8	4/5	MAPK/Src homolog
Sh3gl2	U58886	SH3 domain GRB2-like 2	13.0	5/5	MAPK/Src homolog
Sh3gl3	U58887	SH3 domain GRB2-like 3	2.5	4/5	MAPK/Src homolog
