Probe ID	Symbol	Name	P value	M	Fold	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
1435493_at	Dsp	desmoplakin	0.000	2.270	4.8	---	5739 // mitochondrion // inferred from direct assay /// 16323 // basolateral plasma membrane // inferred from direct assay /// 30057 // desmosome // inferred from direct assay	---	---
1435494_s_at	Dsp	desmoplakin	0.001	2.197	4.6	---	5739 // mitochondrion // inferred from direct assay /// 16323 // basolateral plasma membrane // inferred from direct assay /// 30057 // desmosome // inferred from direct assay	---	---
1454681_at	Rbm35a	RNA binding motif protein 35A	0.000	2.191	4.6	---	5634 // nucleus // inferred from electronic annotation	3723 // RNA binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 166 // nucleotide binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	---
1448261_at	Cdh1	cadherin 1	0.000	1.767	3.4	7155 // cell adhesion // inferred from electronic annotation /// 7156 // homophilic cell adhesion // inferred from electronic annotation /// 16337 // cell-cell adhesion // inferred from mutant phenotype /// 19538 // protein metabolism // inferred from direct assay /// 43281 // regulation of caspase activity // inferred from direct assay /// 51260 // protein homooligomerization // inferred from direct assay	5615 // extracellular space // Unknown /// 5886 // plasma membrane // inferred from direct assay /// 5912 // adherens junction // inferred from direct assay /// 5913 // cell-cell adherens junction // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16323 // basolateral plasma membrane // inferred from direct assay /// 45177 // apical part of cell // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	5509 // calcium ion binding // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 8013 // beta-catenin binding // inferred from physical interaction /// 5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	Cell_Cycle_KEGG // GenMAPP
1418449_at	Lad1	ladinin	0.000	1.659	3.2	---	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5604 // basement membrane // inferred from electronic annotation	---	---
1423952_a_at	Krt7	keratin 7	0.000	1.654	3.1	7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation	5882 // intermediate filament // inferred from electronic annotation	5200 // structural constituent of cytoskeleton // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5198 // structural molecule activity // inferred from electronic annotation	---
1448690_at	Kcnk1	potassium channel, subfamily K, member 1	0.001	1.492	2.8	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6813 // potassium ion transport // Unknown /// 6813 // potassium ion transport // inferred from electronic annotation	5768 // endosome // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	5216 // ion channel activity // inferred from electronic annotation /// 5244 // voltage-gated ion channel activity // inferred from electronic annotation /// 5267 // potassium channel activity // inferred from direct assay /// 5267 // potassium channel activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 30955 // potassium ion binding // inferred from electronic annotation	---
1448393_at	Cldn7	claudin 7	0.003	1.444	2.7	16338 // calcium-independent cell-cell adhesion // inferred from sequence or structural similarity	5615 // extracellular space // Unknown /// 5923 // tight junction // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 5923 // tight junction // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation /// 16021 // integral to membrane // non-traceable author statement	5198 // structural molecule activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 42802 // identical protein binding // inferred from sequence or structural similarity	---
1453275_at	2310002L13Rik	RIKEN cDNA 2310002L13 gene	0.001	1.348	2.5	---	---	---	---
1445991_at	Lhfp	lipoma HMGIC fusion partner	0.022	1.213	2.3	---	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1418301_at	Irf6	interferon regulatory factor 6	0.004	1.167	2.2	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	Apoptosis // GenMAPP /// Apoptosis // GenMAPP /// Apoptosis // GenMAPP
1451780_at	Blnk	B-cell linker	0.001	1.149	2.2	6952 // defense response // inferred from electronic annotation /// 7242 // intracellular signaling cascade // Unknown /// 42113 // B cell activation // inferred from electronic annotation /// 7242 // intracellular signaling cascade // inferred from electronic annotation	5886 // plasma membrane // inferred from electronic annotation	5515 // protein binding // inferred from physical interaction	---
1434939_at	Foxf1a	forkhead box F1a	0.001	1.112	2.2	1570 // vasculogenesis // inferred from mutant phenotype /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 9887 // organ morphogenesis // inferred from mutant phenotype /// 30198 // extracellular matrix organization and biogenesis // inferred from genetic interaction /// 30324 // lung development // inferred from mutant phenotype /// 45198 // establishment of epithelial cell polarity // inferred from genetic interaction /// 48566 // embryonic gut development // inferred from genetic interaction	5634 // nucleus // inferred from electronic annotation /// 5667 // transcription factor complex // inferred from electronic annotation	3677 // DNA binding // inferred from direct assay /// 3700 // transcription factor activity // inferred from electronic annotation /// 43565 // sequence-specific DNA binding // inferred from electronic annotation	---
1417797_a_at	1810019J16Rik	RIKEN cDNA 1810019J16 gene	0.030	1.088	2.1	---	---	---	---
1423935_x_at	Krt14	keratin 14	0.001	1.058	2.1	902 // cellular morphogenesis // Unknown /// 7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation /// 8544 // epidermis development // Unknown	5882 // intermediate filament // inferred from electronic annotation /// 45095 // keratin filament // inferred from direct assay	5198 // structural molecule activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // inferred from electronic annotation	---
1430357_at	H3f3b	H3 histone, family 3B	0.009	1.051	2.1	6334 // nucleosome assembly // inferred from electronic annotation /// 7001 // chromosome organization and biogenesis (sensu Eukaryota) // inferred from electronic annotation /// 6334 // nucleosome assembly // inferred from sequence or structural similarity /// 7001 // chromosome organization and biogenesis (sensu Eukaryota) // inferred from sequence or structural similarity	786 // nucleosome // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation /// 5694 // chromosome // inferred from electronic annotation /// 786 // nucleosome // inferred from sequence or structural similarity /// 1740 // Barr body // inferred from direct assay	3677 // DNA binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from sequence or structural similarity	---
