ProbeID	Description	GeneBank/RefSeq Id
A_23_P259071	amphiregulin (schwannoma-derived growth factor)	NM_001657
A_23_P47863	transmembrane 7 superfamily member 3 A	K002031
A_23_P16523	prostate differentiation factor	NM_004864
A_23_P84483	chromosome 7 open reading frame 10 A	K021870
A_23_P210886	BCL2-like 1	NM_001191
A_23_P150016	dual specificity phosphatase 5	U15932
A_23_P218928	hypothetical protein DKFZp434L142	NM_016613
A_23_P20223	ribonucleotide reductase M2 B (TP53 inducible) A	L137348
A_23_P218918	fibroblast growth factor 2 (basic)	NM_002006
A_23_P22332	inositol polyphosphate-5-phosphatase, 145kDa	U57650
A_23_P33733	inositol polyphosphate-5-phosphatase, 145kDa	X98429
A_23_P121064	pentaxin-related gene, rapidly induced by IL-1 beta	NM_002852
A_23_P61149	inositol polyphosphate-5-phosphatase, 145kDa	NM_005541
A_23_P51906	prefoldin 2	NM_012394
A_23_P145114	glutamate-cysteine ligase, catalytic subunit B	C039894
A_23_P41344	epiregulin	NM_001432
A_23_P83220	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) B	C020235
A_23_P32938	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	NM_004398
A_23_P208706	BCL2-associated X protein	NM_138764
A_23_P202881	fasciculation and elongation protein zeta 1 (zygin I)	NM_005103
A_23_P205959	aldehyde dehydrogenase 1 family, member A3	NM_000693
A_23_P143958	similar to RIKEN cDNA 3110001N18 A	L110170
A_23_P117782	acheron	NM_018357
A_23_P59208	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	U03106
A_23_P86653	proteoglycan 1, secretory granule	NM_002727
A_23_P30254	serum-inducible kinase	NM_006622
A_23_P85215	interleukin 13 receptor, alpha 2	Y08768
A_23_P256540	mitochondrial ribosomal protein L33	NM_004891
A_23_P147805	uridine phosphorylase 1 B	C047030
A_23_P204937	RGC32 protein	NM_014059
A_23_P150053	actin, alpha 2, smooth muscle, aorta	NM_001613
A_23_P51646	cytokine-inducible kinase	NM_004073
A_23_P84016	ADP-ribosylation factor 4 B	C016325
A_23_P38574	insulin-like growth factor binding protein 4 B	C016041
A_23_P42331	high mobility group AT-hook 1	NM_002131
A_23_P14734	ribosomal protein S27-like	NM_015920
A_23_P159382	SEC24 related gene family, member D (S. cerevisiae)	NM_014822
A_23_P46429	cysteine-rich, angiogenic inducer, 61	NM_001554
A_23_P75056	GATA binding protein 3	NM_002051
A_23_P209925	fibronectin 1	X02761
A_23_P137016	spermidine/spermine N1-acetyltransferase	NM_002970
A_23_P58082	steroid sensitive gene 1 A	L833034
A_23_P210690	chromosome 20 open reading frame 97	NM_021158
A_23_P120845	X-box binding protein 1	NM_005080
A_23_P153709	midnolin A	L512725
A_23_P43810	latent transforming growth factor beta binding protein 1	NM_000627
A_23_P253519	ribosomal protein S23	D14530
A_23_P123645	UDP-glucose ceramide glucosyltransferase	D50840
A_23_P72096	interleukin 1, alpha	NM_000575
A_23_P119130	ribosomal protein S19	NM_001022
A_23_P107604	ribosomal protein L17 B	C000502
A_23_P80068	BTG family, member 3	NM_006806
A_23_P255952	myosin VI	NM_004999
A_23_P35030	hypothetical protein FLJ20542	NM_032179
A_23_P100925	eukaryotic translation initiation factor 5A B	C001832
A_23_P44956	ribosomal protein L35a	NM_000996
A_23_P36464	hypothetical protein FLJ10637 A	K001222
A_23_P126388	SH3 domain binding glutamic acid-rich protein like 3	NM_031286
A_23_P214080	early growth response 1	NM_001964
A_23_P120940	activating transcription factor 4 (tax-responsive enhancer element B67) B	C008090
A_23_P81612	signal recognition particle 19kDa	NM_003135
A_23_P151267	epithelial protein lost in neoplasm beta	NM_016357
A_23_P206724	metallothionein 2A	NM_175617
A_23_P141394	hypothetical protein FLJ10055	NM_017983
