Probe.Set.ID	Chromosome	Cytoband	Gene.Symbol	LogFold
217122_s_at	1	p36.33	SLC35E2	-0.6
204075_s_at	1	p36.32	KIAA0562	-0.85
201609_x_at	1	p36.31	ICMT	0.88
203068_at	1	p36.31	KLHL21	-0.65
221045_s_at	1	p36.23	PER3	-0.8
200940_s_at	1	p36.23	RERE	-0.71
201231_s_at	1	p36.23	ENO1	0.83
219305_x_at	1	p36.22	FBXO2	-2.66
212911_at	1	p36.21	DNAJC16	-0.78
213380_x_at	1	p36.13	MSTP9	-1.5
209791_at	1	p36.13	PADI2	2.19
206469_x_at	1	p36.13	AKR7A3	-3.34
216381_x_at	1	p36.13	AKR7A3	-3.84
214259_s_at	1	p36.13	AKR7A2	-2.02
202139_at	1	p36.13	AKR7A2	-2.07
220079_s_at	1	p36.12	USP48	-0.61
202528_at	1	p36.11	GALE	1.34
202772_at	1	p36.11	HMGCL	-1.71
202838_at	1	p36.11	FUCA1	-1.04
214579_at	1	p36.11	NPAL3	-0.72
204661_at	1	p36.11	CD52	2.98
208617_s_at	1	p35.2	PTP4A2	-0.78
201209_at	1	p35.1	HDAC1	-0.64
222200_s_at	1	p35.1	BSDC1	-0.63
213698_at	1	p34.3	ZMYM6	-0.75
219924_s_at	1	p34.3	ZMYM6	-0.79
217929_s_at	1	p34.3	KIAA0319L	-0.89
200039_s_at	1	p34.3	PSMB2	0.71
205186_at	1	p34.3	DNALI1	-1.26
200625_s_at	1	p34.2	CAP1	0.77
213798_s_at	1	p34.2	CAP1	0.92
202870_s_at	1	p34.2	CDC20	3.32
213696_s_at	1	p34.2	MED8	0.88
204231_s_at	1	p33	FAAH	-0.79
219420_s_at	1	p32.3	C1orf163	0.7
204348_s_at	1	p31.3	AK3L1	1.5
204347_at	1	p31.3	LOC645619	1.39
200685_at	1	p31.1	SFRS11	-1.11
213704_at	1	p31.1	RABGGTB	-0.75
219882_at	1	p31.1	TTLL7	1.48
209094_at	1	p22.3	DDAH1	-0.79
206166_s_at	1	p22.3	CLCA2	5.48
206164_at	1	p22.3	CLCA2	4.63
206165_s_at	1	p22.3	CLCA2	7.25
217528_at	1	p22.3	CLCA2	6.01
212628_at	1	p22.2	PKN2	-0.71
202850_at	1	p21.3	ABCD3	-1.17
203566_s_at	1	p21.2	AGL	-1.58
203868_s_at	1	p21.2	VCAM1	1.9
218040_at	1	p13.3	PRPF38B	-0.74
203310_at	1	p13.3	STXBP3	-0.85
221874_at	1	p13.3	KIAA1324	-0.76
204029_at	1	p13.3	CELSR2	-2.14
36499_at	1	p13.3	CELSR2	-2.15
204149_s_at	1	p13.3	GSTM4	-0.67
204418_x_at	1	p13.3	GSTM2	-2.24
215333_x_at	1	p13.3	GSTM1	-1.74
204550_x_at	1	p13.3	GSTM1	-1.86
200850_s_at	1	p13.3	AHCYL1	-0.66
200848_at	1	p13.3	AHCYL1	-0.72
205234_at	1	p13.3	SLC16A4	-1.03
213832_at	1	p13.2		-2.31
215014_at	1	p13.2		-2.39
213694_at	1	p13.2	RSBN1	-1.04
212435_at	1	p13.2	TRIM33	-0.76
201397_at	1	p12	PHGDH	2.66
205380_at	1	q21.1	PDZK1	-6.97
222212_s_at	1	q21.2	LASS2	-0.72
210085_s_at	1	q21.2	ANXA9	-4.59
211712_s_at	1	q21.2	ANXA9	-4.52
221856_s_at	1	q21.2	FAM63A	-1.02
214433_s_at	1	q21.3	SELENBP1	-0.96
212153_at	1	q21.3	POGZ	-0.7
215281_x_at	1	q21.3	POGZ	-0.65
200872_at	1	q21.3	S100A10	0.82
200660_at	1	q21.3	S100A11	0.83
202598_at	1	q21.3	S100A13	-1.38
217007_s_at	1	q21.3	ADAM15	1.33
201275_at	1	q22	FDPS	0.72
218914_at	1	q23.1	C1orf66	-1.24
202250_s_at	1	q23.2	WDR42A	-0.6
221664_s_at	1	q23.3	F11R	0.69
217550_at	1	q23.3	ATF6	-1.04
215153_at	1	q23.3	NOS1AP	-0.68
209071_s_at	1	q23.3	RGS5	-1.93
212148_at	1	q23.3	PBX1	-0.9
212151_at	1	q23.3	PBX1	-0.68
203801_at	1	q25.1	MRPS14	-1.35
203143_s_at	1	q25.1	KIAA0040	-1.46
203144_s_at	1	q25.1	KIAA0040	-2.03
215001_s_at	1	q25.3	GLUL	-0.75
211963_s_at	1	q25.3	ARPC5	0.72
221272_s_at	1	q25.3	C1orf21	-0.66
220992_s_at	1	q25.3	C1orf25	-0.8
219696_at	1	q31.3	FLJ20054	-1.55
212587_s_at	1	q31.3	PTPRC	3.66
212588_at	1	q31.3	PTPRC	3.38
219010_at	1	q32.1	C1orf106	2.67
203287_at	1	q32.1	LAD1	1.85
202263_at	1	q32.1	CYB5R1	-0.87
201236_s_at	1	q32.1	BTG2	-1
204352_at	1	q32.3	TRAF5	-0.82
218407_x_at	1	q32.3	NENF	-0.89
221825_at	1	q32.3	ANGEL2	-0.94
217894_at	1	q41	KCTD3	-1.24
219389_at	1	q41	SUSD4	-2.51
201795_at	1	q42.12	LBR	1.49
203983_at	1	q42.2	TSNAX	-0.72
202813_at	1	q42.2	TARBP1	-0.93
211138_s_at	1	q43	KMO	4.4
205306_x_at	1	q43	KMO	4.4
218497_s_at	2	p25.3	RNASEH1	1.29
204913_s_at	2	p25.2	SOX11	6.18
204914_s_at	2	p25.2	SOX11	6.61
209773_s_at	2	p25.1	RRM2	4.36
216640_s_at	2	p25.1	PDIA6	0.61
205862_at	2	p25.1	GREB1	-2.12
218781_at	2	p24.2	SMC6L1	1.1
201286_at	2	p24.1	SDC1	1.96
201287_s_at	2	p24.1	SDC1	2.15
212333_at	2	p22.3	FAM98A	1.09
202551_s_at	2	p22.2	CRIM1	-1.42
202552_s_at	2	p22.2	CRIM1	-1.03
215287_at	2	p22.2		-1.05
202435_s_at	2	p22.2	CYP1B1	2.12
202436_s_at	2	p22.2	CYP1B1	1.58
209648_x_at	2	p21	SOCS5	-0.69
212246_at	2	p21	MCFD2	0.7
212219_at	2	p16.2	PSME4	1.99
212220_at	2	p16.2	PSME4	1.48
212980_at	2	p15	AHSA2	-1.06
203471_s_at	2	p14	PLEK	1.67
203458_at	2	p13.2	SPR	-1.38
217733_s_at	2	p11.2	TMSB10	1.12
217938_s_at	2	p11.2	KCMF1	0.71
218303_x_at	2	p11.2	LOC51315	-0.74
221274_s_at	2	q11.2	LMAN2L	-1.02
218900_at	2	q11.2	CNNM4	-0.68
206571_s_at	2	q11.2	MAP4K4	1.23
207198_s_at	2	q12.3	LIMS1	1.79
200996_at	2	q14.1	ACTR3	0.94
213101_s_at	2	q14.1	ACTR3	0.91
213102_at	2	q14.1	ACTR3	0.72
205763_s_at	2	q14.1	DDX18	0.61
202100_at	2	q14.2	RALB	0.86
212995_x_at	2	q21.1	FLJ14346	-0.7
209201_x_at	2	q21.3	CXCR4	3.24
210663_s_at	2	q22.2	KYNU	4.76
204385_at	2	q22.2	KYNU	2.16
217388_s_at	2	q22.2	KYNU	5.55
203130_s_at	2	q23.1	KIF5C	-2.78
203964_at	2	q23.3	NMI	1.35
203935_at	2	q24.1	ACVR1	0.6
201929_s_at	2	q24.1	PKP4	-0.72
201928_at	2	q24.1	PKP4	-0.59
203799_at	2	q24.2	CD302	-0.89
208083_s_at	2	q24.2	ITGB6	4.22
205710_at	2	q31.1	LRP2	-4.84
207812_s_at	2	q31.1	GORASP2	0.67
212624_s_at	2	q31.1	CHN1	3.49
221782_at	2	q32.1	DNAJC10	0.94
222154_s_at	2	q33.1	DNAPTP6	1.04
214683_s_at	2	q33.1	CLK1	-1.03
213373_s_at	2	q33.1	CASP8	1.55
214053_at	2	q34		-4.13
208679_s_at	2	q35	ARPC2	0.63
213513_x_at	2	q35	ARPC2	0.62
221984_s_at	2	q35	C2orf17	-0.61
222129_at	2	q35	C2orf17	-0.86
218070_s_at	2	q35	GMPPA	0.72
222379_at	2	q36.1		-3.97
204686_at	2	q36.3	IRS1	-1.63
218092_s_at	2	q36.3	HRB, LOC649094	1.67
218091_at	2	q36.3	HRB, LOC649094	0.98
209761_s_at	2	q37.1	SP110	1.29
201198_s_at	2	q37.1	PSMD1	0.79
212261_at	2	q37.1	TNRC15	-0.62
218211_s_at	2	q37.3	MLPH	-0.73
205251_at	2	q37.3	PER2	-1.12
211323_s_at	3	p26.2	ITPR1	-1.92
203710_at	3	p26.2	ITPR1	-1.26
216944_s_at	3	p26.2	ITPR1	-2.39
201170_s_at	3	p26.2	BHLHB2	-0.71
206825_at	3	p25.3	OXTR	-1.94
210129_s_at	3	p25.3	TTLL3	-0.6
203368_at	3	p25.3	CRELD1	-1.18
220035_at	3	p25.1	NUP210	-0.92
213035_at	3	p24.3	ANKRD28	-0.72
212646_at	3	p24.3	RAFTLIN	2.19
209750_at	3	p24.2	NR1D2	-1.71
214436_at	3	p22.3	FBXL2	-0.79
209124_at	3	p22.2	MYD88	0.73
