Affymetrix ID	Accession	Gene Symbol	Gene Description
204343_at	NM_001089	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3
1554878_a_at	BC009712	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3
208269_s_at	NM_021777	ADAM28	a disintegrin and metalloproteinase domain 28
206561_s_at	NM_020299	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)
201012_at	NM_000700	ANXA1	annexin A1
222338_x_at	AI375965	APTX	aprataxin
208009_s_at	NM_014448	ARHGEF16	Rho guanine exchange factor (GEF) 16
212614_at	BG285011	MRF2	AT rich interactive domain 5B (MRF1-like)
207675_x_at	NM_003976	ARTN	artemin
225557_at	AI091372	AXUD1	AXIN1 up-regulated 1
219768_at	NM_024626	B7-H4	immune costimulatory protein B7-H4
201169_s_at	BG326045	BHLHB2	basic helix-loop-helix domain containing, class B, 2
210202_s_at	U87558	BIN1	bridging integrator 1
206115_at	NM_004430	EGR3	bridging integrator 3
212254_s_at	AI798790	BPAG1	bullous pemphigoid antigen 1, 230/240kDa
203543_s_at	NM_001206	BTEB1	basic transcription element binding protein 1
233131_at	AI341154	FLJ35908	chromosome 10 open reading frame 80
44790_s_at	AI129310	C13orf18	chromosome 13 open reading frame 18
220089_at	NM_024884	C14orf160	chromosome 14 open reading frame 160
210785_s_at	AB035482	C1orf38	chromosome 1 open reading frame 38
217767_at	NM_000064	C3	complement component 3
1554314_at	BC036917	C6orf141	chromosome 6 open reading frame 141
1552575_a_at	NM_153344	C6orf141	chromosome 6 open reading frame 141
212554_at	N90755	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
212551_at	NM_006366	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
205297_s_at	NM_000626	CD79B	CD79B antigen (immunoglobulin-associated beta)
221556_at	BF792631	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
210559_s_at	D88357	CDC2	cell division cycle 2, G1 to S and G2 to M
203214_x_at	NM_001786	CDC2	cell division cycle 2, G1 to S and G2 to M
203213_at	AL524035	CDC2	cell division cycle 2, G1 to S and G2 to M
209286_at	AI754416	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
202284_s_at	NM_000389	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
219534_x_at	NM_000076	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
212477_at	D26069	CENTB2	centaurin, beta 2
221223_x_at	NM_013324	CISH	cytokine inducible SH2-containing protein
