Agilent Accession	aAverage Fold Difference	p-value (n=3)	Genbank Accession	Gene Description and Symbol
A_51_P390804	0.008	8.89E-06	NM_016873	Mus musculus WNT1 inducible signaling pathway protein 2 (Wisp2), mRNA [NM_016873]
A_51_P220343	0.060	4.06E-06	NM_018865	Mus musculus WNT1 inducible signaling pathway protein 1 (Wisp1), mRNA [NM_018865]
A_52_P15377	4.722	4.83E-03	NM_011719	Mus musculus wingless-type MMTV integration site 9B (Wnt9b), mRNA [NM_011719]
A_52_P79782	0.229	1.98E-02	NM_009527	Mus musculus wingless-related MMTV integration site 7A (Wnt7a), mRNA [NM_009527]
A_52_P415155	0.283	2.11E-02	NM_009526	Mus musculus wingless-related MMTV integration site 6 (Wnt6), mRNA [NM_009526]
A_51_P162272	0.168	2.58E-03	NM_009524	Mus musculus wingless-related MMTV integration site 5A (Wnt5a), mRNA [NM_009524]
A_52_P61864	0.052	8.38E-04	NM_023653	Mus musculus wingless-related MMTV integration site 2 (Wnt2), mRNA [NM_023653]
A_51_P171616	0.067	6.86E-05	NM_009518	Mus musculus wingless related MMTV integration site 10a (Wnt10a), mRNA [NM_009518]
A_52_P190973	0.253	1.10E-03	NM_009502	Mus musculus vinculin (Vcl), mRNA [NM_009502]
A_51_P392687	0.040	5.47E-04	NM_011701	Mus musculus vimentin (Vim), mRNA [NM_011701]
A_52_P520495	0.083	6.99E-03	NM_011693	Mus musculus vascular cell adhesion molecule 1 (Vcam1), mRNA [NM_011693]
A_51_P210956	0.051	1.56E-04	NM_011693	Mus musculus vascular cell adhesion molecule 1 (Vcam1), mRNA [NM_011693]
A_51_P257938	5.719	3.57E-02	NM_020047	Mus musculus tumor-associated calcium signal transducer 2 (Tacstd2), mRNA [NM_020047]
A_51_P364485	0.189	1.69E-04	NM_009396	Mus musculus tumor necrosis factor, alpha-induced protein 2 (Tnfaip2), mRNA [NM_009396]
A_52_P554536	3.341	9.71E-04	NM_175649	Mus musculus tumor necrosis factor receptor superfamily, member 26 (Tnfrsf26), mRNA [NM_175649]
A_52_P7593	3.289	2.71E-02	BC030062	Mus musculus tumor necrosis factor receptor superfamily, member 19, mRNA (cDNA clone MGC:40996 IMAGE:5256883), complete cds. [BC030062]
A_51_P106269	4.172	3.80E-02	NM_021349	Mus musculus tumor necrosis factor receptor superfamily, member 13b (Tnfrsf13b), mRNA [NM_021349]
A_52_P106620	4.143	1.45E-05	NM_008764	Mus musculus tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin) (Tnfrsf11b), mRNA [NM_008764]
A_51_P315785	0.117	1.93E-02	NM_009398	Mus musculus tumor necrosis factor alpha induced protein 6 (Tnfaip6), mRNA [NM_009398]
A_51_P257934	0.153	4.48E-03	NM_033622	Mus musculus tumor necrosis factor (ligand) superfamily, member 13b (Tnfsf13b), mRNA [NM_033622]
A_51_P421140	0.178	3.80E-06	NM_026473	Mus musculus tubulin, beta 6 (Tubb6), mRNA [NM_026473]
A_52_P303161	3.260	1.06E-02	NM_017379	Mus musculus tubulin, alpha 8 (Tuba8), mRNA [NM_017379]
A_51_P169745	0.253	2.02E-04	NM_011653	Mus musculus tubulin, alpha 1 (Tuba1), mRNA [NM_011653]
A_52_P657360	3.485	3.92E-04	NM_021467	Mus musculus troponin I, skeletal, slow 1 (Tnni1), mRNA [NM_021467]
A_52_P563123	0.252	1.17E-03	NM_009406	Mus musculus troponin I, cardiac (Tnni3), mRNA [NM_009406]
A_52_P418477	0.046	8.40E-06	NM_009416	Mus musculus tropomyosin 2, beta (Tpm2), mRNA [NM_009416]
A_52_P315976	0.054	5.68E-07	NM_009416	Mus musculus tropomyosin 2, beta (Tpm2), mRNA [NM_009416]
A_52_P847000	0.017	3.11E-03	NM_019548	Mus musculus trophinin (Tro), transcript variant 3, mRNA [NM_019548]
A_52_P72831	0.097	6.03E-04	NM_207679	Mus musculus trophinin (Tro), transcript variant 2, mRNA [NM_207679]
A_52_P229052	0.385	2.40E-03	NM_019790	Mus musculus transmembrane protein with EGF-like and two follistatin-like domains 2 (Tmeff2), mRNA [NM_019790]
A_51_P376959	0.232	4.99E-05	NM_019790	Mus musculus transmembrane protein with EGF-like and two follistatin-like domains 2 (Tmeff2), mRNA [NM_019790]
A_52_P207406	0.122	2.22E-02	NM_021436	Mus musculus transmembrane protein with EGF-like and two follistatin-like domains 1 (Tmeff1), mRNA [NM_021436]
A_51_P222381	0.090	1.71E-03	NM_021436	Mus musculus transmembrane protein with EGF-like and two follistatin-like domains 1 (Tmeff1), mRNA [NM_021436]
A_52_P35240	0.363	2.22E-07	NM_178598	Mus musculus transgelin 2 (Tagln2), mRNA [NM_178598]
A_52_P517683	0.067	3.56E-06	NM_011526	Mus musculus transgelin (Tagln), mRNA [NM_011526]
A_51_P450527	0.034	8.66E-05	NM_011526	Mus musculus transgelin (Tagln), mRNA [NM_011526]
A_51_P212754	0.085	1.54E-03	NM_009369	Mus musculus transforming growth factor, beta induced (Tgfbi), mRNA [NM_009369]
A_51_P341918	0.263	1.71E-03	NM_009366	Mus musculus transforming growth factor beta 1 induced transcript 4 (Tgfb1i4), transcript variant 2, mRNA [NM_009366]
A_52_P949440	0.151	2.30E-06	NM_009365	Mus musculus transforming growth factor beta 1 induced transcript 1 (Tgfb1i1), mRNA [NM_009365]
A_52_P209383	0.189	4.03E-04	NM_009365	Mus musculus transforming growth factor beta 1 induced transcript 1 (Tgfb1i1), mRNA [NM_009365]
A_51_P366344	0.122	3.46E-06	NM_009365	Mus musculus transforming growth factor beta 1 induced transcript 1 (Tgfb1i1), mRNA [NM_009365]
A_52_P555423	3.861	4.11E-03	NM_031199	Mus musculus transforming growth factor alpha (Tgfa), mRNA [NM_031199]
A_52_P352771	18.340	9.16E-04	NM_001025305	Mus musculus transcription factor AP-2 beta (Tcfap2b), transcript variant 2, mRNA [NM_001025305]
A_51_P248345	6.605	1.14E-03	NM_009334	Mus musculus transcription factor AP-2 beta (Tcfap2b), transcript variant 1, mRNA [NM_009334]
A_52_P540219	0.052	6.77E-07	NM_011594	Mus musculus tissue inhibitor of metalloproteinase 2 (Timp2), mRNA [NM_011594]
A_52_P87713	0.028	4.89E-07	NM_011593	Mus musculus tissue inhibitor of metalloproteinase 1 (Timp1), mRNA [NM_011593]
A_51_P512384	0.040	8.19E-06	NM_011593	Mus musculus tissue inhibitor of metalloproteinase 1 (Timp1), mRNA [NM_011593]
A_51_P512379	0.015	1.05E-04	NM_011593	Mus musculus tissue inhibitor of metalloproteinase 1 (Timp1), mRNA [NM_011593]
A_52_P670263	0.017	9.81E-03	BC036146	Mus musculus tissue factor pathway inhibitor, mRNA (cDNA clone MGC:37332 IMAGE:4975683), complete cds [BC036146]
A_51_P216496	0.023	1.41E-02	NM_009364	Mus musculus tissue factor pathway inhibitor 2 (Tfpi2), mRNA [NM_009364]
A_52_P631889	0.104	2.04E-02	NM_011576	Mus musculus tissue factor pathway inhibitor (Tfpi), mRNA [NM_011576]
A_52_P592007	0.055	1.53E-05	NM_011576	Mus musculus tissue factor pathway inhibitor (Tfpi), mRNA [NM_011576]
A_52_P479249	0.037	2.37E-06	NM_009382	Mus musculus thymus cell antigen 1, theta (Thy1), mRNA [NM_009382]
A_51_P420731	0.048	1.36E-06	NM_009382	Mus musculus thymus cell antigen 1, theta (Thy1), mRNA [NM_009382]
A_52_P407280	0.136	1.79E-06	BC034843	Mus musculus thrombospondin, type I domain containing 6, mRNA (cDNA clone MGC:41037 IMAGE:2938098), complete cds [BC034843]
A_52_P150620	0.177	3.76E-02	BC058577	Mus musculus thrombospondin, type I domain containing 6, mRNA (cDNA clone IMAGE:6489870) [BC058577]
A_51_P101588	0.230	2.88E-02	NM_025629	Mus musculus thrombospondin, type I domain containing 6 (Thsd6), mRNA [NM_025629]
A_51_P267053	0.085	4.15E-05	NM_013691	Mus musculus thrombospondin 3 (Thbs3), mRNA [NM_013691]
A_51_P461877	0.148	3.29E-07	NM_011581	Mus musculus thrombospondin 2 (Thbs2), mRNA [NM_011581]
A_52_P363951	0.334	2.32E-03	NM_011580	Mus musculus thrombospondin 1 (Thbs1), mRNA [NM_011580]
A_51_P291417	0.125	6.82E-03	NM_009378	Mus musculus thrombomodulin (Thbd), mRNA [NM_009378]
A_51_P395473	0.267	1.62E-05	NM_153533	Mus musculus tensin like C1 domain-containing phosphatase (Tenc1), mRNA [NM_153533]
A_52_P403443	0.310	5.25E-05	BC080686	Mus musculus tensin 3, mRNA (cDNA clone IMAGE:6508117). [BC080686]
A_51_P240903	0.064	3.11E-07	BC055076	Mus musculus tensin 1, mRNA (cDNA clone MGC:60428 IMAGE:30055111), complete cds. [BC055076]
A_51_P365008	0.035	1.08E-07	BC037471	Mus musculus tensin 1, mRNA (cDNA clone IMAGE:4235243). [BC037471]
A_51_P291438	0.111	1.73E-05	NM_011607	Mus musculus tenascin C (Tnc), mRNA [NM_011607]
A_52_P319326	0.079	2.53E-03	NM_022814	Mus musculus sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 (Svep1), mRNA [NM_022814]
A_51_P394814	0.042	7.99E-03	NM_022814	Mus musculus sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 (Svep1), mRNA [NM_022814]
A_52_P602188	0.165	1.07E-02	NM_172463	Mus musculus sushi, nidogen and EGF-like domains 1 (Sned1), mRNA [NM_172463]
A_52_P550147	0.056	2.61E-07	NM_172463	Mus musculus sushi, nidogen and EGF-like domains 1 (Sned1), mRNA [NM_172463]
A_51_P210885	0.050	6.69E-05	NM_172463	Mus musculus sushi, nidogen and EGF-like domains 1 (Sned1), mRNA [NM_172463]
A_52_P487686	6.766	5.20E-03	NM_001001332	Mus musculus stefin A1 (Stfa1), mRNA [NM_001001332]
A_51_P384894	4.683	3.03E-03	NM_001001332	Mus musculus stefin A1 (Stfa1), mRNA [NM_001001332]
A_52_P189970	0.096	1.39E-02	BC021425	Mus musculus stanniocalcin 1, mRNA (cDNA clone MGC:29066 IMAGE:5010981), complete cds. [BC021425]
A_52_P315733	0.199	1.93E-03	NM_009285	Mus musculus stanniocalcin 1 (Stc1), mRNA [NM_009285]
A_51_P428086	0.114	3.48E-04	NM_009260	Mus musculus spectrin beta 2 (Spnb2), transcript variant 2, mRNA [NM_009260]
A_51_P428082	0.119	3.29E-08	NM_009260	Mus musculus spectrin beta 2 (Spnb2), transcript variant 2, mRNA [NM_009260]
A_52_P221756	0.066	6.56E-04	NM_052994	Mus musculus sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2 (Spock2), mRNA [NM_052994]
A_52_P646762	0.037	2.55E-04	NM_022315	Mus musculus SPARC related modular calcium binding 2 (Smoc2), mRNA [NM_022315]
A_51_P213045	0.043	9.46E-03	NM_022315	Mus musculus SPARC related modular calcium binding 2 (Smoc2), mRNA [NM_022315]
A_51_P356186	9.701	1.35E-02	NM_013914	Mus musculus snail homolog 3 (Drosophila) (Snai3), mRNA [NM_013914]
A_51_P305547	0.021	4.03E-07	NM_011415	Mus musculus snail homolog 2 (Drosophila) (Snai2), mRNA [NM_011415]
