Print Order	symbol	id	gene
8288	AARS	AA156571	alanyl-tRNA synthetase
9892	BRCA2	H48122	breast cancer 2, early onset
467	CD3D	AA055946	CD3D antigen, delta polypeptide (TiT3 complex)
3506	CKTSF1B1	AI041650	cysteine knot superfamily 1, BMP antagonist 1
8433	DHRS4	DHRS4	dehydrogenase/reductase (SDR family) member 4
9011	GALK1	AI015566	galactokinase 1
8159	GMFB	H22653	glia maturation factor, beta
6652	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
3990	HPN	H62163	hepsin (transmembrane protease, serine 1)
9153	HSP105B	AA485151	heat shock 105kD
8516	HSPE1	AA448396	heat shock 10kD protein 1 (chaperonin 10)
10331	Kifap3	AI090702	smg GDS-ASSOCIATED PROTEIN
9080	LTBR	AA454646	lymphotoxin beta receptor (TNFR superfamily, member 3
6237	MAD2L1	AA481076	MAD2 (mitotic arrest deficient, yeast, homolog)-like 1
7234	NGB	H94877	G protein-binding protein CRFG
2638	NRG1	H24357	neuregulin 1
2060	SLC9A3	N95578	Homo sapiens mRNA; cDNA DKFZp434D0818 (from clone DKFZp434D0818)
1687	TAL1	T51236	T-cell acute lymphocytic leukemia 1
2012	TIMP2	AA486280	tissue inhibitor of metalloproteinase 2
7680	YWHAQ	AA633997	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
1668	ZNF217	ZNF217	zinc finger protein 217
1938	ZNF217	ZNF217	zinc finger protein 217
