UNIQID	Gene Symbol	Chromosome Map	Gene Description
202478_at	TRIB2	chr2p24	tribbles homolog 2 (Drosophila)
201466_s_at	JUN	chr1p32	v-jun sarcoma virus 17 oncogene homolog (avian)
201041_s_at	DUSP1	chr5q34	dual specificity phosphatase 1
201694_s_at	EGR1	chr5q31	early growth response 1
209189_at	FOS	chr14q24	v-fos FBJ murine osteosarcoma viral oncogene homol
202988_s_at	RGS1	chr1q31	regulator of G-protein signalling 1
221841_s_at	KLF4	chr9q31	Kruppel-like factor 4 (gut)
204351_at	S100P	chr4p16	S100 calcium binding protein P
202241_at	TRIB1	chr8q24	tribbles homolog 1 (Drosophila)
204875_s_at	GMDS	chr6p25	GDP-mannose 46-dehydratase
208621_s_at	VIL2	chr6q25	villin 2 (ezrin)
203642_s_at	COBLL1	chr2q24	COBL-like 1
202193_at	LIMK2	chr22q12	LIM domain kinase 2
36711_at	MAFF	chr22q13	v-maf musculoaponeurotic fibrosarcoma oncogene hom
205110_s_at	FGF13	chrxq26	fibroblast growth factor 13
202934_at	HK2	chr2p13	hexokinase 2
209498_at	CEACAM1	chr19q13	carcinoembryonic antigen-related cell adhesion mol
205596_s_at	SMURF2	chr17q22	SMAD specific E3 ubiquitin protein ligase 2
205934_at	PLCL1	chr2q33	phospholipase C-like 1
203241_at	UVRAG	chr11q13	UV radiation resistance associated gene
203620_s_at	FCHSD2	chr11q13	FCH and double SH3 domains 2
204222_s_at	GLIPR1	chr12q21	GLI pathogenesis-related 1 (glioma)
214085_x_at	HRB2	chr12q21	HIV-1 rev binding protein 2
210305_at	PDE4DIP	chr1q12	phosphodiesterase 4D interacting protein (myomegal
219857_at	C10orf81	chr10q25	chromosome 10 open reading frame 81
208962_s_at	FADS1	chr11q12	fatty acid desaturase 1
204567_s_at	ABCG1	chr21q22	ATP-binding cassette sub-family G (WHITE) member
203910_at	PARG1	chr1p22	PTPL1-associated RhoGAP 1
204860_s_at	BIRC1	chr5q13	baculoviral IAP repeat-containing 1
205401_at	AGPS	chr2q31	alkylglycerone phosphate synthase
209267_s_at	SLC39A8	chr4q22	solute carrier family 39 (zinc transporter) membe
219974_x_at	ECHDC1	chr6q22	enoyl Coenzyme A hydratase domain containing 1
218572_at	C14orf123	chr14q11	chromosome 14 open reading frame 123
202855_s_at	SLC16A3	chr17q25	solute carrier family 16 (monocarboxylic acid tran
206247_at	MICB	chr6p21	MHC class I polypeptide-related sequence B
201785_at	RNASE1	chr14q11	ribonuclease RNase A family 1 (pancreatic)
201666_at	TIMP1	chrxp11	tissue inhibitor of metalloproteinase 1 (erythroid
203649_s_at	PLA2G2A	chr1p35	phospholipase A2 group IIA (platelets synovial f
203936_s_at	MMP9	chr20q11	matrix metalloproteinase 9 (gelatinase B 92kDa ge
204638_at	ACP5	chr19p13	acid phosphatase 5 tartrate resistant
202832_at	GCC2	chr2q12	GRIP and coiled-coil domain containing 2
211429_s_at	SERPINA1	chr14q32	serine (or cysteine) proteinase inhibitor clade A
209276_s_at	GLRX	chr5q14	glutaredoxin (thioltransferase)
202295_s_at	CTSH	chr15q24	cathepsin H
202145_at	LY6E	chr8q24	lymphocyte antigen 6 complex locus E
200923_at	LGALS3BP	chr17q25	lectin galactoside-binding soluble 3 binding pr
202862_at	FAH	chr15q23	fumarylacetoacetate hydrolase (fumarylacetoacetase
201649_at	UBE2L6	chr11q12	ubiquitin-conjugating enzyme E2L 6
201641_at	BST2	chr19p13	bone marrow stromal cell antigen 2
203882_at	ISGF3G	chr14q11	interferon-stimulated transcription factor 3 gamm
209762_x_at	SP110	chr2q37	SP110 nuclear body protein
203595_s_at	IFIT5	chr10q23	interferon-induced protein with tetratricopeptide
202411_at	IFI27	chr14q32	interferon alpha-inducible protein 27
202868_s_at	POP4	chr19q12	processing of precursor 4 ribonuclease P/MRP subu
205660_at	OASL	chr12q24	2-5-oligoadenylate synthetase-like
204972_at	OAS2	chr12q24	2-5-oligoadenylate synthetase 2 69/71kDa
203153_at	IFIT1	chr10q25	interferon-induced protein with tetratricopeptide
204415_at	G1P3	chr1p35	interferon alpha-inducible protein (clone IFI-6-1
205552_s_at	OAS1	chr12q24	25-oligoadenylate synthetase 1 40/46kDa
204747_at	IFIT3	chr10q24	interferon-induced protein with tetratricopeptide
202086_at	MX1	chr21q22	myxovirus (influenza virus) resistance 1 interfer
205483_s_at	G1P2	chr1p36	interferon alpha-inducible protein (clone IFI-15K
206133_at	HSXIAPAF1	chr17p13	XIAP associated factor-1
204439_at	C1orf29	chr1p31	chromosome 1 open reading frame 29
214453_s_at	IFI44	chr1p31	interferon-induced protein 44
219863_at	HERC5	chr4q22	hect domain and RLD 5
213797_at	cig5	chr2p25	viperin
219352_at	HERC6	chr4q22	hect domain and RLD 6
218400_at	OAS3	chr12q24	2-5-oligoadenylate synthetase 3 100kDa
219211_at	USP18	chr22q11	ubiquitin specific protease 18
209417_s_at	IFI35	chr17q21	interferon-induced protein 35
214022_s_at	IFITM1	chr11p15	interferon induced transmembrane protein 1 (9-27)
218986_s_at	FLJ20035	chr4q32	hypothetical protein FLJ20035
204994_at	MX2	chr21q22	myxovirus (influenza virus) resistance 2 (mouse)
202446_s_at	PLSCR1	chr3q23	phospholipid scramblase 1
219209_at	IFIH1	chr2p24	interferon induced with helicase C domain 1
218543_s_at	ZC3HDC1	chr7q34	zinc finger CCCH type domain containing 1
218943_s_at	DDX58	chr9p12	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
208436_s_at	IRF7	chr11p15	interferon regulatory factor 7
219684_at	IFRG28	chr3q27	28kD interferon responsive protein
202837_at	FLN29	chr12q	FLN29 gene product
210042_s_at	CTSZ	chr20q13	cathepsin Z
202656_s_at	SERTAD2	chr2p14	SERTA domain containing 2
210136_at	MBP	chr18q23	Myelin basic protein
212875_s_at	C21orf25	chr21q22	chromosome 21 open reading frame 25
204698_at	ISG20	chr15q26	interferon stimulated gene 20kDa
201272_at	AKR1B1	chr7q35	aldo-keto reductase family 1 member B1 (aldose re
203964_at	NMI	chr2p24	N-myc (and STAT) interactor
203028_s_at	CYBA	chr16q24	cytochrome b-245 alpha polypeptide
218699_at	RAB7L1	chr1q32	RAB7 member RAS oncogene family-like 1
201141_at	GPNMB	chr7p15	glycoprotein (transmembrane) nmb
203381_s_at	APOE	chr19q13	apolipoprotein E
204416_x_at	APOC1	chr19q13	apolipoprotein C-I
212737_at	GM2A	chr5q31	GM2 ganglioside activator
203186_s_at	S100A4	chr1q21	S100 calcium binding protein A4 (calcium protein
203729_at	EMP3	chr19q13	epithelial membrane protein 3
204446_s_at	ALOX5	chr10q11	arachidonate 5-lipoxygenase
205786_s_at	ITGAM	chr16p11	integrin alpha M (complement component receptor 3
204438_at	MRC1	chr10p13	mannose receptor C type 1
201670_s_at	MARCKS	chr6q22	myristoylated alanine-rich protein kinase C substr
201739_at	SGK	chr6q23	serum/glucocorticoid regulated kinase
202693_s_at	STK17A	chr7p12	serine/threonine kinase 17a (apoptosis-inducing)
211676_s_at	IFNGR1	chr6q23	interferon gamma receptor 1
218217_at	SCPEP1	chr17q23	serine carboxypeptidase 1
213988_s_at	SAT	chrxp22	spermidine/spermine N1-acetyltransferase
205992_s_at	IL15	chr4q31	interleukin 15
202499_s_at	SLC2A3	chr12p13	solute carrier family 2 (facilitated glucose trans
203185_at	RASSF2	chr20pter	Ras association (RalGDS/AF-6) domain family 2
208018_s_at	HCK	chr20q11	hemopoietic cell kinase
202659_at	PSMB10	chr16q22	proteasome (prosome macropain) subunit beta type
201042_at	TGM2	chr20q12	transglutaminase 2 (C polypeptide protein-glutami
205404_at	HSD11B1	chr1q32	hydroxysteroid (11-beta) dehydrogenase 1
202156_s_at	CUGBP2	chr10p13	CUG triplet repeat RNA binding protein 2
2028_s_at	E2F1	chr20q11	E2F transcription factor 1
204897_at	PTGER4	chr5p13	prostaglandin E receptor 4 (subtype EP4)
205668_at	LY75	chr2q24	lymphocyte antigen 75
200904_at	HLA-E	chr6p21	major histocompatibility complex class I E
203104_at	CSF1R	chr5q33	colony stimulating factor 1 receptor formerly McD
205997_at	ADAM28	chr8p21	a disintegrin and metalloproteinase domain 28
206295_at	IL18	chr11q22	interleukin 18 (interferon-gamma-inducing factor)
204646_at	DPYD	chr1p22	dihydropyrimidine dehydrogenase
203741_s_at	ADCY7	chr16q12	adenylate cyclase 7
206584_at	LY96	chr8q21	lymphocyte antigen 96
203603_s_at	ZFHX1B	chr2q22	zinc finger homeobox 1b
202686_s_at	AXL	chr19q13	AXL receptor tyrosine kinase
201278_at	DAB2	chr5p13	Disabled homolog 2 mitogen-responsive phosphoprot
209732_at	CLECSF2	chr12p13	C-type (calcium dependent carbohydrate-recognitio
213241_at	PLXNC1	chr12q23	Plexin C1
204774_at	EVI2A	chr17q11	ecotropic viral integration site 2A
202664_at	WASPIP	chr2q31	Wiskott-Aldrich syndrome protein interacting prote
204236_at	FLI1	chr11q24	Friend leukemia virus integration 1
212414_s_at	6-Sep	chrxq24	septin 6
210105_s_at	FYN	chr6q21	FYN oncogene related to SRC FGR YES
200986_at	SERPING1	chr11q12	serine (or cysteine) proteinase inhibitor clade G
213800_at	CFH	chr1q32	complement factor H
215388_s_at	CFHL1	chr1q32	complement factor H-related 1
212646_at	RAFTLIN	chr3p25	raft-linking protein
206332_s_at	IFI16	chr1q22	interferon gamma-inducible protein 16
212192_at	KCTD12	chr13q22	potassium channel tetramerisation domain containin
213293_s_at	TRIM22	chr11p15	tripartite motif-containing 22
209723_at	SERPINB9	chr6p25	serine (or cysteine) proteinase inhibitor clade B
209199_s_at	MEF2C	chr5q14	MADS box transcription enhancer factor 2 polypept
220005_at	P2RY13	chr3q24	purinergic receptor P2Y G-protein coupled 13
202207_at	ARL7	chr2q37	ADP-ribosylation factor-like 7
218854_at	SART2	chr6q22	squamous cell carcinoma antigen recognized by T ce
204858_s_at	ECGF1	chr22q13	endothelial cell growth factor 1 (platelet-derived
204198_s_at	RUNX3	chr1p36	runt-related transcription factor 3
206513_at	AIM2	chr1q22	absent in melanoma 2
205098_at	CCR1	chr3p21	chemokine (C-C motif) receptor 1
202087_s_at	CTSL	chr9q21	cathepsin L
201212_at	LGMN	chr14q32	legumain
221210_s_at	NPL	chr1q25	N-acetylneuraminate pyruvate lyase (dihydrodipicol
209949_at	NCF2	chr1q25	neutrophil cytosolic factor 2 (65kDa chronic gran
204122_at	TYROBP	chr19q13	TYRO protein tyrosine kinase binding protein
201743_at	CD14	chr5q31	CD14 antigen
203561_at	FCGR2A	chr1q23	Fc fragment of IgG low affinity IIa receptor for
204787_at	VSIG4	chrxq12	V-set and immunoglobulin domain containing 4
210889_s_at	FCGR2B	chr1q23	Fc fragment of IgG low affinity IIb receptor for
210176_at	TLR1	chr4p14	toll-like receptor 1
214511_x_at	LOC440607	chr1	Fc-gamma receptor I B2
216950_s_at	FCGR1A	chr1q21	Fc fragment of IgG high affinity Ia receptor for
205568_at	AQP9	chr15q22	aquaporin 9
206214_at	PLA2G7	chr6p21	phospholipase A2 group VII (platelet-activating f
202626_s_at	LYN	chr8q13	v-yes-1 Yamaguchi sarcoma viral related oncogene h
202638_s_at	ICAM1	chr19p13	intercellular adhesion molecule 1 (CD54) human rh
204924_at	TLR2	chr4q32	toll-like receptor 2
201487_at	CTSC	chr11q14	cathepsin C
221698_s_at	CLECSF12	chr12p13	C-type (calcium dependent carbohydrate-recognitio
205819_at	MARCO	chr2q12	macrophage receptor with collagenous structure
204430_s_at	SLC2A5	chr1p36	solute carrier family 2 (facilitated glucose/fruct
215223_s_at	SOD2	chr6q25	superoxide dismutase 2 mitochondrial
204580_at	MMP12	chr11q22	matrix metalloproteinase 12 (macrophage elastase)
32128_at	CCL18	chr17q11	chemokine (C-C motif) ligand 18 (pulmonary and act
