Affy probe ID	Gene name	GenBank Accession Number	Result
213415_at	Chloride intracellular channel 2	AI768628	Overexpressed genes in patients who developed a recurrence
220442_at	UDP-N-acetyl-alpha-D-galactosamine	NM_003774	Overexpressed genes in patients who developed a recurrence
207080_s_at	Peptide YY	NM_004160	Overexpressed genes in patients who developed a recurrence
205997_at	A disintegrin and metalloproteinase domain 28	NM_021778	Overexpressed genes in patients who developed a recurrence
204697_s_at	Chromogranin A (parathyroid secretory protein 1)	NM_001275	Overexpressed genes in patients who developed a recurrence
202889_x_at	Microtubule-associated protein 7	T62571	Overexpressed genes in patients who developed a recurrence
206121_at	Adenosine monophosphate deaminase 1 (isoform M)	NM_000036	Overexpressed genes in patients who developed a recurrence
220622_at	Hypothetical protein FLJ23259	NM_024727	Overexpressed genes in patients who developed a recurrence
209541_at	Insulin-like growth factor 1 (somatomedin C)	AI972496	Overexpressed genes in patients who developed a recurrence
204674_at	Lymphoid-restricted membrane protein	NM_006152	Overexpressed genes in patients who developed a recurrence
204781_s_at	Tumor necrosis factor receptor superfamily, member 6	NM_000043	Overexpressed genes in patients who developed a recurrence
206631_at	Prostaglandin E receptor 2 (subtype EP2), 53 kDa	NM_000956	Overexpressed genes in patients who developed a recurrence
202742_s_at	Protein kinase, cAMP-dependent, catalytic, beta	NM_002731	Overexpressed genes in patients who developed a recurrence
212652_s_at	Sorting nexin 4	AA524345	Overexpressed genes in patients who developed a recurrence
204207_s_at	RNA guanylyltransferase and 5-phosphatase	AB012142	Overexpressed genes in patients who developed a recurrence
219747_at	Hypothetical protein FLJ23191	NM_024574	Overexpressed genes in patients who developed a recurrence
211372_s_at	Interleukin 1 receptor, type II	U64094	Overexpressed genes in patients who developed a recurrence
217251_x_at		AF043583	Overexpressed genes in patients who developed a recurrence
208284_x_at	Gamma-glutamyltransferase 1	NM_013421	Overexpressed genes in patients who developed a recurrence
201988_s_at	cAMP responsive element binding protein-like 2	BF438056	Overexpressed genes in patients who developed a recurrence
210544_s_at	Aldehyde dehydrogenase 3 family, member A2	BC002430	Overexpressed genes in patients who developed a recurrence
201196_s_at	Adenosylmethionine decarboxylase 1	M21154	Overexpressed genes in patients who developed a recurrence
210767_at	Neurofibromin 2 (bilateral acoustic neuroma)	BC003112	Overexpressed genes in patients who developed a recurrence
206422_at	Glucagon	NM_002054	Overexpressed genes in patients who developed a recurrence
218374_s_at	Chromosome 12 open reading frame 4	NM_020374	Overexpressed genes in patients who developed a recurrence
203176_s_at	Transcription factor A, mitochondrial	BE552470	Overexpressed genes in patients who developed a recurrence
219036_at	p10-binding protein	NM_024491	Overexpressed genes in patients who developed a recurrence
201805_at	Protein kinase, AMP-activated, gamma 1 non-catalytic subunit	NM_002733	Overexpressed genes in patients who developed a recurrence
205624_at	Carboxypeptidase A3 (mast cell)	NM_001870	Overexpressed genes in patients who developed a recurrence
202501_at	Microtubule-associated protein, RP/EB family, member 2	NM_014268	Overexpressed genes in patients who developed a recurrence
201768_s_at	enthoprotin	BC004467	Overexpressed genes in patients who developed a recurrence
208870_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	BC000931	Overexpressed genes in patients who developed a recurrence
202746_at	Integral membrane protein 2A	AL021786	Overexpressed genes in patients who developed a recurrence
210951_x_at	RAB27A, member RAS oncogene family	AF125393	Overexpressed genes in patients who developed a recurrence
209515_s_at	RAB27A, member RAS oncogene family	U38654	Overexpressed genes in patients who developed a recurrence
