ID	SYMBOL	DESCRIPTION	UNIGENE (189)	IMAGE ID	GENBANK	Fold Change	localfdr(%)
HSI022G08	LUM	Lumican	Hs.406475	141559	BX118443	2.87	0.11
HSI101E05	ODF2L	Outer dense fiber of sperm tails 2-like	Hs.149360	1986218	BX092043	2.80	0.07
HSI027H04	IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	Hs.381568	161023	BX119629	2.73	0.07
HSI082D05	RNH1	Ribonuclease/angiogenin inhibitor 1	Hs.530687	897565	BX108436	2.51	0.00
HSI056B04	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	Hs.443625	307196	BX092496	2.50	0.00
HSI182D05	MRC1L1	Mannose receptor, C type 1	Hs.461247	48886	H16389	2.45	0.06
HSI067F08	C21orf70	Chromosome 21 open reading frame 70	Hs.410830	485143	BX106951	2.44	0.00
HSI127E04	CALD1	Caldesmon 1	Hs.490203	143246	BX113687	2.37	0.11
HSI030C06	PTPRC	Protein tyrosine phosphatase, receptor type, C	Hs.192039	46644	CR741806	2.36	0.11
HSI067H02	ASPN	Asporin (LRR class 1)	Hs.435655	485070	BX104662	2.34	0.00
HSI066B08	COL14A1	Collagen, type XIV, alpha 1 (undulin)	Hs.409662	429561	BX102572	2.28	0.11
HSI049B12	COL1A2	Collagen, type I, alpha 2	Hs.489142	271448	BX095546	2.28	0.00
HSI049G07	DCN	Decorin	Hs.156316	274397	BX089624	2.28	0.00
HSI067E05	MRC1L1	Mannose receptor, C type 1	Hs.461247	486598	BX114787	2.22	0.05
HSI101D05	IFT122	Intraflagellar transport 122 homolog (Chlamydomonas)	Hs.477537	1964512	BX118667	2.17	0.03
HSI183E05	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	Hs.74615	52096	H23235	2.14	0.09
HSI031A12	FSTL1	Follistatin-like 1	Hs.269512	48303	BX111281	2.12	0.00
HSI183H01	COL5A2	Collagen, type V, alpha 2	Hs.445827	796613	AA461456	2.11	0.00
HSI055A11	ECM2	Extracellular matrix protein 2, female organ and adipocyte specific	Hs.117060	300323	BX103012	2.08	0.09
HSI018G02	SPON1	Spondin 1, extracellular matrix protein	Hs.445818	42480	BX118037	2.06	0.00
HSI183B01	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	Hs.74615	52096	H23235	2.04	0.01
HSI037C02	CPVL	Carboxypeptidase, vitellogenic-like	Hs.233389	195336	BX089502	2.03	0.06
HSI062B08	SAS10	Disrupter of silencing 10	Hs.322901	345379	BX095264	2.01	0.00
HSI129E10	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	Hs.386283	150855	BX098286	2.00	0.00
HSI183G08	RGS1	Regulator of G-protein signalling 1	Hs.75256	361323	AA017544	1.98	0.18
HSI054F01	VIM	Vimentin	Hs.533317	298677	BX111296	1.97	0.00
HSI048C08	CTGF	Connective tissue growth factor	Hs.410037	267256	BX118949	1.97	0.00
HSI183G05	SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	Hs.111779	250654	H95960	1.96	0.00
HSI139G09	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif, 2	Hs.23871	204522	BX109323	1.96	0.00
HSI018D05	FBLN1	Fibulin 1	Hs.24601	130212	BX112601	1.95	0.00
HSI040E08	DUSP1	Dual specificity phosphatase 1	Hs.171695	210429	BX107375	1.95	0.00
HSI082C05	MAN1A1	Mannosidase, alpha, class 1A, member 1	Hs.102788	823688	BX102630	1.94	0.01
HSI098G12	RARRES1	Retinoic acid receptor responder (tazarotene induced) 1	Hs.131269	309583	BX114865	1.94	0.00
HSI044C09	SAT	Spermidine/spermine N1-acetyltransferase	Hs.28491	241123	BX098824	1.92	0.09
HSI030F05	HTRA1	HtrA serine peptidase 1	Hs.501280	45354	BX119431	1.92	0.00
HSI088D11	CILP	Cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	Hs.442180	1691650	BX110257	1.91	0.00
HSI040E09	MME	Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	Hs.307734	209758	BX118973	1.91	0.00
HSI028G12	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	Hs.74615	43817	BX111508	1.89	0.00
HSI060C05	FN1	Fibronectin 1	Hs.203717	340913	BX094184	1.89	0.00
HSI045G12	CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Hs.522891	245959	BX113123	1.88	0.00
HSI065C01	ZFP36L2	Zinc finger protein 36, C3H type-like 2	Hs.503093	418172	BX117763	1.88	0.04
HSI131G11	EST	Transcribed locus	Hs.538782	1612797	BX115656	1.87	0.00
HSI074A06	FNDC1	Fibronectin type III domain containing 1	Hs.520525	754126	BX099512	1.86	0.00
HSI135A09	TMSB4X	Thymosin, beta 4, X-linked	Hs.522584	173784	BX098216	1.86	0.00
HSI159F07	FYB	FYN binding protein (FYB-120/130)	Hs.370503	358620	BX095265	1.86	0.07
HSI112C11	EST	Transcribed locus	Hs.12257	23041	BX094031	1.85	0.00
HSI043A02	F13A1	Coagulation factor XIII, A1 polypeptide	Hs.335513	229942	BX106084	1.85	0.00
HSI011E06	GEM	GTP binding protein overexpressed in skeletal muscle	Hs.345139	27899	BX089578	1.85	0.08
HSI038E11	CAV1	Caveolin 1, caveolae protein, 22kDa	Hs.74034	200862	CR740338	1.84	0.00
HSI048F10	THBS2	Thrombospondin 2	Hs.371147	267065	BX114562	1.84	0.00
HSI142G02	PIP5K2A	Phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	Hs.57079	214805	BX116459	1.82	0.06
HSI021B08	PDK4	Pyruvate dehydrogenase kinase, isozyme 4	Hs.8364	138352	BX095607	1.82	0.00
HSI040E07	MS4A6A	Membrane-spanning 4-domains, subfamily A, member 6A	Hs.523702	210498	BX104965	1.81	0.00
HSI036F01	COL6A3	Collagen, type VI, alpha 3	Hs.233240	193084	BX093332	1.81	0.00
HSI043E12	HLA-DRA	Major histocompatibility complex, class II, DR alpha	Hs.520048	233265	BX108985	1.81	0.00
HSI058D12	IQGAP2	IQ motif containing GTPase activating protein 2	Hs.291030	321386	BX110936	1.80	0.00
HSI042E05	HLA-E	Major histocompatibility complex, class I, E	Hs.381008	220196	BX116808	1.80	0.00
HSI082A07	GGTA1	Glycoprotein, alpha-galactosyltransferase 1	Hs.97469	823690	BX101112	1.79	0.00
HSI037C07	SGK	Serum/glucocorticoid regulated kinase	Hs.510078	194514	BX114864	1.79	0.07
HSI009G08	FOS	V-fos FBJ murine osteosarcoma viral oncogene homolog	Hs.25647	26474	BX091171	1.79	0.58
HSI025E01	CSF2RB	Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	Hs.285401	152102	BX107310	1.79	0.00
HSI048C05	SRPX	Sushi-repeat-containing protein, X-linked	Hs.15154	267625	BX115010	1.77	0.00
HSI055C08	C1R	Complement component 1, r subcomponent	Hs.524224	299611	BX098523	1.77	0.00
HSI038F09	IRF8	Interferon regulatory factor 8	Hs.137427	202380	BX118896	1.76	0.00
HSI010H04	SPARCL1	SPARC-like 1 (mast9, hevin)	Hs.62886	27956	BX112537	1.76	0.00
HSI055C06	CPA3	Carboxypeptidase A3 (mast cell)	Hs.646	301962	BX105358	1.76	0.00
HSI027E10	CFI	Complement factor I	Hs.312485	160600	BX109425	1.76	0.00
HSI074F07	CXCL13	Chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	Hs.100431	753794	BX089511	1.76	0.00
HSI172G02	EST	Transcribed locus	Hs.439064	1573913	BX108139	1.75	0.00
HSI131A04	CYP4Z1	Cytochrome P450 4Z1	Hs.176588	161526	BX094680	1.74	0.99
HSI148B02	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	Hs.528305	247149	BX093380	1.74	0.00
HSI098A08	CLEC2B	C-type lectin domain family 2, member B	Hs.85201	47481	BX119769	1.74	0.00
HSI158G07	LOC338328	High density lipoprotein-binding protein	Hs.426410	345635	BX107932	1.73	0.08
HSI024E06	CTSC	Cathepsin C	Hs.128065	149370	BX096068	1.73	0.00
HSI077D04	LCP1	Lymphocyte cytosolic protein 1 (L-plastin)	Hs.381099	770078	BX094571	1.72	0.00
HSI137G07	EST	Transcribed locus	Hs.570772	1618456	BX101321	1.72	0.00
HSI027G04	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	Hs.207459	161471	BX097294	1.71	0.11
HSI133B01	TCF4	Transcription factor 4	Hs.200285	50994	BX096946	1.70	0.01
HSI182C05	ATF3	Activating transcription factor 3	Hs.460	51448	H21042	1.70	0.00
HSI061G02	SFN	Stratifin	Hs.523718	346610	BX109990	1.69	0.00
HSI023A12	MBNL1	Muscleblind-like (Drosophila)	Hs.478000	143171	BX107170	1.69	0.09
HSI141F05	C10orf56	Chromosome 10 open reading frame 56	Hs.523080	210588	BX104602	1.69	0.00
HSI031E06	DOCK11	Dedicator of cytokinesis 11	Hs.368203	49499	BX102345	1.69	0.04
HSI077B07	OLFML2B	Olfactomedin-like 2B	Hs.507515	773477	AA427898	1.68	0.00
HSI038E10	CD53	CD53 antigen	Hs.443057	201570	BX117664	1.68	0.00
HSI133G07	ATP9B	ATPase, Class II, type 9B	Hs.465475	50973	H17238	1.68	0.00
HSI133G04	DKFZP564J0863	DKFZP564J0863 protein	Hs.356719	50647	BX112516	1.67	0.00
HSI133E03	EST	Transcribed locus	Hs.517821	47508	BX100141	1.67	0.00
HSI074G11	CTHRC1	Collagen triple helix repeat containing 1	Hs.405614	753428	BX114800	1.67	0.00
HSI039F01	LOX	Lysyl oxidase	Hs.102267	204377	BX097300	1.67	0.00
HSI089A06	CD2	CD2 antigen (p50), sheep red blood cell receptor	Hs.523500	1709513	BX100790	1.67	0.00
HSI183E03	RASA1	RAS p21 protein activator (GTPase activating protein) 1	Hs.553501	309970	N99098	1.66	0.00
HSI087F09	EST	Transcribed locus	Hs.459132	1644852	CR743991	1.66	0.10
HSI015G11	AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	Hs.521212	39672	BX118799	1.65	0.09
HSI134G11	TGOLN2	Trans-golgi network protein 2	Hs.14894	172503	BX095311	1.65	0.00
HSI077A08	CCL18	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	Hs.143961	768497	BX116770	1.65	0.00
HSI067G09	EDNRA	Endothelin receptor type A	Hs.183713	487341	BX109539	1.65	0.00
HSI020E01	PAM	Peptidylglycine alpha-amidating monooxygenase	Hs.369430	136657	BX092970	1.65	0.00
HSI159D03	EST	Transcribed locus	Hs.22380	346915	BX093171	1.65	0.00
HSI131B05	ARID5B	AT rich interactive domain 5B (MRF1-like)	Hs.535297	160655	BX105043	1.64	0.00
HSI041D10	C5orf13	Chromosome 5 open reading frame 13	Hs.483067	212713	BX117501	1.64	0.00
HSI006D10	SEC31L2	SEC31-like 2 (S. cerevisiae)	Hs.18889	123037	BX107827	1.64	0.00
HSI158G06	MCF2L	MCF.2 cell line derived transforming sequence-like	Hs.170422	346682	BX111900	1.64	0.00
HSI149A01	EST	Transcribed locus	Hs.28625	258815	BX110180	1.64	0.00
HSI029C01	CD93	CD93 antigen	Hs.97199	162619	BX118203	1.64	0.00
HSI111H05	LOC157503	Hypothetical protein LOC157503	Hs.103535	53332	BX097235	1.63	0.00
HSI169G06	LOC389702	Hypothetical LOC389702	Hs.122239	1391461	BX089094	1.63	0.00
HSI048C07	MYO5A	Myosin VA (heavy polypeptide 12, myoxin)	Hs.21213	265703	BX089798	1.63	0.00
HSI181E05	SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	Hs.111779	1073182	AA576530	1.63	0.00
HSI149A09	IPO8	Importin 8	Hs.505136	264921	BX092121	1.63	0.08
HSI098E04	CYYR1	Cysteine/tyrosine-rich 1	Hs.37445	162308	CR742942	1.63	0.00
HSI099B07	LAMP1	Lysosomal-associated membrane protein 1	Hs.494419	1703400	BX101642	1.63	0.00
HSI095G06	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	Hs.897	2314294	BX110472	1.63	0.00
HSI046G09	NDRG1	N-myc downstream regulated gene 1	Hs.372914	249745	BX112067	1.63	0.00
HSI066B09	GZMK	Granzyme K (granzyme 3; tryptase II)	Hs.277937	428412	BX091409	1.63	0.00
HSI099B05	LAMP1	Lysosomal-associated membrane protein 1	Hs.494419	1703400	BX101642	1.62	0.00
HSI027B10	FUCA1	Fucosidase, alpha-L- 1, tissue	Hs.370858	159308	BX109121	1.62	0.00
HSI029A11	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	Hs.567295	43783	BX090259	1.62	0.00
HSI157D11	MYO15B	Myosin XVB pseudogene	Hs.390817	309113	BX110524	1.62	0.00
HSI183B03	SERPINE2	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	Hs.38449	246722	N59721	1.62	0.00
HSI182E04	DPYSL2	Dihydropyrimidinase-like 2	Hs.173381	841620	AA487460	1.62	0.00
HSI134D11	C10orf38	Chromosome 10 open reading frame 38	Hs.66762	171994	BX114941	1.62	0.00
HSI026F08	FLJ22662	Hypothetical protein FLJ22662	Hs.131933	151871	BX116782	1.61	0.04
HSI006B01	TNRC9	Trinucleotide repeat containing 9	Hs.460789	121392	BX098323	1.61	0.00
HSI003A10	ANGPTL2	Angiopoietin-like 2	Hs.521731	23782	BX096994	1.61	0.00
HSI183E04	SERPINE2	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	Hs.38449	246722	N59721	1.60	0.00
HSI036F11	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5	Hs.123464	196488	BX097414	1.60	0.00
HSI181A12	GUCY1A3	Guanylate cyclase 1, soluble, alpha 3	Hs.24258	51011	H19242	1.59	0.00
HSI152B01	COL8A1	Collagen, type VIII, alpha 1	Hs.134830	278753	BX096100	1.59	0.00
HSI028E06	VCAM1	Vascular cell adhesion molecule 1	Hs.109225	44477	BX114074	1.59	0.00
HSI138G11	HLA-DOA	Major histocompatibility complex, class II, DO alpha	Hs.351874	200842	BX108461	1.59	0.00
HSI120H08	HEG1	HEG homolog 1 (zebrafish)	Hs.477420	25297	BX114775	1.59	0.00
HSI043A09	LGMN	Legumain	Hs.18069	234908	BX099400	1.59	0.00
HSI164D03	EST	Transcribed locus	Hs.188825	755800	BX109592	1.59	0.00
HSI123E06	EST	Transcribed locus	Hs.155736	40842	BX095438	1.59	0.00
HSI004D07	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	Hs.76224	111647	BX098995	1.58	0.76
HSI079B06	CD83	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	Hs.484703	784706	BX097216	1.58	0.08
HSI008E07	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	Hs.116471	127515	BX100874	1.58	0.00
HSI035A02	HEPH	Hephaestin	Hs.31720	179109	BX110441	1.58	0.00
HSI054F09	RCBTB2	Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	Hs.25447	299953	BX105551	1.58	0.10
HSI076D06	C7	Complement component 7	Hs.78065	757712	BX092393	1.58	0.00
HSI001A06	RGS2	Regulator of G-protein signalling 2, 24kDa	Hs.78944	21531	BX114059	1.57	0.00
HSI024C11	SOCS2	Suppressor of cytokine signaling 2	Hs.485572	148571	BX106270	1.57	0.00
HSI158A01	LRRC37A	Leucine rich repeat containing 37A	Hs.565013	344068	BX102203	1.57	0.00
HSI123D12	LOC389203	Hypothetical gene supported by BC032431	Hs.479386	40337	BX091175	1.57	0.00
HSI115F12	DNAPTP6	DNA polymerase-transactivated protein 6	Hs.120323	121133	BX114333	1.57	0.00
HSI078D06	C6orf192	Chromosome 6 open reading frame 192	Hs.347144	785469	BX096198	1.57	0.04
HSI057D09	ITGB1	Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	Hs.429052	309944	BX095689	1.57	0.00
HSI149C09	SLC6A15	Solute carrier family 6, member 15	Hs.44424	258404	BX090617	1.56	0.00
HSI131F10	SSPN	Sarcospan (Kras oncogene-associated gene)	Hs.183428	44070	BX091176	1.56	0.09
HSI150F06	EST	Transcribed locus	Hs.586314	272587	BX107346	1.56	0.00
HSI023D11	TBC1D9	TBC1 domain family, member 9	Hs.480819	145386	BX110497	1.56	0.00
HSI022A01	LIMA1	LIM domain and actin binding 1	Hs.525419	139718	BX100978	1.56	0.11
HSI116H02	SLC36A1	Solute carrier family 36 (proton/amino acid symporter), member 1	Hs.269004	122349	BX114440	1.56	0.00
HSI112B10	ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	Hs.435052	23877	BX089396	1.56	0.00
HSI131A10	SYNPO2	Synaptopodin 2	Hs.480615	156465	BX105983	1.56	0.10
HSI045E10	PPAP2B	Phosphatidic acid phosphatase type 2B	Hs.405156	247806	BX118644	1.56	0.00
HSI123A10	EST	Transcribed locus	Hs.434957	39302	BX091925	1.56	0.00
HSI021D08	IFNGR1	Interferon gamma receptor 1	Hs.520414	136478	BX114443	1.56	0.06
HSI164A11	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9	Hs.559387	754163	BX094698	1.56	0.00
HSI051A10	GOLGA8A	Golgi autoantigen, golgin subfamily a, 8A	Hs.182982	278660	BX094148	1.56	0.00
HSI156H01	RAB6B	RAB6B, member RAS oncogene family	Hs.12152	306198	BX103999	1.56	0.00
HSI132B02	PDLIM5	PDZ and LIM domain 5	Hs.480311	44445	BX104784	1.55	0.00
HSI149E12	LOC286170	Hypothetical protein LOC286170	Hs.573444	260208	BX096052	1.55	0.00
HSI116G09	RBPMS	RNA binding protein with multiple splicing	Hs.334587	121476	BX111450	1.55	0.00
HSI036G11	C3AR1	Complement component 3a receptor 1	Hs.567242	196176	BX095575	1.55	0.00
HSI147G11	RBMS1	RNA binding motif, single stranded interacting protein 1	Hs.470412	247219	BX097389	1.55	0.00
HSI020F06	NCKAP1	NCK-associated protein 1	Hs.516633	135176	BX112791	1.55	0.00
HSI043A06	ZNFN1A1	Zinc finger protein, subfamily 1A, 1 (Ikaros)	Hs.435949	233031	BX101853	1.55	0.00
HSI145G12	SEPTIN7	Septin 7	Hs.191346	240200	BX090320	1.54	0.00
HSI080D08	CYBB	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	Hs.292356	796984	BX118931	1.54	0.00
HSI039A09	EMP1	Epithelial membrane protein 1	Hs.436298	202536	BX097088	1.54	0.00
HSI168E04	SFMBT2	Scm-like with four mbt domains 2	Hs.407983	1187878	BX116934	1.54	0.11
HSI003D07	CAPN2	Calpain 2, (m/II) large subunit	Hs.350899	23643	BX118575	1.54	0.00
HSI082C07	NRP2	Neuropilin 2	Hs.471200	823811	BX105686	1.54	0.00
HSI156C06	EST	Transcribed locus	Hs.549528	299690	BX116522	1.54	0.00
HSI061C05	NID2	Nidogen 2 (osteonidogen)	Hs.369840	344234	BX112956	1.54	0.00
HSI009E03	MARCKS	Myristoylated alanine-rich protein kinase C substrate	Hs.519909	26572	BX106699	1.54	0.00
HSI075A09	FAS	Fas (TNF receptor superfamily, member 6)	Hs.244139	754597	BX113824	1.54	0.00
HSI026G02	FLJ38379	Hypothetical protein FLJ38379	Hs.134090	1677144	BX089565	1.54	0.00
HSI044D04	FMO1	Flavin containing monooxygenase 1	Hs.1424	239807	BX105070	1.53	0.00
HSI006B06	ADRBK2	Adrenergic, beta, receptor kinase 2	Hs.584740	121618	BX091490	1.53	0.00
HSI017A05	KIAA2002	KIAA2002 protein	Hs.9587	40429	BX097110	1.53	0.11
HSI138D04	RAD52	RAD52 homolog (S. cerevisiae)	Hs.560083	197155	BX097349	1.53	0.00
HSI023D09	MNDA	Myeloid cell nuclear differentiation antigen	Hs.153837	145130	BX111714	1.53	0.00
HSI152B04	SLC1A2	Solute carrier family 1 (glial high affinity glutamate transporter), member 2	Hs.502338	277613	BX093479	1.53	0.00
HSI046E08	TLR7	Toll-like receptor 7	Hs.443036	257746	BX114029	1.53	0.00
HSI096A11	LY86	Lymphocyte antigen 86	Hs.170081	2333826	BX105581	1.53	0.00
HSI111A11	MYH10	Myosin, heavy polypeptide 10, non-muscle	Hs.16355	22062	BX105953	1.52	0.00
HSI104E08	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	Hs.108029	488908	BX101360	1.52	0.00
HSI069C02	ZNF403	Zinc finger protein 403	Hs.514116	704431	BX112215	1.52	0.00
HSI142H04	BAT2D1	BAT2 domain containing 1	Hs.494614	214450	BX109766	1.52	0.00
HSI023C01	TARP	TCR gamma alternate reading frame protein	Hs.534032	145105	BX112931	1.52	0.00
HSI126A08	TAOK1	TAO kinase 1	Hs.399763	138532	BX092883	1.52	0.00
HSI128F06	EST	Transcribed locus	Hs.571138	150085	BX113618	1.52	0.00
HSI020C07	CD164	CD164 antigen, sialomucin	Hs.520313	131928	BX102260	1.51	0.00
HSI181A09	CCL3L1	Chemokine (C-C motif) ligand 3-like 1	Hs.512683	153355	R47893	1.51	0.00
HSI176B02	EST	Transcribed locus	Hs.579151	1737181	BX096620	1.51	0.00
HSI066G09	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	Hs.472010	470074	BX092281	1.51	0.00
HSI009F07	A2M	Alpha-2-macroglobulin	Hs.212838	25715	BX114556	1.51	0.00
HSI038F04	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	Hs.443681	201932	BX112621	1.51	0.00
HSI016G11	TMEM123	Transmembrane protein 123	Hs.503709	39986	BX100656	1.51	0.00
HSI025A07	CLIC4	Chloride intracellular channel 4	Hs.440544	149203	BX107794	1.51	0.00
HSI051H09	UBL3	Ubiquitin-like 3	Hs.145575	287703	BX109420	1.51	0.00
HSI030G03	C1orf63	Chromosome 1 open reading frame 63	Hs.259412	48297	BX095625	1.51	0.00
HSI154G08	XIST	X (inactive)-specific transcript	Hs.529901	292997	BX104511	1.50	0.00
HSI079E05	OMD	Osteomodulin	Hs.94070	789355	BX097827	1.50	0.00
HSI126G08	FLJ31033	Hypothetical protein FLJ31033	Hs.535011	139232	BX106755	1.50	0.00
HSI160A12	EST	Transcribed locus	Hs.40289	726194	BX103433	1.50	0.00
HSI111D10	PRKXP1	Protein kinase, X-linked, pseudogene 1	Hs.12250	22932	R43659	1.50	0.11
HSI018D04	TCF8	Transcription factor 8 (represses interleukin 2 expression)	Hs.124503	42721	BX100730	1.50	0.00
HSI181D11	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)	Hs.531081	855910	AA630328	1.50	0.00
HSI036A10	HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1	Hs.347270	191881	H38801	1.50	0.00
HSI148E06	BFSP2	Beaded filament structural protein 2, phakinin	Hs.570548	257342	BX115818	1.50	0.00
HSI077D01	LAMB1	Laminin, beta 1	Hs.489646	771144	BX110159	1.50	0.00
