Symbol	Description
ABC1	amplified in breast cancer 1
ABCC10	atp-binding cassette, sub-family c (cftr/mrp), member 10
ABCD3	atp-binding cassette, sub-family d (ald), member 3
ABHD10	abhydrolase domain containing 10
ABI1	abl-interactor 1
ABI3BP	abi gene family, member 3 (nesh) binding protein
ACAT2	acetyl-coenzyme a acetyltransferase 2 (acetoacetyl coenzyme a thiolase)
ACIN1	apoptotic chromatin condensation inducer 1
ACOT7	acyl-coa thioesterase 7
ACOT8	acyl-coa thioesterase 8
ACTL6A	actin-like 6a
ACTR2	arp2 actin-related protein 2 homolog (yeast)
ACTR3	arp3 actin-related protein 3 homolog (yeast)
ACTR5	arp5 actin-related protein 5 homolog (yeast)
ACTR6	arp6 actin-related protein 6 homolog (yeast)
ACYP1	acylphosphatase 1, erythrocyte (common) type
ADAM10	adam metallopeptidase domain 10
ADAM12	adam metallopeptidase domain 12 (meltrin alpha)
ADAM9	adam metallopeptidase domain 9 (meltrin gamma)
ADAR	adenosine deaminase, rna-specific
ADCY1	adenylate cyclase 1 (brain)
ADD3	adducin 3 (gamma)
ADNP	activity-dependent neuroprotector
ADORA2B	adenosine a2b receptor
AGGF1	fetal hypothetical protein
AHCY	s-adenosylhomocysteine hydrolase
AHDC1	at hook, dna binding motif, containing 1
AKAP10	a kinase (prka) anchor protein 10
AKAP8	a kinase (prka) anchor protein 8
AKAP8L	a kinase (prka) anchor protein 8-like
ALDH18A1	aldehyde dehydrogenase 18 family, member a1
ALG6	asparagine-linked glycosylation 6 homolog (yeast, alpha-1,3-glucosyltransferase)
ALMS1	alstrom syndrome 1
AMACR	alpha-methylacyl-coa racemase
AMMECR1	alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
AMPD2	adenosine monophosphate deaminase 2 (isoform l)
ANKHD1	ankyrin repeat and kh domain containing 1
ANKMY2	ankyrin repeat and mynd domain containing 2
ANKRD10	ankyrin repeat domain 10
ANKRD27	ankyrin repeat domain 27 (vps9 domain)
ANKRD49	ankyrin repeat domain 49
ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member e
ANTXR1	hypothetical protein flj10601
AOF2	amine oxidase (flavin containing) domain 2
AP1G1	adaptor-related protein complex 1, gamma 1 subunit
AP1S1	adaptor-related protein complex 1, sigma 1 subunit
AP1S2	adaptor-related protein complex 1, sigma 2 subunit
AP2M1	adaptor-related protein complex 2, mu 1 subunit
AP3M2	adaptor-related protein complex 3, mu 2 subunit
AP3S1	adaptor-related protein complex 3, sigma 1 subunit
APAF1	apoptotic peptidase activating factor
APBA3	amyloid beta (a4) precursor protein-binding, family a, member 3 (x11-like 2)
APC	adenomatosis polyposis coli
APEX2	apex nuclease (apurinic/apyrimidinic endonuclease) 2
APH1A	anterior pharynx defective 1 homolog a (c. elegans)
APITD1	cortistatin
APOBEC3B	apolipoprotein b mrna editing enzyme, catalytic polypeptide-like 3b
APP	amyloid beta (a4) precursor protein (peptidase nexin-ii, alzheimer disease)
APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2
APRIN	androgen-induced proliferation inhibitor
APTX	aprataxin
ARF4	adp-ribosylation factor 4
ARFGAP1	adp-ribosylation factor gtpase activating protein 1
ARFGAP3	adp-ribosylation factor gtpase activating protein 3
ARFGEF1	adp-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin a-inhibited)
ARHGAP11A	rho gtpase activating protein 11a
ARHGEF10L	rho guanine nucleotide exchange factor (gef) 10-like
ARHGEF18	rho/rac guanine nucleotide exchange factor (gef) 18
ARHGEF9	cdc42 guanine nucleotide exchange factor (gef) 9
