Image Clone ID	UniGene Cluster ID	UniGene Title
26617	Hs.10247	activated leucocyte cell adhesion molecule
770080	Hs.102497	paxillin
21652	Hs.178452	catenin (cadherin-associated protein), alpha 1 (102kD)
591281	Hs.80680	lung resistance-related protein
290724	Hs.90598	MHC class I polypeptide-related sequence A
30502	Hs.250500	delta-like 1 (mouse) homolog
897781	Hs.242463	keratin 8
139354	Hs.15093	ESTs
39993	Hs.75428	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))
416833	Hs.7557	FK506-binding protein 5
295831	Hs.24332	ESTs, Highly similar to CGI-26 protein [H.sapiens]
810057	Hs.1139	cold shock domain protein A
417226	Hs.79070	v-myc avian myelocytomatosis viral oncogene homolog
789182	Hs.78996	proliferating cell nuclear antigen
950682	Hs.99910	phosphofructokinase, platelet
26184	Hs.99910	phosphofructokinase, platelet
26184	Hs.99910	phosphofructokinase, platelet
344109	Hs.78996	proliferating cell nuclear antigen
783698	Hs.81412	KIAA0188 protein
134748	Hs.77631	glycine cleavage system protein H (aminomethyl carrier)
36775	Hs.75860	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit
812048	Hs.74621	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
210887	Hs.119222	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70-interacting protein)
785963	Hs.12413	KIAA0191 protein
471918	Hs.83733	intercellular adhesion molecule 2
429135	Hs.119222	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70-interacting protein)
429182	Hs.5085	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
293104	Hs.172887	phytanoyl-CoA hydroxylase (Refsum disease)
138604	Hs.82483	MAD (mothers against decapentaplegic, Drosophila) homolog 2
740554	Hs.144904	nuclear receptor co-repressor 1
40304	Hs.469	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
781704	Hs.77558	thyroid hormone receptor interactor 7
898123	Hs.82285	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
80915	Hs.469	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
340644	Hs.184908	integrin, beta 8
23014	Hs.66151	mitogen-activated protein kinase 1
711680	Hs.54452	zinc finger protein, subfamily 1A, 1 (Ikaros)
214731	Hs.174174	KIAA0601 protein
236055	Hs.165998	DKFZP564M2423 protein
47384	Hs.172665	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
711768	Hs.76057	lysophospholipase II
27511	Hs.151791	KIAA0092 gene product
47542	Hs.86948	small nuclear ribonucleoprotein D1 polypeptide (16kD)
140827	Hs.75862	MAD (mothers against decapentaplegic, Drosophila) homolog 4
131362	Hs.170328	moesin
246194	Hs.125522	ESTs
43885	Hs.172801	isoleucine-tRNA synthetase
566887	Hs.8123	chromobox homolog 3 (Drosophila HP1 gamma)
784830	Hs.82043	D123 gene product
32790	Hs.78934	mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)
197176	Hs.56845	GDP dissociation inhibitor 2
133178	Hs.194148	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
45233	Hs.82916	chaperonin containing TCP1, subunit 6A (zeta 1)
46019	Hs.77152	minichromosome maintenance deficient (S. cerevisiae) 7
344352	Hs.94842	ESTs
51209	Hs.21537	protein phosphatase 1, catalytic subunit, beta isoform
250667	Hs.28726	RAB9, member RAS oncogene family
246749	Hs.93560	ESTs, Weakly similar to trg [R.norvegicus]
814701	Hs.79078	MAD2 (mitotic arrest deficient, yeast, homolog)-like 1
