Probe ID	Symbol	Name	P value	M	Fold	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
1454681_at	Rbm35a	RNA binding motif protein 35A	0.000	1.154	2.2	---	5634 // nucleus // inferred from electronic annotation	3723 // RNA binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 166 // nucleotide binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	---
1423952_a_at	Krt7	keratin 7	0.000	1.015	2.0	7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation	5882 // intermediate filament // inferred from electronic annotation	5200 // structural constituent of cytoskeleton // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5198 // structural molecule activity // inferred from electronic annotation	---
1448393_at	Cldn7	claudin 7	0.013	0.983	2.0	16338 // calcium-independent cell-cell adhesion // inferred from sequence or structural similarity	5615 // extracellular space // Unknown /// 5923 // tight junction // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 5923 // tight junction // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation /// 16021 // integral to membrane // non-traceable author statement	5198 // structural molecule activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 42802 // identical protein binding // inferred from sequence or structural similarity	---
1418449_at	Lad1	ladinin	0.000	0.972	2.0	---	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5604 // basement membrane // inferred from electronic annotation	---	---
1426208_x_at	Plagl1	pleiomorphic adenoma gene-like 1	0.010	0.953	1.9	45944 // positive regulation of transcription from RNA polymerase II promoter // inferred from sequence or structural similarity	5634 // nucleus // inferred from electronic annotation /// 5622 // intracellular // inferred from electronic annotation	3677 // DNA binding // inferred from sequence or structural similarity /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	---
1418061_at	Ltbp2	latent transforming growth factor beta binding protein 2	0.002	0.951	1.9	8152 // metabolism // inferred from electronic annotation	---	5509 // calcium ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 19838 // growth factor binding // inferred from electronic annotation	---
1433924_at	Peg3	paternally expressed 3	0.002	0.908	1.9	---	5634 // nucleus // inferred from electronic annotation /// 5622 // intracellular // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
1435494_s_at	Dsp	desmoplakin	0.007	0.887	1.8	---	5739 // mitochondrion // inferred from direct assay /// 16323 // basolateral plasma membrane // inferred from direct assay /// 30057 // desmosome // inferred from direct assay	---	---
1448261_at	Cdh1	cadherin 1	0.004	0.882	1.8	7155 // cell adhesion // inferred from electronic annotation /// 7156 // homophilic cell adhesion // inferred from electronic annotation /// 16337 // cell-cell adhesion // inferred from mutant phenotype /// 19538 // protein metabolism // inferred from direct assay /// 43281 // regulation of caspase activity // inferred from direct assay /// 51260 // protein homooligomerization // inferred from direct assay	5615 // extracellular space // Unknown /// 5886 // plasma membrane // inferred from direct assay /// 5912 // adherens junction // inferred from direct assay /// 5913 // cell-cell adherens junction // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16323 // basolateral plasma membrane // inferred from direct assay /// 45177 // apical part of cell // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	5509 // calcium ion binding // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 8013 // beta-catenin binding // inferred from physical interaction /// 5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	Cell_Cycle_KEGG // GenMAPP
1435493_at	Dsp	desmoplakin	0.002	0.822	1.8	---	5739 // mitochondrion // inferred from direct assay /// 16323 // basolateral plasma membrane // inferred from direct assay /// 30057 // desmosome // inferred from direct assay	---	---
