Affy probeID	Gene name	GenBank accession number	t-statistic	Raw P-value	Results of MCCV number of selections (rank)
207074_s_at	Solute carrier family 18 (vesicular monoamine), member 1	NM_003053	6.2677	0.001	992 (2)
213800_at	complement factor H	X04697	5.9634	0.001	793 (5)
208942_s_at	translocation protein 1	BE866511	5.505	0.001	720 (6)
202141_s_at	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	BC003090	5.4797	0.001	795 (4)
206884_s_at	Sciellin	NM_003843	5.4299	0.001	718 (7)
201606_s_at	nuclear phosphoprotein similar to S. cerevisiae PWP1	BE796924	5.3285	0.001	661 (8)
213503_x_at	annexin A2	BE908217	5.2443	0.001	608 (12)
203536_s_at	WD40 protein Ciao1	NM_004804	5.1924	0.001	619 (10)
202341_s_at	tripartite motif-containing 2	AA149745	5.1914	0.001	611 (11)
211023_at	pyruvate dehydrogenase (lipoamide) beta	AL117618	5.0748	0.001	524 (15)
202013_s_at	exostoses (multiple) 2	NM_000401	4.9974	0.001	483 (17)
210427_x_at	annexin A2	BC001388	4.9499	0.002	494 (16)
212836_at	polymerase (DNA-directed), delta 3, accessory subunit	D26018	4.9329	0.001	456 (18)
208093_s_at	nudE nuclear distribution gene E homolog like 1 (A. nidulans)	NM_030808	4.9215	0.001	449 (19)
201067_at	proteasome (prosome, macropain) 26S subunit, ATPase, 2	BF215487	4.8455	0.001	444 (20)
201590_x_at	annexin A2	NM_004039	4.842	0.001	400 (23)
213399_x_at	ribophorin II	AI560720	4.7989	0.001	397 (24)
218976_at	DnaJ (Hsp40) homolog, subfamily C, member 12	NM_021800	4.798	0.001	356 (28)
201543_s_at		NM_020150	4.7656	0.001	374 (26)
202857_at	transmembrane protein 4	NM_014255	4.7648	0.001	335 (35)
202723_s_at	forkhead box O1A (rhabdomyosarcoma)	AW117498	4.7057	0.002	408 (22)
209045_at	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	AF195530	4.7019	0.001	339 (33)
220841_s_at	Abelson helper integration site	NM_017651	4.6981	0.001	359 (27)
218135_at	PTX1 protein	NM_016570	4.665	0.001	350 (31)
214307_at	homogentisate 1,2-dioxygenase (homogentisate oxidase)	AI478172	4.6345	0.001	307 (43)
207651_at	G protein-coupled receptor 171	NM_013308	4.6062	0.001	290 (52)
204017_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	NM_006855	4.5997	0.001	328 (38)
211406_at	immediate early response 3 interacting protein 1	AF119875	4.5906	0.001	356 (28)
218257_s_at	UDP-glucose ceramide glucosyltransferase-like 1	NM_020120	4.5827	0.001	285 (53)
219553_at	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	NM_013330	4.5767	0.001	308 (42)
212342_at	hypothetical protein MGC21416	BG500611	4.568	0.001	226 (70)
222122_s_at	THO complex 2	BG403671	4.5613	0.003	346 (32)
221766_s_at	family with sequence similarity 46, member A	AW246673	4.5218	0.001	338 (34)
201658_at	ADP-ribosylation factor-like 1	AU151560	4.5183	0.002	284 (54)
217868_s_at	DORA reverse strand protein 1	NM_016025	4.5138	0.002	215 (76)
201077_s_at	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	AF155235	4.5077	0.002	274 (56)
205141_at	angiogenin, ribonuclease, RNase A family, 5	NM_001145	4.5017	0.001	258 (58)
205342_s_at	sulfotransferase family, cytosolic, 1C, member 1	AF026303	4.4597	0.001	291 (49)
216228_s_at	WD repeat and HMG-box DNA binding protein 1	AK001538	4.4541	0.002	248 (61)
222140_s_at	G protein-coupled receptor 89	AK021758	4.4428	0.002	163 (94)
208095_s_at	signal recognition particle 72 kDa	NM_001222	4.438	0.001	147 (102)
213491_x_at	ribophorin II	AL514285	4.4312	0.001	230 (67)
202747_s_at	integral membrane protein 2A	NM_004867	4.3958	0.002	156 (100)
201822_at	translocase of inner mitochondrial membrane 17 homolog A (yeast)	NM_006335	4.3841	0.002	223 (71)
214733_s_at	hypothetical protein DJ167A19.1	AL031427	4.3382	0.002	218 (74)
219911_s_at	solute carrier organic anion transporter family, member 4A1	NM_016354	4.3328	0.001	249 (60)
