Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
161184_f_at	Mm.4345	Tie1	Tyrosine kinase receptor 1	83.33	<0.0001	0.000
103891_i_at	Mm.21288	Ell2	Elongation factor RNA polymerase II 2	76.92	<0.0001	0.000
100600_at	Mm.29742	Cd24a	CD24a antigen	43.48	<0.0001	0.000
94997_at	Mm.27343	MGI:1891716	Endomucin	43.48	<0.0001	0.000
101959_r_at	Unknown	Unknown	Unknown	38.46	0.0002	0.009
102787_at	Mm.290834	Gpr56	G protein-coupled receptor 56	33.33	<0.0001	0.000
96058_s_at	Mm.284446	Aldh2	Aldehyde dehydrogenase 2, mitochondrial	29.41	0.0034	0.052
92644_s_at	Mm.52109	Myb	Myeloblastosis oncogene	27.78	<0.0001	0.001
96238_at	Unknown	Unknown	Unknown	27.78	<0.0001	0.001
97357_at	Mm.24001	Mef2c	Myocyte enhancer factor 2C	27.78	0.0003	0.004
103816_at	Mm.294882	F11r	F11 receptor	26.32	<0.0001	0.000
99959_at	Unknown	Unknown	Unknown	25.64	<0.0001	0.000
96605_at	Mm.27061	0610011I04Rik	RIKEN cDNA 0610011I04 gene	25.64	0.0004	0.014
93020_at	Mm.14768	Rex3	Reduced expression 3	22.73	0.0003	0.007
96489_at	Unknown	Unknown	Unknown	21.74	0.0004	0.014
95453_f_at	Mm.24662	S100a1	S100 calcium binding protein A1	20.00	0.0149	0.095
94255_g_at	Mm.257765	Clic4	Chloride intracellular channel 4 (mitochondrial)	19.61	0.0009	0.005
96810_at	Mm.29266	Lmo2	LIM domain only 2	19.23	<0.0001	0.000
102094_f_at	Unknown	Unknown	Unknown	19.23	<0.0001	0.003
100468_g_at	Mm.4925	Lyl1	Lymphoblastomic leukemia	19.23	0.0158	0.114
102326_at	Mm.270307	Ncf2	Neutrophil cytosolic factor 2	18.87	0.0001	0.005
98324_at	Mm.42260	Foxa3	Forkhead box A3	17.86	<0.0001	0.000
101065_at	Mm.7141	Pcna	Proliferating cell nuclear antigen	17.86	<0.0001	0.001
103448_at	Mm.21567	S100a8	S100 calcium binding protein A8 (calgranulin A)	17.86	0.0004	0.011
101495_at	Mm.806	Cd81	CD 81 antigen	17.54	<0.0001	0.000
93874_s_at	Mm.193451	Il11ra1	Interleukin 11 receptor, alpha chain 1	16.67	0.0002	0.008
96703_at	Mm.27578	Maged1	Melanoma antigen, family D, 1	16.67	0.0002	0.010
95673_s_at	Mm.29586	Basp1	Brain abundant, membrane attached signal protein 1	16.39	0.0014	0.031
160651_at	Mm.154045	Tacstd2	Tumor-associated calcium signal transducer 2	16.13	<0.0001	0.001
93117_at	Mm.155896	Hnrpa2b1	Heterogeneous nuclear ribonucleoprotein A2/B1	15.63	<0.0001	0.000
104677_at	Mm.270798	Man1b1	Mannosidase, alpha, class 1B, member 1	15.38	0.0007	0.021
93543_f_at	Mm.37199	Gstm1	Glutathione S-transferase, mu 1	14.49	<0.0001	0.000
97203_at	Mm.2769	Mlp	MARCKS-like protein	14.49	<0.0001	0.003
97909_at	Mm.271947	Stmn1	Stathmin 1	14.49	0.0102	0.088
92554_at	Mm.373522	Ctbp2	C-terminal binding protein 2	13.70	0.0116	0.079
