Rank	Gene	Description	UniGene ID	Class correlation	P	Non-SQ^	SQ^
1	WEE1	WEE1 homolog	Hs.75188	Fatal	0.0027	2	148
2	MYC	v-myc viral oncogene homolog	Hs.79070	Fatal	0.0057	14	55
3	TITF1	Thyroid transcription factor 1	Hs.197764	Favorable	0.0085	31	65
4	FOSL1	FOS-like antigen 1 (Fra-1)	Hs.283565	Fatal	0.0062	30	135
5	LYPLA1	Lysophospholipase I	Hs.393360	Fatal	0.0081	26	123
6	SSBP1	Single-stranded DNA binding protein	Hs.923	Fatal	0.0199	3	641
7	SFTPC	Surfactant, pulmonary-associated protein C	Hs.1074	Favorable	0.0113	12	290
8	THBD	Thrombomodulin	Hs.2030	Fatal	0.0099	51	14
9	NICE-4	NICE-4 protein	Hs.8127	Fatal	0.0099	1	294
10	PTN	Pleiotrophin (heparin binding growth factor 8)	Hs.44	Fatal	0.01	38	139
11	SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	Hs.83753	Fatal	0.0115	10	621
12	NAP1L1	Nucleosome assembly protein 1-like 1	Hs.302649	Fatal	0.0131	46	116
13	CTNND1	Catenin delta 1	Hs.166011	Fatal	0.012	50	149
14	CCT3	Chaperonin containing TCP1, subunit 3	Hs.1708	Fatal	0.0186	16	515
15	ESTs		Hs.95612	Fatal	0.016	112	25
16	SPRR1B	Small proline-rich protein 1B (cornifin)	Hs.1076	Fatal	0.0209	70	6
17	COPB	Coatomer protein complex, subunit beta	Hs.3059	Fatal	0.0195	151	17
18	ARG1	Arginase type I (liver)	Hs.332405	Fatal	0.0193	28	435
19	ARCN1	Archain 1 (coatomer protein complex, subunit delta)	Hs.33642	Fatal	0.0169	33	174
20	MST1	Macrophage stimulating 1	Hs.349110	Fatal	0.0193	7	684
21	SERPINE1	Serine (or cysteine) proteinase inhibitor, clade E member 1	Hs.82085	Fatal	0.0194	17	532
22	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B member 1	Hs.183583	Fatal	0.0205	188	31
23	ESTs		Hs.215113	Favorable	0.0205	36	254
24	ACTR3	Actin-related protein 3 homolog (ARP3)	Hs.380096	Fatal	0.0229	99	67
25	PTP4A3	Protein tyrosine phosphatase type 4A, member 3	Hs.43666	Fatal	0.0199	171	5
