Gene symbol	Gene name	Gene description	Gene Specific Factor
1555468_3p_at	NRP2	neuropilin 2	Doxorubicin 74 probesets
1560318_3p_at	ARHGAP29	Rho GTPase activating protein 29	Doxorubicin 74 probesets
1566465_3p_at	LOC728987	Similar to potassium channel, subfamily K1	Doxorubicin 74 probesets
201596_3p_x_at	KRT18	keratin 18	Doxorubicin 74 probesets
202947_3p_s_at	GYPC	glycophorin C	Doxorubicin 74 probesets
205973_3p_at	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	Doxorubicin 74 probesets
207517_3p_at	LAMC2	laminin, gamma 2	Doxorubicin 74 probesets
208651_3p_x_at	CD24	CD24	Doxorubicin 74 probesets
208682_3p_s_at	MAGED2	melanoma antigen family D2	Doxorubicin 74 probesets
219168_3p_s_at	PRR5	proline rich 5 (renal)	Doxorubicin 74 probesets
233121_3p_at	NA	CDNA FLJ12299	Doxorubicin 74 probesets
233352_3p_at	NA	CDNA FLJ13691	Doxorubicin 74 probesets
4862579C_3p_s_at	SASH1	SAM and SH3 domain containing 1	Doxorubicin 74 probesets
g10863920_3p_s_at	DLG3	discs, large homologue 3	Doxorubicin 74 probesets
g11386146_3p_s_at	PSAP	prosaposin	Doxorubicin 74 probesets
g12002211_3p_at	EGFR	epidermal growth factor receptor	Doxorubicin 74 probesets
g12408655_3p_a_at	CAPN1	calpain 1	Doxorubicin 74 probesets
g12652708_3p_at	LOC729030	NCK adaptor protein 2	Doxorubicin 74 probesets
g12803660_3p_a_at	PLP1	proteolipid protein 1	Doxorubicin 74 probesets
g12803726_3p_at	KRT7	keratin 7	Doxorubicin 74 probesets
g13097167_3p_x_at	LAMA5	laminin alpha 5	Doxorubicin 74 probesets
g1673574_3p_x_at	KRT8	keratin 8	Doxorubicin 74 probesets
g1695856_3p_at	SGCD	sarcoglycan delta	Doxorubicin 74 probesets
g182984_3p_a_at	PMP22	peripheral myelin protein 22	Doxorubicin 74 probesets
g2598967_3p_a_at	SPINT2	serine peptidase inhibitor, Kunitz type, 2	Doxorubicin 74 probesets
g3169292_3p_s_at	FAIM3	Fas apoptotic inhibitory molecule 3	Doxorubicin 74 probesets
g3387766_3p_a_at	GPM6B	glycoprotein M6B	Doxorubicin 74 probesets
g340216_3p_a_at	VIL2	villin 2 (ezrin)	Doxorubicin 74 probesets
g349450_3p_a_at	FLNB	filamin B	Doxorubicin 74 probesets
g4206717_3p_a_at	SLC23A2	solute carrier family 23, member 2	Doxorubicin 74 probesets
g4502310_3p_at	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	Doxorubicin 74 probesets
g4503098_3p_a_at	CSPG4	chondroitin sulfate proteoglycan 4	Doxorubicin 74 probesets
g4503210_3p_at	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	Doxorubicin 74 probesets
g4503918_3p_a_at	GAS1	growth arrest-specific 1	Doxorubicin 74 probesets
g4504164_3p_a_at	GSN	gelsolin	Doxorubicin 74 probesets
g4505058_3p_a_at	TACSTD1	tumour-associated calcium signal transducer 1	Doxorubicin 74 probesets
g4505154_3p_at	MEST	mesoderm specific transcript homologue	Doxorubicin 74 probesets
g4505404_3p_at	GPNMB	glycoprotein (transmembrane) nmb	Doxorubicin 74 probesets
g4505890_3p_at	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	Doxorubicin 74 probesets
g4507296_3p_a_at	STXBP1	syntaxin binding protein 1	Doxorubicin 74 probesets
g4507664_3p_at	TPST1	tyrosylprotein sulfotransferase 1	Doxorubicin 74 probesets
g4557374_3p_a_at	KLF9	Kruppel-like factor 9	Doxorubicin 74 probesets
g4557504_3p_s_at	CYBA	cytochrome b-245, alpha polypeptide	Doxorubicin 74 probesets
g4557754_3p_a_at	MITF	microphthalmia-associated transcription factor	Doxorubicin 74 probesets
g464181_3p_a_at	ID1	inhibitor of DNA binding 1	Doxorubicin 74 probesets
g4758199_3p_at	DSP	desmoplakin	Doxorubicin 74 probesets
g4758381_3p_at	FKBP2	FK506 binding protein 2	Doxorubicin 74 probesets
g4758925_3p_a_at	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1	Doxorubicin 74 probesets
g4758931_3p_a_at	PKP2	plakophilin 2	Doxorubicin 74 probesets
g4759201_3p_at	SYNGR2	synaptogyrin 2	Doxorubicin 74 probesets
g4885220_3p_a_at	ETS2	v-ets erythroblastosis virus E26 oncogene homologue 2	Doxorubicin 74 probesets
g4885556_3p_at	PODXL	podocalyxin-like	Doxorubicin 74 probesets
g5031912_3p_at	MLANA	melan-A	Doxorubicin 74 probesets
g5032096_3p_at	SLC6A8	solute carrier family 6, member 8	Doxorubicin 74 probesets
g5453813_3p_at	DDR2	discoidin domain receptor family, member 2	Doxorubicin 74 probesets
g5454089_3p_at	SSR4	signal sequence receptor, delta	Doxorubicin 74 probesets
g5729924_3p_s_at	MIA	melanoma inhibitory activity	Doxorubicin 74 probesets
g6005971_3p_at	ZNF185	zinc finger protein 185	Doxorubicin 74 probesets
g6005991_3p_a_at	CALU	calumenin	Doxorubicin 74 probesets
g6580834_3p_at	KLF5	Kruppel-like factor 5	Doxorubicin 74 probesets
g6670884_3p_a_at	PKP3	plakophilin 3	Doxorubicin 74 probesets
g7262371_3p_at	BIK	BCL2-interacting killer	Doxorubicin 74 probesets
g7657042_3p_a_at	DSCR1	Down syndrome critical region gene 1	Doxorubicin 74 probesets
g7661917_3p_at	MAD2L1BP	MAD2L1 binding protein	Doxorubicin 74 probesets
g7661955_3p_at	RNF144	ring finger protein 144	Doxorubicin 74 probesets
g7662183_3p_s_at	ZEB2	zinc finger E-box binding homeobox 2	Doxorubicin 74 probesets
g7662503_3p_at	LY96	lymphocyte antigen 96	Doxorubicin 74 probesets
Hs.177635.0.S1_3p_at	PDZRN3	PDZ domain containing RING finger 3	Doxorubicin 74 probesets
Hs.204238.0.S1_3p_at	LCN2	lipocalin 2 (oncogene 24p3)	Doxorubicin 74 probesets
Hs.25640.0.S1_3p_a_at	CLDN3	claudin 3	Doxorubicin 74 probesets
Hs.28264.0.S1_3p_at	C10orf56	chromosome 10 open reading frame 56	Doxorubicin 74 probesets
Hs.301094.0.S1_3p_at	ZNF629	zinc finger protein 629	Doxorubicin 74 probesets
Hs.31408.0.A1_3p_at	RAB40C	RAB40C, member RAS oncogene family	Doxorubicin 74 probesets
Hs.71779.0.S1_3p_at	C19orf21	chromosome 19 open reading frame 21	Doxorubicin 74 probesets
1553997_3p_a_at	ASPHD1	aspartate beta-hydroxylase domain containing 1	Docetaxel 47 probesets
1554757_3p_a_at	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	Docetaxel 47 probesets
1557953_3p_at	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	Docetaxel 47 probesets
1569450_3p_at	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	Docetaxel 47 probesets
200033_at	DDX5	DEAD box polypeptide 5	Docetaxel 47 probesets
200852_3p_x_at	GNB2	G protein beta polypeptide 2	Docetaxel 47 probesets
210022_3p_at	PCGF1	polycomb group ring finger 1	Docetaxel 47 probesets
211369_3p_at	NA	PRO2168	Docetaxel 47 probesets
217500_3p_at	TIAL1	cytotoxic granule-associated RNA binding protein-like 1	Docetaxel 47 probesets
g10862691_3p_at	ACVR1B	activin A receptor, type IB	Docetaxel 47 probesets
g11345479_3p_a_at	PDXK	pyridoxal kinase	Docetaxel 47 probesets
g12053116_3p_at	SLC25A36	solute carrier family 25, member 36	Docetaxel 47 probesets
g12653334_3p_at	ENSA	endosulfine alpha	Docetaxel 47 probesets
g12654058_3p_at	PSMB6	proteasome subunit, beta type, 6	Docetaxel 47 probesets
g13775227_3p_s_at	DOHH	deoxyhypusine hydroxylase/monooxygenase	Docetaxel 47 probesets
g1683636_3p_s_at	BAD	BCL2-antagonist of cell death	Docetaxel 47 probesets
g2199534_3p_x_at	BIN1	bridging integrator 1	Docetaxel 47 probesets
g3002950_3p_s_at	BANF1	barrier to autointegration factor 1	Docetaxel 47 probesets
g4502256_3p_at	ASL	argininosuccinate lyase	Docetaxel 47 probesets
g4502414_3p_at	BLR1	Burkitt lymphoma receptor 1 (CXCR5)	Docetaxel 47 probesets
g4503748_3p_at	FLT1	fms-related tyrosine kinase 1 (VEGF receptor)	Docetaxel 47 probesets
g4506928_3p_at	SH3GL1	SH3-domain GRB2-like 1	Docetaxel 47 probesets
g4507518_3p_at	TK1	thymidine kinase 1, soluble	Docetaxel 47 probesets
g4557340_3p_s_at	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	Docetaxel 47 probesets
g4757829_3p_a_at	B4GALT6	galactosyltransferase, polypeptide 6	Docetaxel 47 probesets
g4758391_3p_at	FOXD1	forkhead box D1	Docetaxel 47 probesets
g4759211_3p_at	TBCA	tubulin folding cofactor A	Docetaxel 47 probesets
g4826664_3p_at	CCS	copper chaperone for superoxide dismutase	Docetaxel 47 probesets
g4827027_3p_a_at	TLE1	transducin-like enhancer of split 1	Docetaxel 47 probesets
g5031608_3p_at	BCKDK	branched chain ketoacid dehydrogenase kinase	Docetaxel 47 probesets
g5174504_3p_a_at	LOC727732	neighbour of BRCA1 gene 1	Docetaxel 47 probesets
g5174773_3p_at	APOA4	apolipoprotein A-IV	Docetaxel 47 probesets
g577292_3p_a_at	BRD2	bromodomain containing 2	Docetaxel 47 probesets
g5803089_3p_at	STARD3	START domain containing 3	Docetaxel 47 probesets
g5911930_3p_a_at	LIMK2	LIM domain kinase 2	Docetaxel 47 probesets
g7657474_3p_at	PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha isoform	Docetaxel 47 probesets
g7661773_3p_a_at	SETD2	SET domain containing 2	Docetaxel 47 probesets
g7662257_3p_a_at	USP52	ubiquitin specific peptidase 52	Docetaxel 47 probesets
g7705754_3p_a_at	PLLP	plasmolipin	Docetaxel 47 probesets
g9945313_3p_a_at	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	Docetaxel 47 probesets
Hs.13583.0.A1_3p_at	LOC643641	Hypothetical protein LOC643641	Docetaxel 47 probesets
Hs.158135.0.S1_3p_at	PIP5K3	phosphatidylinositol-5-kinase, type III	Docetaxel 47 probesets
Hs.16074.0.S1_3p_at	NA	NA	Docetaxel 47 probesets
Hs.22003.0.S2_3p_at	SLC6A1	solute carrier family 6, member 1	Docetaxel 47 probesets
Hs.226138.0.A1_3p_at	TEX261	testis expressed 261	Docetaxel 47 probesets
Hs.32556.0.S1_3p_at	ANKRD28	ankyrin repeat domain 28	Docetaxel 47 probesets
Hs.74497.1.S1_3p_a_at	YBX1	Y box binding protein 1	Docetaxel 47 probesets
200021_at	CFL1	cofilin 1	Fluorouracil 46 probesets
203295_3p_s_at	ATP1A2	ATPase, Na+/K+ transporting, alpha 2	Fluorouracil 46 probesets
206169_3p_x_at	ZC3H7B	zinc finger CCCH-type containing 7B	Fluorouracil 46 probesets
207131_3p_x_at	GGT1	gamma-glutamyltransferase 1	Fluorouracil 46 probesets
208261_3p_x_at	IFNA10	interferon, alpha 10	Fluorouracil 46 probesets
213476_3p_x_at	TUBB3	tubulin, beta 3	Fluorouracil 46 probesets
214966_3p_at	GRIK5	glutamate receptor, ionotropic, kainate 5	Fluorouracil 46 probesets
217063_3p_x_at	TRA	T cell receptor alpha locus	Fluorouracil 46 probesets
218155_3p_x_at	TSR1	TSR1, 20S rRNA accumulation, homologue	Fluorouracil 46 probesets
222111_3p_at	NA	CDNA clone IMAGE:4794011	Fluorouracil 46 probesets
37860_3p_at	ZNF337	zinc finger protein 337	Fluorouracil 46 probesets
g12408251_3p_s_at	ACTB	actin, beta	Fluorouracil 46 probesets
g12653448_3p_a_at	PEX19	peroxisomal biogenesis factor 19	Fluorouracil 46 probesets
g12751062_3p_a_at	HMGN3	high mobility group nucleosomal binding domain 3	Fluorouracil 46 probesets
g13111856_3p_a_at	PDLIM4	PDZ and LIM domain 4	Fluorouracil 46 probesets
g13324673_3p_s_at	LOC653174	testis specific protein, Y-linked 1	Fluorouracil 46 probesets
g1353569_3p_a_at	CDKN2A	cyclin-dependent kinase inhibitor 2A (p16)	Fluorouracil 46 probesets
g13543611_3p_s_at	SLC25A17	solute carrier family 25, member 17	Fluorouracil 46 probesets
g4501882_3p_s_at	ACTA2	actin, alpha 2	Fluorouracil 46 probesets
g4502160_3p_at	APOC4	apolipoprotein C-IV	Fluorouracil 46 probesets
g4502946_3p_a_at	COL1A2	collagen, type I, alpha 2	Fluorouracil 46 probesets
g4503012_3p_s_at	CPNE1	copine I	Fluorouracil 46 probesets
g4503116_3p_at	CSTB	cystatin B (stefin B)	Fluorouracil 46 probesets
g4503470_3p_x_at	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	Fluorouracil 46 probesets
g4504538_3p_at	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	Fluorouracil 46 probesets
g4557602_3p_at	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	Fluorouracil 46 probesets
g4929137_3p_s_at	LOC648765	hypothetical gene LOC92755	Fluorouracil 46 probesets
g5016088_3p_x_at	ACTB	actin, beta	Fluorouracil 46 probesets
g5174504_3p_a_at	LOC727732	neighbour of BRCA1 gene 1	Fluorouracil 46 probesets
g5454173_3p_at	STK25	serine/threonine kinase 25	Fluorouracil 46 probesets
g625095_3p_a_at	ID4	inhibitor of DNA binding 4	Fluorouracil 46 probesets
g7110660_3p_a_at	FTSJ1	FtsJ homologue 1	Fluorouracil 46 probesets
g7262377_3p_a_at	FIBP	fibroblast growth factor intracellular binding protein	Fluorouracil 46 probesets
g7661903_3p_a_at	KIAA0100	KIAA0100	Fluorouracil 46 probesets
g7662193_3p_s_at	IFT140	intraflagellar transport 140 homologue	Fluorouracil 46 probesets
g7662259_3p_at	KBTBD11	kelch repeat and BTB (POZ) domain containing 11	Fluorouracil 46 probesets
g7706231_3p_a_at	EIF5B	eukaryotic translation initiation factor 5B	Fluorouracil 46 probesets
g8923811_3p_at	THEM2	thioesterase superfamily member 2	Fluorouracil 46 probesets
g9943844_3p_a_at	WBP4	WW domain binding protein 4	Fluorouracil 46 probesets
Hs.101674.0.S1_3p_at	ARSF	arylsulfatase F	Fluorouracil 46 probesets
Hs.110837.0.S2_3p_at	TUBB4	tubulin, beta 4	Fluorouracil 46 probesets
Hs.116533.0.A1_3p_at	PDE5A	phosphodiesterase 5A, cGMP-specific	Fluorouracil 46 probesets
Hs.20432.1.A1_3p_a_at	ZSWIM7	zinc finger, SWIM-type containing 7	Fluorouracil 46 probesets
Hs.25770.0.S1_3p_at	CCDC88C	coiled-coil domain containing 88C	Fluorouracil 46 probesets
Hs.281043.0.S1_3p_at	FAM13C1	family with sequence similarity 13, member C1	Fluorouracil 46 probesets
Hs.48450.0.S2_3p_at	ZNF516	zinc finger protein 516	Fluorouracil 46 probesets
1557981_3p_at	RPS9	Ribosomal protein S9	Cyclophosphamide 35 probesets
201305_3p_x_at	ANP32B	nuclear phosphoprotein 32 family, member B	Cyclophosphamide 35 probesets
201462_3p_at	SCRN1	secernin 1	Cyclophosphamide 35 probesets
207131_3p_x_at	GGT1	gamma-glutamyltransferase 1	Cyclophosphamide 35 probesets
215198_3p_s_at	CALD1	caldesmon 1	Cyclophosphamide 35 probesets
215294_3p_s_at	SMARCA1	SWI/SNF related, subfamily a, member 1	Cyclophosphamide 35 probesets
216019_3p_x_at	PHLDB1	pleckstrin homology-like domain, family B, member 1	Cyclophosphamide 35 probesets
235413_3p_at	GGCX	gamma-glutamyl carboxylase	Cyclophosphamide 35 probesets
g10835046_3p_s_at	SGCE	sarcoglycan, epsilon	Cyclophosphamide 35 probesets
g10835164_3p_a_at	CD59	CD59 molecule, complement regulatory protein	Cyclophosphamide 35 probesets
g11125771_3p_s_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	Cyclophosphamide 35 probesets
g12653240_3p_x_at	TSPAN4	tetraspanin 4	Cyclophosphamide 35 probesets
g12654662_3p_at	ESD	esterase D/formylglutathione hydrolase	Cyclophosphamide 35 probesets
g13097755_3p_a_at	ACTN1	actinin, alpha 1	Cyclophosphamide 35 probesets
g2081606_3p_a_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	Cyclophosphamide 35 probesets
g4324453_3p_a_at	CDC42EP3	CDC42 effector protein 3	Cyclophosphamide 35 probesets
g4502922_3p_at	CNN3	calponin 3, acidic	Cyclophosphamide 35 probesets
g4503654_3p_a_at	FANCA	Fanconi anaemia, complementation group A	Cyclophosphamide 35 probesets
g4507130_3p_at	SNRPF	small nuclear ribonucleoprotein polypeptide F	Cyclophosphamide 35 probesets
g4580417_3p_s_at	CAV1	caveolin 1	Cyclophosphamide 35 probesets
g4885612_3p_a_at	ST5	suppression of tumorigenicity 5	Cyclophosphamide 35 probesets
g5533090_3p_at	TTR	transthyretin	Cyclophosphamide 35 probesets
g603763_3p_a_at	DAP3	death associated protein 3	Cyclophosphamide 35 probesets
